trading_day,FromMsOfDay,ToMsOfDay,reference_time_ms,reference_price,Regime,rel_price_mean,rel_price_std,rel_price_min,rel_price_max,rel_price_range,rel_price_range_pct,return_mean,return_std,return_skewness,return_kurtosis,realized_volatility,rel_price_change_std,max_rel_price_change,rel_rolling_vol_mean,rel_rolling_vol_std,rel_rolling_vol_max,rel_momentum_mean,rel_momentum_std,rel_momentum_final,rel_trend_slope,rel_trend_r_squared,rel_trend_p_value,rel_trend_strength,direction_changes,direction_consistency,num_peaks,num_troughs,peak_trough_ratio,reversal_frequency,autocorr_lag1,num_jumps,jump_frequency,max_jump_size
20200102,38100000,43200000,38100000,322.965,1,0.022970305299848257,0.05940310344487636,-0.09908194386388791,0.1176598083383773,0.21674175220226521,0.21674175220226521,3.295808909592355e-06,0.0001887453778620665,-0.5478438047162714,1.2059682008621335,0.0017404116759423152,0.01887613717944165,0.06966699177928248,0.017569436287744645,0.011205175866478114,0.06431835671927312,0.0022599047261161564,0.020513644936353898,-0.008205223476227541,0.00017772493586603097,0.005516141461024955,0.4967455337655058,9.803558873886144e-07,43,0.48809523809523814,17,18,0.9444444444444444,40.69767441860465,0.169193774445129,2,2.3529411764705883,0.000696691489526299
20200103,38100000,43200000,38100000,322.77,2,-0.013401435682830604,0.07842181587295381,-0.17504724726585819,0.13167270812033394,0.3067199553861921,0.3067199553861921,1.3321170996249942e-05,0.0002220133385781037,0.18935078709722958,1.9934877683928995,0.0020505430911787977,0.02219697471473487,0.08055271555595933,0.01862290835838936,0.0122913599441143,0.06489932012405743,0.003462318268527326,0.021352154279528614,0.009449453170986555,0.001476528437956014,0.21845740756266108,5.705773307310725e-06,0.0003225585747484163,57,0.3214285714285714,24,24,1.0,55.81395348837209,-0.015345002380960131,4,4.705882352941177,0.0008054398166075212
20200106,38100000,43200000,38100000,321.925,2,0.11785931650264633,0.04349446471618129,-0.006212627164725593,0.18327250135901085,0.18948512852373645,0.18948512852373645,1.2800031310190735e-05,0.00017996949026213542,-0.18625197693318743,1.9044940230615088,0.0016634280715661113,0.018017211788039736,0.06523258522947994,0.01568023002138837,0.009696637943484111,0.053325552467816166,0.0028582119131160574,0.019112891132662596,0.007299836918539526,0.0006123536233155801,0.12215001801898051,0.0009724785243594899,7.479900612198611e-05,52,0.38095238095238093,21,20,1.05,47.674418604651166,-0.021019974000258627,4,4.705882352941177,0.0006512738606583434
20200107,38100000,43200000,38100000,322.715,1,0.13479385835800078,0.07534967286772394,-0.003098709387538978,0.25099546039075715,0.25409416977829613,0.25409416977829613,4.751677364987353e-06,0.00016381042446917497,-0.6674343870249833,0.1693334525596688,0.0015108927348481556,0.016403757335476474,0.0433819314255679,0.015135277428426797,0.007184178885551598,0.033760293013878374,0.0005271830256722878,0.017796040511021426,-0.012084966611407566,0.00036867610817742537,0.014753130317680357,0.26526006719680206,5.439126668956777e-06,43,0.48809523809523814,19,20,0.95,45.348837209302324,-0.025267460688022672,4,4.705882352941177,0.00043333591271372396
20200108,38100000,43200000,38100000,323.275,4,0.16860510077639948,0.20875998694728323,-0.08661356430282874,0.5815482174619024,0.6681617817647312,0.6681617817647312,5.541580623439836e-05,0.00030522755891863645,0.13774896397491013,2.3786882206686366,0.002860062204890522,0.0305860061410641,0.11445363854303281,0.0276375538774154,0.019318738243694154,0.07472196940178584,0.016346502465131967,0.03202285550306746,-0.03402675740467931,0.007459317657131643,0.7867932301214019,6.293048735326035e-30,0.0058689406339562135,41,0.5119047619047619,17,16,1.0625,38.372093023255815,0.16948891846820963,6,7.0588235294117645,0.0011431572768140037
20200109,38100000,43200000,38100000,326.235,1,0.047814726222818994,0.032487627643182936,-0.04291385044522533,0.10115407604947002,0.14406792649469535,0.14406792649469535,1.0465383277584623e-05,0.00015477717064672888,0.7508605889505449,1.2188176222523248,0.0014302332774925345,0.015482828404516256,0.055174950572434156,0.01369494837479873,0.008053076206799925,0.04641640224124522,0.0015664749675509343,0.01180867696840038,-0.009655616350179308,0.00021728330535823438,0.02756599373088219,0.12656362141417263,5.98963023333045e-06,51,0.3928571428571429,19,20,0.95,45.348837209302324,0.08128101185881458,7,8.235294117647058,0.000551732593602988
20200110,38100000,43200000,38100000,327.2,2,-0.06919173252970548,0.07945651596761562,-0.23838630806845007,0.03820293398533181,0.2765892420537819,0.2765892420537819,-2.2116472608730494e-05,0.0001835559662685806,-0.11280604264910114,-0.37955505419373736,0.0017045422096982012,0.018341162127096376,0.05195599022006503,0.016824561703831082,0.008608303753078793,0.0512956017018324,-0.0057711237417839905,0.017043442940352035,0.007640586797060811,-0.0027579494396504675,0.7424556157537202,1.808112057997427e-26,0.0020476550494333153,43,0.48809523809523814,16,16,1.0,37.2093023255814,0.06916215056852544,4,4.705882352941177,0.0005195043317494031
20200113,38100000,43200000,38100000,326.455,2,0.1284054606336694,0.05839742050129095,0.0,0.24811995527713737,0.24811995527713737,0.24811995527713737,2.9164562594834635e-05,0.00013935109234416494,0.45969121333562046,1.1095439791862844,0.001312589191313528,0.013951848928011325,0.05207455851496956,0.011621495034970607,0.006233805990866154,0.035762230929713396,0.005923530758500153,0.009268437586259339,0.0016847651284246368,0.0021780156680418516,0.8572186344780333,2.9331157508741575e-37,0.0018670356168305974,50,0.40476190476190477,20,20,1.0,46.51162790697674,-0.12628489623616754,4,4.705882352941177,0.0005199651317500373
20200114,38100000,43200000,38100000,327.665,2,0.014922359372283124,0.03984722502591482,-0.11292020813941095,0.09460882303571339,0.20752903117512433,0.20752903117512433,1.1134529829573747e-05,0.00013623464561851318,-0.25447459970468794,0.7096718319522775,0.0012602094253785126,0.013621152604327969,0.04272656524193508,0.011729608952859766,0.006560557140073765,0.03458555371409162,0.002477189543247757,0.012739233779687352,0.008240123296658908,0.0011272830383304826,0.4932041388283905,4.897076430930824e-14,0.0005559806601356372,49,0.41666666666666663,17,18,0.9444444444444444,40.69767441860465,-0.05746726298859615,5,5.88235294117647,0.00042756577641359767
20200115,38100000,43200000,38100000,328.505,1,0.0786331877713804,0.04223228626104661,-0.04566140545805286,0.152204684860191,0.19786609031824387,0.19786609031824387,5.037053478573648e-06,0.00022047859847868588,-0.6480783056523125,1.5280687248818516,0.0020332426478568873,0.022063211337701394,0.0761023424300955,0.01742169872829211,0.010767210748731222,0.04603195779755089,0.0008104405297751469,0.015499925256267257,-0.036833533736169155,0.0004428934473459098,0.06777448974228227,0.015485411019225221,3.0016877404069398e-05,46,0.45238095238095233,18,18,1.0,41.86046511627907,-0.03524301376862393,6,7.0588235294117645,0.0007604447080652765
