Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max,overnight_gap_absolute_mean,overnight_gap_absolute_std,overnight_gap_absolute_median,overnight_gap_absolute_min,overnight_gap_absolute_max,overnight_gap_percentage_mean,overnight_gap_percentage_std,overnight_gap_percentage_median,overnight_gap_percentage_min,overnight_gap_percentage_max,overnight_gap_positive_x_mean,overnight_gap_positive_x_std,overnight_gap_positive_x_median,overnight_gap_positive_x_min,overnight_gap_positive_x_max,overnight_gap_magnitude_mean,overnight_gap_magnitude_std,overnight_gap_magnitude_median,overnight_gap_magnitude_min,overnight_gap_magnitude_max,overnight_gap_mean,overnight_gap_std,overnight_gap_median,overnight_gap_min,overnight_gap_max,overnight_gap_abs_mean,overnight_gap_abs_std,overnight_gap_abs_median,overnight_gap_abs_min,overnight_gap_abs_max,overnight_gap_positive_y_mean,overnight_gap_positive_y_std,overnight_gap_positive_y_median,overnight_gap_positive_y_min,overnight_gap_positive_y_max,overnight_gap_size_mean,overnight_gap_size_std,overnight_gap_size_median,overnight_gap_size_min,overnight_gap_size_max,large_gap_up_mean,large_gap_up_std,large_gap_up_median,large_gap_up_min,large_gap_up_max,large_gap_down_mean,large_gap_down_std,large_gap_down_median,large_gap_down_min,large_gap_down_max,small_gap_mean,small_gap_std,small_gap_median,small_gap_min,small_gap_max,gap_filled_mean,gap_filled_std,gap_filled_median,gap_filled_min,gap_filled_max,gap_fill_time_minutes_mean,gap_fill_time_minutes_std,gap_fill_time_minutes_median,gap_fill_time_minutes_min,gap_fill_time_minutes_max,opening_range_mean,opening_range_std,opening_range_median,opening_range_min,opening_range_max,opening_direction_mean,opening_direction_std,opening_direction_median,opening_direction_min,opening_direction_max,opening_momentum_mean,opening_momentum_std,opening_momentum_median,opening_momentum_min,opening_momentum_max,gap_continuation_mean,gap_continuation_std,gap_continuation_median,gap_continuation_min,gap_continuation_max,gap_amplification_mean,gap_amplification_std,gap_amplification_median,gap_amplification_min,gap_amplification_max
0,99,7.036247334754798,-0.6345978729413532,0.45427722756742095,-0.5814625247382258,-2.555292953084509,0.2309075853739257,0.4195893612257832,0.21720691621078222,0.38159924605378315,0.09442672183235117,1.2040351761925931,-1.3925457439549123,0.796045235970854,-1.3099174880405906,-5.101497757165674,-0.1700117218608077,0.23404359983187034,0.21269792787150468,0.1960752006063604,0.0,0.8773853915332364,1.6265893437867822,0.7821302309754915,1.5091557314318882,0.3947129635230473,5.390405230745843,1.6265893437867822,0.7821302309754915,1.5091557314318882,0.3947129635230473,5.390405230745843,-6.864158173521616e-05,4.844432841350795e-05,-6.373193911995424e-05,-0.00025792527976870245,1.734122254333859e-05,0.0007813437427222662,0.0003245377782111004,0.000701090674112465,0.00028272871817742513,0.0021850259976263237,-0.026441490706741698,0.6490653121022196,-0.025838992722743415,-2.9111941037366247,2.352179158697682,1.7546524799572092,3.4224800688189743,0.4634832395677271,-0.38104663918563286,20.48110668237972,0.00961904181862408,0.003988262091808762,0.0086908636469,0.003464514808147165,0.02694679218454399,0.07757008906931397,0.03188350040182879,0.06942968722633815,0.02823225509260145,0.2132414220070572,0.281747768006674,0.1263205737438631,0.25497442186969144,0.0957434433637161,0.7947669362150855,0.06965962788123335,0.02957762692907715,0.06294622496284405,0.02586217571774609,0.20120753680319634,0.036022646650929975,0.014415122414889582,0.032860557445435264,0.015181973902616264,0.10549187686553195,0.20341131767027293,0.08481750449691872,0.18663756135590964,0.07450615114402125,0.5720803046436983,-0.017958425594141045,0.012107080375604987,-0.015747750450883304,-0.06696779934530006,0.0015137753557372094,0.06807031632041378,0.03103536879671436,0.06106214905325912,0.024402138263051605,0.21810686565950763,0.00431666900632522,0.07481952493493249,0.0035348179568717164,-0.16092963820780626,0.4037101801870282,-0.007365854918623472,0.005118051134737312,-0.00640339992627096,-0.023452348591422773,0.0010717750559282914,0.568196290118799,0.28587272223234844,0.6416922217425653,0.005822403971286007,0.958405544956519,0.008853458789955209,0.04164960115033544,5.028666609710518e-35,8.746998254192182e-105,0.35174267494466616,0.00527076473480981,0.004724424380869023,0.0039048218414815565,4.382086353848108e-06,0.019083126349268547,74.62626262626263,6.094517918449347,75.0,56,88,0.4991525998237407,0.040902804821807706,0.49664429530201337,0.4093959731543624,0.6241610738255033,36.333333333333336,2.9644356609443876,36.0,28,43,36.292929292929294,2.9275857094045263,37.0,28,43,1.001309114587584,0.021671281108262865,1.0,0.9696969696969697,1.0357142857142858,48.09686266639908,3.8679604714693294,48.34437086092716,37.086092715231786,56.95364238410596,0.018273435773889856,0.09117792033828606,0.017843837496594,-0.29707392412587896,0.1735957443324737,7.111111111111111,1.768917313613555,7.0,4,12,4.7407407407407405,1.1792782090757035,4.666666666666667,2.666666666666667,8.0,0.002832635354616907,0.0012738665645664641,0.00257631098356367,0.0009555789736902641,0.007957829985918548,0.2890909090909083,8.089750510057021,-0.20499999999998408,-19.789999999999964,36.315,0.08412720350948386,1.9285367543111034,-0.05974063820486205,-3.6411473569943444,7.322089260330871,0.47474747474747475,0.4993619028003344,0.0,0,1,1.423541249162701,1.303787448563388,1.00780695528744,0.015765028316415693,7.322089260330871,-0.0012587673899671318,0.016291118981875814,-0.0034460313205958385,-0.034632379636762835,0.06031963562345071,0.012329000329987735,0.010722910234019565,0.010663481610605463,5.5632823365735216e-05,0.06031963562345071,0.3939393939393939,0.48862168171506365,0.0,0,1,0.012329000329987735,0.010722910234019565,0.010663481610605463,5.5632823365735216e-05,0.06031963562345071,0.1919191919191919,0.3938098725175339,0.0,0,1,0.36363636363636365,0.48104569292083466,0.0,0,1,0.15151515151515152,0.3585502898848253,0.0,0,1,0.3333333333333333,0.4714045207910317,0.0,0,1,739.030303030303,391.1179639290287,999.0,5,999,0.002688973701590175,0.0012468616818270219,0.0023989313851102566,0.00039144246548529965,0.009484528244506974,-0.00019794749000093083,0.0022325129686213445,-0.00046028406102052407,-0.00659545350870529,0.006099279874939124,-0.00019794749000093083,0.0022325129686213445,-0.00046028406102052407,-0.00659545350870529,0.006099279874939124,0.7373737373737373,0.4400610285008478,1.0,0.0,1.0,0.010101010101010102,0.44006102850084783,True,False,True
1,287,20.398009950248756,-0.17884482733965146,0.26247122369184167,-0.17569458841908303,-1.1304259029878398,0.4673472283855157,0.18445958099339363,0.10788798207964458,0.16551992766552617,0.02627041275718186,0.6148481964402939,-0.5536839040134954,0.36512880912366485,-0.5120798319327879,-1.944894651539708,-0.02785650267664863,0.18437033922788063,0.19332436826854013,0.12556110117085684,0.0,1.1240802435107833,0.738054243241376,0.37719748788738683,0.6721690024920624,0.13074767895400186,2.128579146407339,0.738054243241376,0.37719748788738683,0.6721690024920624,0.13074767895400186,2.128579146407339,-1.5965932037877284e-05,2.914051019885003e-05,-1.4508561422658025e-05,-0.00012641575368447372,5.642464680004122e-05,0.00039120324472301146,0.0001655127670123796,0.0003548800456716368,0.0001258502718215008,0.0009685626666599904,-0.2385699916851805,0.35888455701910393,-0.20193610271356735,-1.4868379837281325,0.7155177151990595,1.2272136180486237,1.3035279863605644,0.8432981782067932,-0.6121710061084156,7.670669691196416,0.004806356731808455,0.0020321700774193706,0.004375002490740451,0.0015414448183315263,0.011872402631680535,0.03903032470689813,0.01647391881634613,0.03542278308072073,0.01258211025312281,0.09718659006369623,0.13846718966849278,0.06508870549029204,0.12265324941583833,0.04278954947541935,0.43780049033654844,0.03448006270237641,0.014984157078684047,0.03137301770489595,0.011590372834874643,0.08886218024250456,0.019288521344956167,0.00857014534855511,0.017962797566218477,0.0057242565253230885,0.04800262470517539,0.10650606886929619,0.04870231188158409,0.0986593711807446,0.028809754253018866,0.28943896415557974,-0.0036757302193084645,0.007809212543989312,-0.0033721248307296055,-0.0327740570535426,0.01647400487984413,0.035329335390134935,0.01632738407495329,0.03234824067969576,0.008749860161134666,0.1001835871394275,0.003372001936505333,0.026689974601039,0.0036031473979392104,-0.07819000398928466,0.12192580241767392,-0.0014443381293739968,0.0035251105474687497,-0.0014624103342025694,-0.013369018194457561,0.0077769054725555726,0.46432200115345934,0.28648383189368093,0.44408628844690606,0.016533583013935097,0.9581000891360999,0.004107619140216228,0.016051680525243892,9.78149278052862e-21,1.508908833752227e-104,0.11561162389797944,0.0018520776966875058,0.002170426167565614,0.0010250661670728907,3.1186863447218825e-06,0.012544095801142454,77.74216027874564,6.8637612885775345,78.0,56,95,0.4782405350419754,0.04606551200387607,0.47651006711409394,0.36241610738255037,0.6241610738255033,36.29616724738676,3.287515071425622,37.0,26,46,36.358885017421606,3.259953850171181,37.0,26,45,0.998394324574982,0.019716874206292378,1.0,0.9629629629629629,1.0344827586206897,48.115928652190966,4.310861532420237,48.34437086092716,34.437086092715234,60.264900662251655,0.009973634753926302,0.09724840512031707,0.006482293540991371,-0.290228226095353,0.24269125104012626,7.829268292682927,1.7357023162992244,8.0,4,13,5.219512195121951,1.1571348775328163,5.333333333333334,2.666666666666667,8.666666666666668,0.0013874526461693526,0.0006529372096369564,0.001230310541157137,0.00042795888302730035,0.004386454628108402,1.4094076655052261,2.2098865196266626,1.2749999999999773,-3.4350000000000023,11.149999999999977,0.3142571730199388,0.5016200520236401,0.2701229770395572,-0.8633147768827683,2.4164797416642236,0.759581881533101,0.42733739220870326,1.0,0,1,0.4452420860953762,0.3900509353355286,0.35657391892895235,0.0,2.4164797416642236,0.002380858286478855,0.0018884501565602403,0.0019142483053515632,1.1105805004391893e-05,0.009911581340152876,0.002380858286478855,0.0018884501565602403,0.0019142483053515632,1.1105805004391893e-05,0.009911581340152876,1.0,0.0,1.0,1,1,0.002380858286478855,0.0018884501565602403,0.0019142483053515632,1.1105805004391893e-05,0.009911581340152876,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.5226480836236934,0.4994868009348938,1.0,0,1,1.0,0.0,1.0,1,1,190.97560975609755,183.93659744320485,135.0,5,700,0.0013530400027144342,0.0007640310670144539,0.0012103630128432877,0.00020208143881986944,0.0048073234970721235,-0.00042556807340648914,0.0011339976164412384,-0.0003539662370665027,-0.004589971104917319,0.002018436109345171,-0.00042556807340648914,0.0011339976164412384,-0.0003539662370665027,-0.004589971104917319,0.002018436109345171,0.519163763066202,0.49963261521356117,1.0,0.0,1.0,0.003484320557491289,0.49931663045777996,True,False,True
2,430,30.561478322672354,0.03440948548573007,0.31299607507424937,0.05802275804500605,-0.8822148851737533,1.0253526341837116,0.175780319343101,0.09442126125364367,0.15793399184154083,0.03119959630474973,0.5421991424969584,-0.33749829977609264,0.33115530915208263,-0.24030588714364365,-1.6762510705983225,0.0,0.3760126161109499,0.29742322896586415,0.3104453357281822,0.0,1.4721953547965683,0.7135109158870425,0.3599780005279497,0.6490880565595325,0.15734974042004302,2.1334046900846504,0.7135109158870425,0.3599780005279497,0.6490880565595325,0.15734974042004302,2.1334046900846504,3.1320579272910363e-06,3.156689191836365e-05,7.346728499647148e-06,-9.980975564727356e-05,8.949542641921508e-05,0.00039926507034708975,0.00019079084873679505,0.0003453571514574291,0.00012016362063035299,0.0012587126802855728,-0.04269358700071881,0.4093060807813573,-0.02575297059365013,-1.4910079680923676,1.1681603650892995,1.3091868332282643,1.510196359065251,0.8510961236476227,-0.645566742064664,10.970112493420226,0.004904441786039899,0.0023386864238988023,0.00423660323525325,0.0014717052992414895,0.01543149625366284,0.03992610195246594,0.019078293358780217,0.03454153518481337,0.012023418749109881,0.1266195588347732,0.14329356846600508,0.07189468555949881,0.123948386545647,0.0400890398674969,0.5062241706339732,0.035270879519788516,0.017401875717745027,0.03078875155154033,0.009548441091605764,0.11748828768889351,0.019335909638860678,0.009364931189184326,0.01675085731652614,0.005448563049948936,0.06362797933443161,0.10745049644553284,0.05324717603224421,0.0945234843806402,0.03123657040509048,0.3558206456286732,0.0005145279159964321,0.007873046902209533,0.0019419713426309126,-0.024570913516406296,0.022502431912873128,0.035219620352496116,0.018469285998491094,0.030591959400277566,0.008278335908796283,0.11803743242819965,-0.0024835528146678757,0.029537547725711825,-0.0005746451991761603,-0.10799514459836512,0.11010933208974616,0.00018923847190973378,0.0033264732844367874,0.0008357131866430402,-0.009816032401213195,0.008520034736969826,0.47843228991295134,0.2590863740988283,0.48441322044564294,0.02302504703564528,0.9466553506689921,0.0009885279969081555,0.005981149899543831,3.463981080307002e-23,9.877107755188343e-97,0.06289920356020626,0.001620355333617379,0.001582164391407732,0.0011714607554387754,3.517654154290484e-06,0.007794413295517305,77.94418604651163,6.479782594888088,78.0,59,96,0.47688465740596225,0.04348847379119522,0.47651006711409394,0.3557046979865772,0.6040268456375839,36.586046511627906,3.089485649623901,37.0,27,45,36.46511627906977,3.103252886061861,37.0,26,46,1.0035805942909812,0.019672406433826995,1.0,0.9666666666666667,1.0384615384615385,48.378253503773294,4.074249753799264,48.34437086092716,35.099337748344375,60.264900662251655,0.002395276649688573,0.09902795101752418,0.003318134809046809,-0.304787933720942,0.27833380677181957,7.658139534883721,1.6972936814220256,8.0,3,13,5.105426356589146,1.131529120948017,5.333333333333334,2.0,8.666666666666668,0.0014332818506515804,0.0007193695329683357,0.0012431643722263296,0.0003998863480905379,0.005076142131979804,-1.5428604651162792,2.5874578444506278,-1.0025000000000261,-13.324999999999932,3.634999999999991,-0.35519980050260136,0.6025496559899058,-0.23182157848869345,-2.9395241890179378,0.8180948629944278,0.2744186046511628,0.4462208355427518,0.0,0,1,0.4986690818392781,0.49047133762148926,0.3703376699991763,0.0,2.9395241890179378,-0.0032303971879902023,0.002529656245014151,-0.0026366662167583922,-0.009999024052665652,0.0,0.0032303971879902023,0.002529656245014151,0.0026366662167583922,0.0,0.009999024052665652,0.0,0.0,0.0,0,0,0.0032303971879902023,0.002529656245014151,0.0026366662167583922,0.0,0.009999024052665652,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.4,0.48989794855663565,0.0,0,1,0.5720930232558139,0.49477529849198887,1.0,0,1,527.2488372093023,434.2479689591646,467.5,0,999,0.0015552548212605963,0.000935362741038308,0.0013073097173080376,0.00026511454153263595,0.0056903113969525715,0.00020319139204033214,0.0013963483883070054,0.00021915109941518033,-0.005296184300221937,0.004870240912759683,0.00020319139204033214,0.0013963483883070054,0.00021915109941518033,-0.005296184300221937,0.004870240912759683,0.6558139534883721,0.4751021068131812,1.0,0.0,1.0,0.5651162790697675,0.49574173739973537,True,0,True
3,17,1.2082444918265813,0.9289657555454076,1.2285028376288023,1.1660764648643094,-1.8134908618093666,3.320134099090434,0.9873041430614419,0.42165243489710014,0.7993044241702404,0.40922511650004945,2.0045784044050716,-1.1827477979603596,1.277810280566925,-0.7717842323651469,-4.281238360246276,0.0,2.9446188645031808,1.7334542971014006,2.6250080030731926,0.20595517188493062,6.913327882256737,4.12736666246354,1.6758274154600652,3.663392620122119,1.8727388806129008,8.262469337694178,4.12736666246354,1.6758274154600652,3.663392620122119,1.8727388806129008,8.262469337694178,0.00010611116438627892,0.00013311157285074708,0.00013835702489820893,-0.00022599770184888782,0.0003579986081349613,0.0022414578191424883,0.0006657881711610185,0.0020886123973871806,0.0013924141042428709,0.004012140298660366,0.5011796253374297,1.0520087001568164,0.22241267222254943,-0.42714272385542285,3.9737975916987844,3.89622563836289,7.396532052513473,1.245943721538164,-0.8751091307785819,31.980525146872324,0.027534516979521736,0.008142982978460703,0.025582538717475626,0.01711033492816075,0.049171349116207366,0.22623663100597777,0.068102204706767,0.20842547329579653,0.14044933410319235,0.4135374565950916,0.9391282362689072,0.3881533813964273,0.8296471883002754,0.5913298805105827,2.1712790190471787,0.19616042782044915,0.05901162080057109,0.19098252455399664,0.11507615971510181,0.35908040480223313,0.11861383552081689,0.049657186054392684,0.10509805832367806,0.07443807577414625,0.2794020752446382,0.7021014624854287,0.32287972988784763,0.5731071206868945,0.4078665949642063,1.7498246288023689,0.02452287079431855,0.03410891545060349,0.028025033913492276,-0.05232045192872354,0.08384810940330809,0.20436715180162446,0.08204979520486849,0.2006001804531061,0.11153590378858085,0.4848708948080229,0.011359783090339777,0.12132327777680668,0.02205040091638244,-0.17888863346638084,0.22344186409890776,0.010070980822614803,0.01572243956628597,0.011074237403177676,-0.02061254736556182,0.04197147501768085,0.4669589988674368,0.2850068537482782,0.5953752679718964,0.04459524042478856,0.8741327032473408,0.0005496102701857998,0.0021741315567301504,4.473990400516421e-31,6.122486247233936e-69,0.009245777395867278,0.009573269161732107,0.009899905842907066,0.006445190238854864,0.00017269039418355404,0.034959901666054484,71.94117647058823,4.645941786818383,71.0,61,80,0.5171733122779313,0.031180817361197218,0.5234899328859061,0.46308724832214765,0.5906040268456376,35.411764705882355,2.4267825111454435,35.0,29,40,35.35294117647059,2.399538594631899,35.0,29,40,1.0017448646125118,0.015531122540006314,1.0,0.9714285714285714,1.03125,46.86404363069731,3.1762862657794333,46.35761589403973,38.41059602649007,52.980132450331126,0.017724267154882862,0.110877038425435,-0.0027770586044143014,-0.194562394219988,0.20953690246635284,6.882352941176471,2.2197602663662597,7.0,2,12,4.588235294117648,1.4798401775775065,4.666666666666667,1.3333333333333335,8.0,0.00933624176681007,0.003936196693534505,0.008296471883002848,0.005792238400543226,0.02196473222311209,-9.59147058823529,11.333932753501745,-10.609999999999985,-25.77000000000004,13.805000000000007,-2.6946061592150725,3.6469383953218215,-3.8492615280544094,-7.9038727897397045,6.261338896952108,0.23529411764705882,0.42418250299576343,0.0,0,1,4.0531061513329645,2.0330746515018054,4.442769507777981,0.7549517784921677,7.9038727897397045,-0.021888343963561967,0.03961602885649848,-0.007137669882767917,-0.11056982580454673,0.052895310428510485,0.03294849818504662,0.031031045924623614,0.023473884259549337,0.0013264959477167285,0.11056982580454673,0.29411764705882354,0.4556450995538137,0.0,0,1,0.03294849818504662,0.031031045924623614,0.023473884259549337,0.0013264959477167285,0.11056982580454673,0.17647058823529413,0.3812200410828153,0.0,0,1,0.47058823529411764,0.4991341984846218,0.0,0,1,0.058823529411764705,0.23529411764705885,0.0,0,1,0.47058823529411764,0.4991341984846218,0.0,0,1,594.7647058823529,443.5414337581187,999.0,5,999,0.008558233633444868,0.005304229302680425,0.006712619725083202,0.0007053941908713174,0.022540159580096884,0.002185862764334905,0.007384406451378929,0.001932989690721682,-0.01485862364422899,0.018286101293149032,0.002185862764334905,0.007384406451378929,0.001932989690721682,-0.01485862364422899,0.018286101293149032,0.7647058823529411,0.42418250299576343,1.0,0.0,1.0,0.058823529411764705,0.4991341984846218,True,False,True
4,211,14.996446339729921,0.13015508923490388,0.3645841481603353,0.05937987537538139,-0.5995111346581109,1.268576383630852,0.20593396161338343,0.14721728503274473,0.16392641650796483,0.02822605340297714,0.8455055436996872,-0.33000159998579665,0.29408341472717464,-0.26469833718137936,-1.5140603005205144,0.0,0.5284765028378428,0.508717760883343,0.34773847117948176,0.0,2.2439561006213804,0.8584781028236395,0.5319134532680816,0.7207775387699455,0.1319401264805231,3.0395493486680025,0.8584781028236395,0.5319134532680816,0.7207775387699455,0.1319401264805231,3.0395493486680025,1.668016576518355e-05,3.485956509364938e-05,6.814192394506901e-06,-6.917655744741091e-05,0.00014314261168448875,0.0005245851891754179,0.000269147024961265,0.00046175291344126464,0.00014488560609316975,0.001447157585082479,0.05610514398029183,0.5178137480692929,0.05323244919330757,-1.2726646630593503,2.9544152068473633,1.4914154456548492,2.542097990040106,0.8637797523714528,-0.6011660284983349,21.606595355803393,0.006438839894852424,0.0033030008555681614,0.005679606390885832,0.001776225293389368,0.017724927355231786,0.052518151790211284,0.02698199859410364,0.04631728134143285,0.014480028310398425,0.14478350949378854,0.18756582500551272,0.09988485859971465,0.16944437419388336,0.048824512864520386,0.6145169657227223,0.046249576117168165,0.024316441735881347,0.04040427083902094,0.011395627739244582,0.13162529659546507,0.024716232073703704,0.011772169518479047,0.021538389411197623,0.0072901279879908545,0.06295709307222418,0.1398703306762119,0.07107556684244086,0.12151343092183806,0.035534205080867326,0.3914071736246312,0.004279582138375574,0.008465170014826405,0.0013742198142916392,-0.00882293925180313,0.036143621615216115,0.045639268206640465,0.023756357307556465,0.039224568546295656,0.009306818143211675,0.11956793830174646,0.004702931029383007,0.042662573315028256,0.005728005069891573,-0.1873578141191311,0.16878393607212994,0.001996034740350305,0.003608104824379424,0.0001698512484053486,-0.0031424717472466777,0.016755437219116227,0.19882674884903115,0.30092358551341397,0.017059890843749786,2.850266440651124e-06,0.9625537309882853,0.24636025632860323,0.2938911520030432,0.10992638740318945,3.481217302483258e-108,0.9835859057725514,0.0013910933450051852,0.0028408348196906105,5.11099127216497e-06,1.452142002996234e-11,0.016128008609600303,77.71090047393365,7.198395334911629,78.0,58,96,0.478450332389707,0.04831137808665523,0.47651006711409394,0.3557046979865772,0.610738255033557,36.687203791469194,3.23880166991547,37.0,27,44,36.60663507109005,3.178982154686099,37.0,26,44,1.0022949365595777,0.019818788063951664,1.0,0.9666666666666667,1.0384615384615385,48.5389661341452,4.223973301997539,48.34437086092716,35.099337748344375,57.615894039735096,-0.0007061772943872058,0.09937909497889803,0.003117077341321738,-0.2532999011373602,0.2601052361236775,7.687203791469194,1.8693783976338572,8.0,3,13,5.124802527646128,1.246252265089238,5.333333333333334,2.0,8.666666666666668,0.0018754826666663343,0.0009989173329329835,0.0016988906497623225,0.00048824512864525433,0.006143045195261085,-1.3935071090047382,4.999835663052576,-0.44499999999993634,-17.79499999999996,10.949999999999989,-0.3095935229938851,1.2443869482485819,-0.10513464016821618,-5.5387311201264655,3.877686682916009,0.4312796208530806,0.4952549944118723,0.0,0,1,0.9219350250666939,0.8912815694304794,0.7394100341065831,0.0025290631507045728,5.5387311201264655,-0.0026704283200627184,0.009767520704618922,-0.001117990022239663,-0.037756349314138224,0.03869317380707781,0.007235624103058976,0.007083882548926424,0.004392058441267504,7.166489495114298e-05,0.03869317380707781,0.4549763033175355,0.49796874072279423,0.0,0,1,0.007235624103058976,0.007083882548926424,0.004392058441267504,7.166489495114298e-05,0.03869317380707781,0.04739336492890995,0.21247878456360086,0.0,0,1,0.2559241706161137,0.4363794100442504,0.0,0,1,0.23222748815165878,0.4222533385284596,0.0,0,1,0.35071090047393366,0.47719258665940756,0.0,0,1,705.7488151658767,408.7825160607836,999.0,5,999,0.0021280814014729087,0.0012509410958802833,0.0017716109488260649,0.00046155137206640876,0.007314790205345738,-4.0474764242150466e-05,0.0019046673229469323,-0.00012592396710868841,-0.006448108901394826,0.004608510174531811,-4.0474764242150466e-05,0.0019046673229469323,-0.00012592396710868841,-0.006448108901394826,0.004608510174531811,0.8625592417061612,0.34431206231187056,1.0,0.0,1.0,0.004739336492890996,0.49873495094128134,False,False,True
