TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.6341463414634146,26,41,2.0949999999999998,0.7058823529411765,12,17,0.35,0.7142857142857143,5,7,0.08500000000000002,1.0,4,4,0.15000000000000002,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4666666666666667,21,45,-0.015000000000000194,0.375,9,24,-0.895,0.1875,3,16,-1.065,0.1875,3,16,-1.065,0.14285714285714285,2,14,-0.975,0.16666666666666666,2,12,-0.735,0.2222222222222222,2,9,-0.395,0.2857142857142857,2,7,-0.175,0.4,2,5,-0.044999999999999984
20200103,0.7,21,30,1.9050000000000002,0.45454545454545453,5,11,0.10999999999999999,0.25,1,4,-0.08999999999999997,0.5,1,2,0.18000000000000002,0.0,0,1,-0.1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.25,14,56,-3.73,0.23076923076923078,9,39,-2.175,0.3,6,20,-0.44000000000000006,0.16666666666666666,2,12,-0.9300000000000002,0.0,0,8,-0.9800000000000001,0.0,0,7,-0.9500000000000001,0.0,0,2,-0.35,0.0,0,1,-0.13,0.0,0,0,0.0
20200106,0.3793103448275862,11,29,0.2,0.6,6,10,0.5350000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5087719298245614,29,57,-2.0050000000000003,0.34782608695652173,8,23,-1.6300000000000001,0.3076923076923077,4,13,-0.9399999999999997,0.2,2,10,-1.1099999999999999,0.0,0,6,-1.025,0.0,0,6,-1.025,0.0,0,5,-0.875,0.0,0,5,-0.875,0.0,0,3,-0.44000000000000006
20200107,0.35555555555555557,16,45,-1.2199999999999998,0.22580645161290322,7,31,-2.1599999999999997,0.3333333333333333,4,12,-0.09500000000000008,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2682926829268293,11,41,-1.9899999999999998,0.3225806451612903,10,31,-1.17,0.2608695652173913,6,23,-1.5200000000000005,0.2857142857142857,4,14,-0.7999999999999999,0.3333333333333333,4,12,-0.7599999999999999,0.2727272727272727,3,11,-0.815,0.3333333333333333,3,9,-0.4649999999999999,0.3333333333333333,3,9,-0.4649999999999999,0.16666666666666666,1,6,-0.33
20200108,0.4166666666666667,10,24,0.8199999999999998,0.5555555555555556,5,9,1.075,0.6666666666666666,2,3,-0.01999999999999999,1.0,2,2,0.14,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1774193548387097,11,62,-15.600000000000003,0.12,6,50,-14.295,0.13333333333333333,4,30,-8.399999999999999,0.125,2,16,-5.955,0.0,0,11,-4.619999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200109,0.2631578947368421,5,19,-1.395,0.35714285714285715,5,14,-0.915,0.3333333333333333,3,9,-0.565,0.25,1,4,-0.24,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.31343283582089554,21,67,-3.3749999999999996,0.18421052631578946,7,38,-3.274999999999999,0.0,0,7,-0.9349999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.6666666666666666,22,33,-0.3349999999999999,0.5454545454545454,6,11,-0.195,0.4,2,5,-0.27,0.3333333333333333,1,3,-0.09000000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.8301886792452831,44,53,8.750000000000002,0.9696969696969697,32,33,7.200000000000001,0.9444444444444444,17,18,3.5349999999999997,0.9,9,10,1.765,1.0,9,9,1.805,1.0,8,8,1.645,1.0,8,8,1.645,1.0,6,6,1.335,1.0,1,1,0.23
20200113,1.0,17,17,1.8,1.0,6,6,0.6699999999999999,1.0,2,2,0.22999999999999998,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.17391304347826086,12,69,-6.585000000000001,0.23809523809523808,10,42,-3.8950000000000005,0.17391304347826086,4,23,-2.795,0.0,0,1,-0.115,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.65625,21,32,-0.21499999999999994,0.125,1,8,-2.0949999999999998,0.0,0,4,-1.355,0.0,0,1,-0.46,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2777777777777778,15,54,-2.9499999999999997,0.22857142857142856,8,35,-2.3400000000000003,0.3125,5,16,-0.825,0.375,3,8,-0.21500000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.6451612903225806,20,31,0.9149999999999998,0.7272727272727273,16,22,1.5899999999999999,0.5833333333333334,7,12,0.46499999999999997,0.625,5,8,0.745,1.0,2,2,0.41500000000000004,1.0,1,1,0.27,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5818181818181818,32,55,1.47,0.5757575757575758,19,33,0.49,0.5,12,24,-0.43000000000000016,0.42105263157894735,8,19,-1.3699999999999999,0.5833333333333334,7,12,-0.48999999999999994,0.6666666666666666,6,9,-0.20500000000000002,0.5714285714285714,4,7,-0.265,1.0,3,3,0.03,0.0,0,0,0.0
