TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.6530612244897959,32,49,0.9149999999999999,0.6956521739130435,16,23,0.18500000000000005,0.7142857142857143,5,7,0.95,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4864864864864865,18,37,-1.1949999999999998,0.25,4,16,-1.4200000000000004,0.25,2,8,-0.37999999999999995,0.0,0,4,-0.43,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.7027027027027027,26,37,3.38,0.6666666666666666,20,30,2.51,0.55,11,20,0.8699999999999999,0.2,2,10,-0.9499999999999998,0.0,0,3,-0.21,0.0,0,1,-0.01,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.24489795918367346,12,49,-2.255,0.2682926829268293,11,41,-1.5800000000000003,0.2916666666666667,7,24,-0.6800000000000002,0.3333333333333333,5,15,-0.055000000000000215,0.45454545454545453,5,11,0.615,0.5714285714285714,4,7,1.2599999999999998,0.3333333333333333,1,3,-0.010000000000000064,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.3181818181818182,7,22,-0.5000000000000001,0.25,2,8,-0.20499999999999996,0.3333333333333333,2,6,-0.05999999999999997,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,32,64,-2.705,0.4358974358974359,17,39,-2.515,0.4166666666666667,10,24,-0.995,0.35714285714285715,5,14,-1.225,0.16666666666666666,1,6,-0.72,0.0,0,2,-0.38,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200107,0.375,9,24,-0.9199999999999999,0.3,3,10,-0.40499999999999997,0.5,1,2,0.08,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4032258064516129,25,62,-1.6900000000000004,0.34782608695652173,16,46,-1.7049999999999996,0.2692307692307692,7,26,-2.265,0.14285714285714285,2,14,-1.6150000000000002,0.0,0,3,-0.36,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.6551724137931034,19,29,6.005,0.625,15,24,4.765,0.75,9,12,1.525,1.0,2,2,0.8300000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2631578947368421,15,57,-10.415,0.29545454545454547,13,44,-6.8149999999999995,0.2962962962962963,8,27,-3.395,0.2727272727272727,3,11,-0.9899999999999999,0.25,2,8,-0.59,0.25,2,8,-0.59,0.0,0,5,-0.46,0.0,0,2,-0.09,0.0,0,0,0.0
20200109,0.6458333333333334,31,48,1.98,0.7586206896551724,22,29,1.6450000000000002,0.7619047619047619,16,21,1.335,0.8235294117647058,14,17,1.25,1.0,6,6,0.61,1.0,3,3,0.235,1.0,1,1,0.07,0.0,0,0,0.0,0.0,0,0,0.0,0.47368421052631576,18,38,-1.0408340855860843e-17,0.3,3,10,-0.48,0.0,0,5,-0.455,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.40384615384615385,21,52,-4.225,0.4523809523809524,19,42,-2.27,0.47058823529411764,16,34,-1.1500000000000001,0.4827586206896552,14,29,-0.5650000000000001,0.6363636363636364,14,22,0.8849999999999999,0.7142857142857143,10,14,0.8250000000000001,1.0,4,4,0.535,0.0,0,0,0.0,0.0,0,0,0.0,0.6764705882352942,23,34,4.86,0.5,10,20,1.645,0.42857142857142855,6,14,0.3449999999999999,0.4444444444444444,4,9,0.0050000000000000044,0.0,0,1,-0.08,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.9444444444444444,34,36,4.65,1.0,17,17,1.72,1.0,9,9,1.11,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2,10,50,-3.7350000000000003,0.3,6,20,-1.015,0.5,1,2,-0.01,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.625,15,24,0.04999999999999993,0.6923076923076923,9,13,0.5250000000000001,0.75,6,8,0.665,1.0,4,4,0.44,1.0,2,2,0.18,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.27419354838709675,17,62,-2.6849999999999996,0.26666666666666666,12,45,-2.6100000000000008,0.25806451612903225,8,31,-1.8549999999999998,0.14285714285714285,2,14,-0.7850000000000001,0.09090909090909091,1,11,-0.6150000000000001,0.125,1,8,-0.405,0.0,0,1,-0.06,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.48148148148148145,13,27,-1.225,0.5,6,12,-0.045,1.0,1,1,0.27,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4406779661016949,26,59,-0.6699999999999998,0.42857142857142855,15,35,-0.525,0.5625,9,16,0.545,1.0,1,1,0.11,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
