TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.48484848484848486,16,33,-2.21,0.3333333333333333,7,21,-2.165,0.25,3,12,-2.245,0.5,2,4,0.185,1.0,2,2,0.465,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3584905660377358,19,53,-4.32,0.22580645161290322,7,31,-4.624999999999999,0.16666666666666666,2,12,-2.3899999999999997,0.0,0,4,-1.07,0.0,0,1,-0.22,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.7142857142857143,30,42,4.585000000000001,0.7142857142857143,20,28,3.8150000000000004,0.631578947368421,12,19,2.235,0.2,1,5,-0.3299999999999999,0.0,0,3,-0.7699999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.25,11,44,-1.0500000000000003,0.2962962962962963,8,27,0.06499999999999995,0.1,1,10,-0.795,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.48484848484848486,16,33,0.16499999999999987,0.3333333333333333,2,6,-0.20500000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5660377358490566,30,53,-2.04,0.5384615384615384,21,39,-1.885,0.4,4,10,-1.03,0.6666666666666666,2,3,-0.05,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200107,0.2972972972972973,11,37,-3.04,0.14285714285714285,3,21,-2.8500000000000005,0.0,0,7,-1.41,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2857142857142857,14,49,-3.8099999999999996,0.12903225806451613,4,31,-4.039999999999999,0.1875,3,16,-1.61,0.0,0,8,-1.085,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.7,28,40,8.585,0.7083333333333334,17,24,6.035,0.6470588235294118,11,17,4.685,1.0,6,6,3.0500000000000007,1.0,4,4,1.8150000000000004,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2826086956521739,13,46,-7.835000000000002,0.19230769230769232,5,26,-4.57,0.16666666666666666,2,12,-2.1350000000000007,0.25,1,4,-0.565,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200109,0.5384615384615384,14,26,0.21,0.3333333333333333,2,6,-0.27,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4,24,60,-1.7699999999999998,0.42424242424242425,14,33,-0.7449999999999999,0.4166666666666667,5,12,-0.36500000000000005,0.0,0,1,-0.04,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.4186046511627907,18,43,-4.135000000000001,0.3076923076923077,8,26,-3.74,0.3333333333333333,4,12,-1.5499999999999998,0.2857142857142857,2,7,-1.4949999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6976744186046512,30,43,4.95,0.6666666666666666,20,30,3.335,0.5333333333333333,8,15,1.0050000000000001,0.7777777777777778,7,9,1.4050000000000002,1.0,3,3,0.645,1.0,2,2,0.305,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.851063829787234,40,47,3.8249999999999997,0.7878787878787878,26,33,2.16,0.6666666666666666,12,18,0.5550000000000002,1.0,3,3,0.14,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1282051282051282,5,39,-4.5600000000000005,0.2857142857142857,4,14,-0.715,0.0,0,1,-0.02,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.6363636363636364,14,22,0.07999999999999981,0.5714285714285714,4,7,0.45999999999999996,0.0,0,2,-0.05,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.28125,18,64,-2.6550000000000002,0.2903225806451613,9,31,-1.1450000000000002,0.5,2,4,0.06000000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.6,33,55,1.9250000000000003,0.5882352941176471,20,34,1.075,0.6842105263157895,13,19,1.1849999999999998,0.75,3,4,0.615,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5483870967741935,17,31,2.48,0.6666666666666666,12,18,2.545,0.5714285714285714,4,7,1.08,0.0,0,1,-0.03,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200116,0.6,33,55,-0.47,0.43478260869565216,10,23,-0.92,0.16666666666666666,1,6,-0.405,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3225806451612903,10,31,-0.7949999999999999,0.23529411764705882,4,17,-0.7549999999999999,0.25,1,4,-0.275,0.0,0,1,-0.09,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200117,0.42,21,50,-2.755,0.40540540540540543,15,37,-2.4500000000000006,0.3333333333333333,6,18,-1.8100000000000005,0.0,0,1,-0.25,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3611111111111111,13,36,-1.9699999999999998,0.4,10,25,-1.025,0.3333333333333333,2,6,-0.47,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200121,0.84375,27,32,2.79,1.0,13,13,1.9450000000000003,1.0,8,8,1.1150000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.35185185185185186,19,54,-3.1500000000000004,0.5185185185185185,14,27,-0.5599999999999998,0.5833333333333334,7,12,-0.22000000000000003,0.5,2,4,-0.21,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200122,0.37777777777777777,17,45,-5.5200000000000005,0.375,6,16,-1.59,0.75,3,4,0.135,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6829268292682927,28,41,2.61,0.7407407407407407,20,27,2.55,0.8,12,15,1.5799999999999998,1.0,2,2,0.37,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200123,0.3384615384615385,22,65,-4.615000000000001,0.36,18,50,-2.1450000000000005,0.4583333333333333,11,24,-0.42999999999999994,0.5,3,6,0.17499999999999996,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6190476190476191,13,21,0.79,0.7857142857142857,11,14,2.035,1.0,2,2,0.485,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200124,0.2571428571428571,9,35,-9.605,0.2857142857142857,6,21,-4.01,0.4166666666666667,5,12,-1.23,0.5,4,8,-0.38,0.6666666666666666,2,3,0.039999999999999994,1.0,2,2,0.235,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6078431372549019,31,51,4.175,0.5,19,38,-1.1150000000000002,0.4,10,25,-2.3949999999999996,0.3157894736842105,6,19,-2.6900000000000004,0.26666666666666666,4,15,-2.21,0.4,4,10,-0.98,0.5,4,8,-0.5599999999999998,0.0,0,1,-0.29,0.0,0,0,0.0
20200127,0.5348837209302325,23,43,-1.1499999999999997,0.5,16,32,-2.1900000000000004,0.48,12,25,-2.515,0.3888888888888889,7,18,-3.0000000000000004,0.2857142857142857,4,14,-3.465,0.25,3,12,-3.185,0.18181818181818182,2,11,-3.245,0.125,1,8,-3.0300000000000002,0.14285714285714285,1,7,-2.585,0.4186046511627907,18,43,-2.5900000000000003,0.5,17,34,0.5299999999999998,0.631578947368421,12,19,2.1250000000000004,0.7142857142857143,10,14,2.155,0.8,4,5,1.5,1.0,1,1,0.465,1.0,1,1,0.465,0.0,0,0,0.0,0.0,0,0,0.0
20200128,0.509090909090909,28,55,1.7,0.42424242424242425,14,33,0.16499999999999992,0.42857142857142855,6,14,-0.08500000000000005,0.4444444444444444,4,9,0.33999999999999997,0.5,2,4,0.41,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.25806451612903225,8,31,-3.0199999999999996,0.29411764705882354,5,17,-1.81,0.0,0,1,-0.195,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
