TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.5737704918032787,35,61,0.6349999999999999,0.5714285714285714,20,35,0.18999999999999995,0.8461538461538461,11,13,1.305,1.0,1,1,0.26,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.36,9,25,-1.4750000000000003,0.4444444444444444,8,18,-0.54,0.4,4,10,-0.15500000000000003,0.375,3,8,-0.07500000000000002,1.0,1,1,0.03,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.6825396825396826,43,63,3.0700000000000003,0.66,33,50,1.535,0.6756756756756757,25,37,1.8650000000000002,0.7058823529411765,12,17,1.3299999999999998,1.0,1,1,0.09,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.13043478260869565,3,23,-2.5650000000000004,0.0,0,9,-1.465,0.0,0,4,-0.5650000000000001,0.0,0,1,-0.16,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.46774193548387094,29,62,3.0399999999999996,0.5185185185185185,14,27,2.5200000000000005,0.7142857142857143,10,14,2.985,1.0,2,2,0.72,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5416666666666666,13,24,0.8350000000000001,0.5882352941176471,10,17,1.4,0.7692307692307693,10,13,1.9,1.0,6,6,1.41,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200107,0.7368421052631579,28,38,3.4249999999999994,0.782608695652174,18,23,2.485,0.75,6,8,1.2349999999999999,0.0,0,1,-0.05,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.625,30,48,2.6550000000000002,0.7333333333333333,22,30,3.2249999999999996,0.9333333333333333,14,15,2.845,1.0,6,6,1.095,1.0,3,3,0.83,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.8157894736842105,31,38,5.284999999999999,0.8571428571428571,24,28,3.5200000000000005,0.8235294117647058,14,17,1.4,0.7272727272727273,8,11,0.545,0.75,6,8,0.4650000000000001,0.6666666666666666,2,3,0.145,0.6666666666666666,2,3,0.145,0.5,1,2,0.025,0.0,0,0,0.0,0.375,18,48,-11.135,0.375,15,40,-9.740000000000002,0.36363636363636365,12,33,-6.955,0.3333333333333333,9,27,-6.595,0.25,5,20,-6.055,0.09090909090909091,1,11,-4.41,0.0,0,6,-3.355,0.0,0,4,-1.875,0.0,0,1,-0.375
20200109,0.6296296296296297,17,27,0.745,0.6470588235294118,11,17,0.38,0.7142857142857143,10,14,0.7350000000000001,1.0,6,6,0.665,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4406779661016949,26,59,-1.235,0.5384615384615384,21,39,0.135,0.6363636363636364,14,22,0.535,0.6111111111111112,11,18,0.25,0.25,2,8,-0.395,0.0,0,5,-0.48000000000000004,0.0,0,3,-0.28,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.42,21,50,-5.16,0.40625,13,32,-3.1399999999999997,0.7,7,10,-0.95,1.0,3,3,0.15,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6944444444444444,25,36,3.9250000000000003,0.7727272727272727,17,22,2.3649999999999998,0.8333333333333334,5,6,0.76,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.8775510204081632,43,49,5.9350000000000005,0.8461538461538461,33,39,4.59,0.76,19,25,2.45,0.7142857142857143,15,21,1.845,1.0,14,14,2.1550000000000002,1.0,8,8,1.215,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.16216216216216217,6,37,-2.4499999999999997,0.15,3,20,-1.125,0.25,2,8,-0.34500000000000003,0.0,0,2,-0.09,0.0,0,1,-0.01,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.7419354838709677,23,31,2.235,0.7,14,20,1.44,1.0,9,9,1.25,1.0,6,6,0.9750000000000001,1.0,4,4,0.785,1.0,2,2,0.505,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3090909090909091,17,55,-0.5000000000000001,0.3333333333333333,11,33,0.2749999999999999,0.3125,5,16,0.17999999999999994,0.5,3,6,0.595,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.43902439024390244,18,41,-3.08,0.3,9,30,-3.9599999999999995,0.15,3,20,-4.234999999999999,0.17647058823529413,3,17,-3.41,0.25,3,12,-2.31,0.375,3,8,-0.9799999999999999,0.5,3,6,-0.26000000000000006,1.0,1,1,0.19,0.0,0,0,0.0,0.37777777777777777,17,45,-2.5250000000000004,0.30434782608695654,7,23,-1.75,0.2857142857142857,4,14,-0.965,0.2222222222222222,2,9,-0.935,0.2,1,5,-0.6549999999999999,0.5,1,2,-0.065,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
