TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.6585365853658537,27,41,4.51,0.7241379310344828,21,29,4.489999999999999,0.76,19,25,4.359999999999999,0.6153846153846154,8,13,2.4800000000000004,0.5,3,6,0.5,0.6,3,5,0.61,1.0,2,2,0.41000000000000003,0.0,0,0,0.0,0.0,0,0,0.0,0.5111111111111111,23,45,2.4,0.5454545454545454,18,33,2.0149999999999997,0.64,16,25,1.91,0.631578947368421,12,19,1.02,0.6666666666666666,10,15,0.79,0.75,6,8,1.07,1.0,4,4,1.13,1.0,1,1,0.31,0.0,0,0,0.0
20200103,1.0,18,18,2.9300000000000006,1.0,13,13,1.93,1.0,9,9,1.33,1.0,7,7,0.94,1.0,4,4,0.6199999999999999,1.0,2,2,0.195,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3382352941176471,23,68,-2.7050000000000005,0.38333333333333336,23,60,-0.835,0.45098039215686275,23,51,1.1499999999999997,0.4666666666666667,21,45,1.5199999999999998,0.475,19,40,1.7799999999999998,0.5294117647058824,18,34,2.51,0.5555555555555556,15,27,1.83,0.5,12,24,1.01,0.4666666666666667,7,15,0.01999999999999999
20200106,0.4827586206896552,14,29,-0.46,0.5217391304347826,12,23,-0.685,0.25,3,12,-1.5999999999999996,0.2222222222222222,2,9,-1.5499999999999998,1.0,1,1,0.08,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5263157894736842,30,57,-2.6649999999999996,0.5294117647058824,27,51,-2.0799999999999996,0.5116279069767442,22,43,-1.0300000000000002,0.5294117647058824,18,34,-0.27499999999999997,0.48148148148148145,13,27,-0.6149999999999999,0.5238095238095238,11,21,-0.43000000000000005,0.25,2,8,-1.0100000000000002,0.0,0,1,-0.26,0.0,0,0,0.0
20200107,0.25,5,20,-2.11,0.25,3,12,-1.0050000000000001,0.4,2,5,-0.155,0.0,0,1,-0.02,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3787878787878788,25,66,-2.8800000000000003,0.38333333333333336,23,60,-2.93,0.3888888888888889,21,54,-2.4600000000000004,0.29545454545454547,13,44,-3.6950000000000003,0.28125,9,32,-2.515,0.2631578947368421,5,19,-1.135,0.125,1,8,-1.015,0.0,0,3,-0.36,0.0,0,0,0.0
20200108,0.9230769230769231,24,26,6.6450000000000005,0.9375,15,16,3.57,0.9090909090909091,10,11,2.035,1.0,7,7,1.395,1.0,5,5,1.04,1.0,2,2,0.2,1.0,1,1,0.05,0.0,0,0,0.0,0.0,0,0,0.0,0.4,24,60,-9.775,0.43137254901960786,22,51,-8.435000000000002,0.4418604651162791,19,43,-7.75,0.4864864864864865,18,37,-6.25,0.53125,17,32,-3.67,0.5517241379310345,16,29,-2.385,0.55,11,20,-0.6550000000000002,0.2,2,10,-2.175,0.14285714285714285,1,7,-2.065
20200109,0.8536585365853658,35,41,3.63,0.8611111111111112,31,36,3.35,0.9230769230769231,24,26,2.92,0.9,18,20,2.075,0.9285714285714286,13,14,1.845,1.0,2,2,0.44,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6666666666666666,30,45,1.6499999999999997,0.6666666666666666,22,33,1.4100000000000001,0.7037037037037037,19,27,1.455,0.7777777777777778,14,18,1.455,0.75,12,16,1.175,0.6923076923076923,9,13,1.0150000000000001,0.8571428571428571,6,7,0.62,1.0,5,5,0.5700000000000001,1.0,2,2,0.16999999999999998
20200110,0.5869565217391305,27,46,-2.1799999999999997,0.6341463414634146,26,41,-1.3199999999999998,0.7894736842105263,15,19,1.125,0.75,3,4,0.12,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.85,34,40,6.905,0.7931034482758621,23,29,4.13,0.6470588235294118,11,17,0.865,0.5,5,10,-0.01999999999999999,0.375,3,8,-0.19,0.3333333333333333,2,6,-0.27,0.2,1,5,-0.32,0.0,0,4,-0.4,0.0,0,3,-0.3
20200113,0.92,46,50,5.780000000000001,0.8947368421052632,34,38,4.275,0.8571428571428571,24,28,2.43,0.8947368421052632,17,19,1.525,0.875,7,8,0.655,1.0,2,2,0.22999999999999998,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.19444444444444445,7,36,-2.6050000000000004,0.24,6,25,-1.6650000000000003,0.2777777777777778,5,18,-0.9550000000000001,0.4166666666666667,5,12,-0.22,0.5,4,8,-0.014999999999999986,0.6666666666666666,2,3,0.09999999999999995,1.0,1,1,0.15,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.6341463414634146,26,41,-0.03499999999999999,0.7692307692307693,20,26,1.6199999999999999,0.7857142857142857,11,14,0.92,0.6666666666666666,2,3,0.05,0.6666666666666666,2,3,0.05,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.24444444444444444,11,45,-2.77,0.22580645161290322,7,31,-2.2600000000000002,0.24,6,25,-1.82,0.2608695652173913,6,23,-1.46,0.35294117647058826,6,17,-0.8700000000000001,0.4,6,15,-0.67,0.45454545454545453,5,11,-0.485,0.75,3,4,-0.009999999999999998,0.6666666666666666,2,3,-0.009999999999999998
20200115,0.5405405405405406,20,37,-0.69,0.48,12,25,-0.56,0.5555555555555556,10,18,0.47,0.375,3,8,-0.30000000000000004,0.0,0,3,-0.615,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5102040816326531,25,49,-0.13499999999999993,0.42857142857142855,15,35,-0.2949999999999999,0.32142857142857145,9,28,-0.7749999999999998,0.22727272727272727,5,22,-1.6500000000000001,0.15789473684210525,3,19,-1.56,0.14285714285714285,2,14,-1.215,0.2222222222222222,2,9,-1.065,0.0,0,4,-0.855,0.0,0,3,-0.625
