TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.6551724137931034,19,29,0.13000000000000006,0.5333333333333333,8,15,-0.9349999999999999,0.75,6,8,0.225,1.0,4,4,0.1,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.45614035087719296,26,57,-1.9800000000000002,0.43478260869565216,10,23,-0.41000000000000003,0.3076923076923077,4,13,-0.25499999999999995,0.3333333333333333,2,6,-0.095,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.8571428571428571,36,42,5.085,0.9032258064516129,28,31,4.9049999999999985,0.9333333333333333,14,15,2.89,1.0,2,2,0.62,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.38636363636363635,17,44,-0.55,0.375,12,32,-0.285,0.6666666666666666,8,12,2.6099999999999994,0.7777777777777778,7,9,2.55,1.0,6,6,2.71,1.0,4,4,2.09,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.46,23,50,0.29999999999999993,0.2916666666666667,7,24,-1.1349999999999998,0.2,1,5,-0.44500000000000006,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5277777777777778,19,36,-1.9050000000000002,0.6111111111111112,11,18,0.29,0.4166666666666667,5,12,-0.6649999999999998,0.25,2,8,-0.8499999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200107,0.7297297297297297,27,37,3.53,0.7857142857142857,22,28,3.5850000000000004,0.6923076923076923,9,13,0.5099999999999999,0.6,3,5,0.14500000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6122448979591837,30,49,2.7600000000000002,0.7857142857142857,22,28,3.6500000000000004,0.7647058823529411,13,17,1.9699999999999998,1.0,5,5,1.19,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.8205128205128205,32,39,11.205000000000002,0.88,22,25,9.435,0.8125,13,16,5.67,0.75,3,4,0.5750000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.40425531914893614,19,47,-5.214999999999999,0.5333333333333333,16,30,-2.13,0.5454545454545454,6,11,-0.6649999999999999,0.5,1,2,-0.04999999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200109,0.7090909090909091,39,55,2.8549999999999995,0.75,27,36,2.1599999999999997,0.6363636363636364,7,11,0.345,0.0,0,1,-0.16,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6451612903225806,20,31,0.875,0.6666666666666666,8,12,0.6450000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.4576271186440678,27,59,-4.405,0.5,17,34,-2.0500000000000003,0.4,6,15,-1.45,0.6666666666666666,2,3,0.07999999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.8148148148148148,22,27,4.68,0.8571428571428571,6,7,0.97,1.0,3,3,0.63,1.0,1,1,0.23,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.9428571428571428,33,35,5.0600000000000005,1.0,9,9,1.9500000000000002,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.19607843137254902,10,51,-3.3249999999999997,0.24,6,25,-1.175,0.25,2,8,-0.28500000000000003,0.25,1,4,-0.08,1.0,1,1,0.015,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.8260869565217391,38,46,3.56,0.8620689655172413,25,29,2.525,0.8181818181818182,9,11,0.895,1.0,3,3,0.53,1.0,2,2,0.39,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.425,17,40,0.8250000000000002,0.25,5,20,-0.99,0.42857142857142855,3,7,-0.29999999999999993,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.5490196078431373,28,51,-0.8200000000000001,0.5,16,32,-1.0700000000000003,0.3333333333333333,7,21,-2.755,0.0,0,9,-2.62,0.0,0,6,-1.6400000000000001,0.0,0,2,-0.58,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5714285714285714,20,35,-0.26499999999999996,0.6666666666666666,12,18,-0.27,0.6666666666666666,4,6,-0.33999999999999997,0.5,1,2,-0.11,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200116,0.78125,25,32,1.7550000000000001,0.8148148148148148,22,27,1.76,0.7368421052631579,14,19,1.03,1.0,3,3,0.235,1.0,1,1,0.02,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.46296296296296297,25,54,1.43,0.5,15,30,1.0949999999999998,0.45454545454545453,5,11,0.7349999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
