TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.7037037037037037,19,27,3.1499999999999995,0.8181818181818182,9,11,2.6,0.8,4,5,1.355,1.0,1,1,0.195,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4915254237288136,29,59,1.0399999999999998,0.4358974358974359,17,39,-0.29999999999999993,0.5625,9,16,0.095,0.5,5,10,0.009999999999999995,0.25,1,4,-0.22,0.0,0,2,-0.19,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.8070175438596491,46,57,5.635000000000001,0.875,35,40,5.645,0.896551724137931,26,29,3.855,1.0,13,13,2.665,1.0,4,4,0.56,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.41379310344827586,12,29,-1.1102230246251565e-16,0.55,11,20,0.9100000000000001,0.5,7,14,0.04999999999999993,1.0,5,5,0.91,1.0,3,3,0.53,1.0,2,2,0.4,1.0,1,1,0.28,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.34615384615384615,9,26,-0.945,0.2857142857142857,6,21,-1.19,0.3333333333333333,3,9,-0.31999999999999995,0.3333333333333333,1,3,-0.185,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,30,60,-3.1500000000000004,0.54,27,50,-1.8750000000000002,0.5476190476190477,23,42,-1.485,0.42857142857142855,12,28,-2.7900000000000005,0.1875,3,16,-2.655,0.0,0,11,-2.75,0.0,0,7,-2.16,0.0,0,4,-1.195,0.0,0,2,-0.745
20200107,0.39285714285714285,11,28,-1.2599999999999998,0.42857142857142855,9,21,-0.8600000000000004,0.26666666666666666,4,15,-0.7950000000000002,0.3,3,10,-0.5299999999999999,0.25,1,4,-0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.39655172413793105,23,58,-2.0300000000000002,0.24242424242424243,8,33,-1.8550000000000002,0.1111111111111111,2,18,-2.205,0.0,0,2,-0.21,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.7391304347826086,34,46,7.055000000000001,0.7272727272727273,24,33,1.975,0.84,21,25,1.7350000000000003,0.9,9,10,1.3250000000000002,1.0,1,1,0.035,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.325,13,40,-9.365,0.3103448275862069,9,29,-5.350000000000001,0.3181818181818182,7,22,-4.49,0.25,4,16,-2.56,0.26666666666666666,4,15,-2.26,0.36363636363636365,4,11,-1.225,0.375,3,8,-0.12999999999999995,0.42857142857142855,3,7,0.12999999999999998,0.2,1,5,-0.18000000000000002
20200109,0.5079365079365079,32,63,-0.21000000000000005,0.45454545454545453,25,55,-0.6950000000000001,0.3958333333333333,19,48,-1.1749999999999998,0.3888888888888889,14,36,-0.7400000000000002,0.75,3,4,0.225,1.0,1,1,0.14,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.17391304347826086,4,23,-2.190000000000001,0.1111111111111111,2,18,-2.0200000000000005,0.0,0,10,-1.3600000000000003,0.0,0,8,-1.21,0.0,0,2,-0.315,0.0,0,1,-0.13,0.0,0,1,-0.13,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.3125,15,48,-5.904999999999999,0.36585365853658536,15,41,-4.02,0.5,10,20,-0.8400000000000002,0.5454545454545454,6,11,-0.2750000000000001,0.5,3,6,-0.054999999999999966,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5789473684210527,22,38,3.1799999999999997,0.4666666666666667,14,30,0.13,0.46153846153846156,12,26,0.245,0.4166666666666667,10,24,0.10500000000000004,0.38461538461538464,5,13,-0.02499999999999998,0.2,1,5,-0.105,0.0,0,2,-0.195,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.9019607843137255,46,51,5.67,0.9736842105263158,37,38,4.195000000000001,0.9615384615384616,25,26,2.285,0.9333333333333333,14,15,1.2300000000000002,1.0,6,6,0.5850000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2,7,35,-2.715,0.15384615384615385,2,13,-0.8350000000000001,0.14285714285714285,1,7,-0.42000000000000004,0.16666666666666666,1,6,-0.32000000000000006,0.0,0,5,-0.35000000000000003,0.0,0,4,-0.29000000000000004,0.0,0,4,-0.29000000000000004,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.7142857142857143,20,28,0.18,0.5,6,12,-0.8999999999999999,0.6,3,5,0.135,0.5,1,2,0.06999999999999999,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3103448275862069,18,58,-2.5550000000000006,0.28888888888888886,13,45,-2.0199999999999996,0.23529411764705882,8,34,-1.95,0.23076923076923078,6,26,-1.5999999999999999,0.3,6,20,-1.0,0.45454545454545453,5,11,-0.32999999999999996,0.5,4,8,-0.27,0.6666666666666666,2,3,-0.03,1.0,2,2,0.05
20200115,0.5909090909090909,13,22,0.5549999999999999,0.6,9,15,0.27999999999999997,0.5555555555555556,5,9,0.36,0.8,4,5,0.63,1.0,2,2,0.49,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,32,64,1.11,0.5094339622641509,27,53,1.1900000000000002,0.5,18,36,0.7400000000000002,0.48,12,25,-0.29,0.5,6,12,0.15000000000000005,0.5,2,4,-0.17,0.0,0,2,-0.23,0.0,0,1,-0.04,0.0,0,0,0.0
