Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max,overnight_gap_mean,overnight_gap_std,overnight_gap_median,overnight_gap_min,overnight_gap_max,overnight_gap_abs_mean,overnight_gap_abs_std,overnight_gap_abs_median,overnight_gap_abs_min,overnight_gap_abs_max,overnight_gap_positive_y_mean,overnight_gap_positive_y_std,overnight_gap_positive_y_median,overnight_gap_positive_y_min,overnight_gap_positive_y_max,overnight_gap_size_mean,overnight_gap_size_std,overnight_gap_size_median,overnight_gap_size_min,overnight_gap_size_max,large_gap_up_mean,large_gap_up_std,large_gap_up_median,large_gap_up_min,large_gap_up_max,large_gap_down_mean,large_gap_down_std,large_gap_down_median,large_gap_down_min,large_gap_down_max,small_gap_mean,small_gap_std,small_gap_median,small_gap_min,small_gap_max,gap_filled_mean,gap_filled_std,gap_filled_median,gap_filled_min,gap_filled_max,gap_fill_time_minutes_mean,gap_fill_time_minutes_std,gap_fill_time_minutes_median,gap_fill_time_minutes_min,gap_fill_time_minutes_max,opening_range_mean,opening_range_std,opening_range_median,opening_range_min,opening_range_max,opening_direction_mean,opening_direction_std,opening_direction_median,opening_direction_min,opening_direction_max,opening_momentum_mean,opening_momentum_std,opening_momentum_median,opening_momentum_min,opening_momentum_max,gap_continuation_mean,gap_continuation_std,gap_continuation_median,gap_continuation_min,gap_continuation_max,gap_amplification_mean,gap_amplification_std,gap_amplification_median,gap_amplification_min,gap_amplification_max
0,306,21.748400852878465,0.1909071884555069,0.29047385875244436,0.15241423390645376,-0.5242177751342697,1.1673506105228717,0.16690177235565887,0.08958158453767771,0.1465518619159174,0.026412752501661002,0.551482277746769,-0.20311331745574274,0.19376893539065182,-0.15415929639104875,-1.0109682167011247,0.0,0.4689794631021481,0.35240990284156154,0.41003618966654054,0.0,1.7866310709518274,0.672092780557891,0.33107241457194814,0.6057124468052288,0.13238171981122537,2.1181406128525815,0.672092780557891,0.33107241457194814,0.6057124468052288,0.13238171981122537,2.1181406128525815,1.8121420775589198e-05,2.7653122881458594e-05,1.5990165265335235e-05,-5.723018819243172e-05,0.00011301427767733754,0.00035461417012508503,0.00014086482634407906,0.0003297261403992761,0.00011602207254250494,0.0009654605334798786,-0.1087235081342252,0.486084548407651,-0.10451815816194115,-2.3090663894360612,2.004859813512166,1.6294999086588655,1.889850301978411,1.0418572722856165,-0.5120799876004054,14.566914145434819,0.004360085869384644,0.0017299507851853346,0.004059386925260581,0.0014287059382436672,0.011825168530255326,0.035515377001094396,0.014131240609824866,0.0330713949873714,0.011606593191740951,0.09672330901217926,0.13163517856188964,0.05954562344265787,0.11988395798872009,0.03243293332717556,0.3673786053304262,0.031028806515058443,0.012610345182037427,0.02853144490109711,0.009773134776660095,0.08584186589024734,0.017741187888215073,0.00752292837970541,0.01669524612758914,0.004765168511832014,0.04605237838054659,0.09772253795428615,0.04468871775041055,0.08972017035072066,0.028267277318056457,0.30438398920987897,0.004515464391573717,0.006887273900630537,0.004178460665615008,-0.016588063533751272,0.025257820668750028,0.030622001263036564,0.013852033220265545,0.02784268883056338,0.008536969130772636,0.09331852782284386,0.0005497260751321153,0.025206138512887933,0.0015720220035519983,-0.10528100213238911,0.09417217960189683,0.0017264331882433808,0.002944734579157214,0.0018225067404319824,-0.006588970190323867,0.010641191759813377,0.507934459060044,0.26065867822279803,0.528725209509874,0.048335241023600026,0.9646592840936692,9.784934157922623e-05,0.0005589623685964116,4.0981895019872385e-26,4.6648643122758334e-110,0.006679481020452661,0.0017747577916596262,0.001725523065962485,0.0012124560566108813,1.3016023786850464e-05,0.008445028206929234,78.58169934640523,6.599776564929531,78.0,59,98,0.4726060446549984,0.044293802449191476,0.47651006711409394,0.3422818791946308,0.6040268456375839,36.36601307189542,3.1326900340605563,36.0,28,46,36.326797385620914,3.2050410974075816,36.0,28,45,1.0014529312111438,0.019692905194249703,1.0,0.9655172413793104,1.0344827586206897,48.14093407782539,4.171152004218631,48.34437086092716,37.086092715231786,60.264900662251655,0.0039288971039905425,0.09073829606727762,-0.0007281241623268155,-0.2533495475250474,0.297229810832707,8.006535947712418,1.8346581025583282,8.0,3,12,5.33769063180828,1.223105401705552,5.333333333333334,2.0,8.0,0.0013155420507348302,0.000594742375167633,0.001198969916050573,0.0003244007275844574,0.003656639298652071,0.00675854868924561,0.004202120244730784,0.005533914595414264,0.0020138733497426717,0.02375462865926085,0.00675854868924561,0.004202120244730784,0.005533914595414264,0.0020138733497426717,0.02375462865926085,1.0,0.0,1.0,1,1,0.00675854868924561,0.004202120244730784,0.005533914595414264,0.0020138733497426717,0.02375462865926085,0.17647058823529413,0.3812200410828153,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,999.0,0.0,999.0,999,999,0.0014317888451981795,0.0007911306348701349,0.00127117510415444,0.00032179279844227535,0.004771302240763471,0.0001678314125776365,0.00131488139841803,0.00015544413852980094,-0.004771302240763471,0.004075797288654234,0.0001678314125776365,0.00131488139841803,0.00015544413852980094,-0.004771302240763471,0.004075797288654234,1.0,0.0,1.0,1.0,1.0,0.0032679738562091504,0.435806093546919,True,False,True
1,279,19.82942430703625,0.1465255453251353,0.2308050297992106,0.14488372312504297,-0.473840718587375,0.9399280732143325,0.16174919785074432,0.08325816511573643,0.14653683443336044,0.02822605340297714,0.49052762383321974,-0.22089338485309498,0.21527860533742416,-0.15771913861085674,-1.0592935050944718,0.0,0.4429883033785262,0.2848825312668286,0.39890599433887175,0.0,1.4159534406025465,0.6638816882316213,0.3162546306759256,0.630207492844348,0.15734974042004302,1.7979468483162342,0.6638816882316213,0.3162546306759256,0.630207492844348,0.15734974042004302,1.7979468483162342,1.5142371891278132e-05,2.257028590146867e-05,1.4524280894999279e-05,-5.283535906382719e-05,8.949542641921508e-05,0.0003820106702771203,0.0001789923274277832,0.00033321839741021556,0.00012016362063035299,0.0010290128406416545,-0.0558599766252888,0.4196444086484892,-0.06239284847954139,-1.4910079680923676,1.1681603650892995,1.442095656693165,1.5831953277662123,0.9465755050214564,-0.38256375026797507,10.970112493420226,0.004690460300263567,0.0021922475633502246,0.004107930778797661,0.0014717052992414895,0.012650356857942966,0.038241402973296895,0.01792169949668613,0.03336379602711043,0.012023418749109881,0.10337254774159206,0.13893650853577363,0.07009229215324372,0.11889206719166712,0.0400890398674969,0.3816620473442889,0.03357580426922516,0.01605876976935546,0.02908488048002372,0.009548441091605764,0.09258694360947614,0.018944749255097947,0.008927672838473734,0.0165096650202215,0.005448563049948936,0.05264582985508543,0.10513312760637236,0.04959608819873158,0.09287001811804134,0.03123657040509048,0.3558206456286732,0.0034710774424008143,0.005859728029236373,0.003218340407333022,-0.013259701110996605,0.022515484083705833,0.03376867246896744,0.017067928614268233,0.030263737491450796,0.008278335908796283,0.09553390646240355,0.00015159247644572883,0.026411647328941013,0.001849219282732406,-0.10799514459836512,0.09224261445043513,0.0012766890758710184,0.002603955727999059,0.0012849596527713838,-0.005924197529382526,0.008520034736969826,0.4118122550614146,0.30603414754909675,0.40929869158145094,2.850266440651124e-06,0.9466553506689921,0.06791605958489398,0.18885208297867837,9.363789934358036e-19,9.877107755188343e-97,0.9835859057725514,0.0013340155337951312,0.0014755817489112795,0.0008318507921590187,1.452142002996234e-11,0.0068011082253567785,78.4910394265233,6.711069227334255,78.0,63,96,0.4732145004931323,0.04504073306935742,0.47651006711409394,0.3557046979865772,0.5771812080536913,36.46236559139785,3.042915762794167,36.0,26,44,36.369175627240146,3.063822261047673,36.0,27,45,1.0028228689194099,0.02003762700492846,1.0,0.9629629629629629,1.0344827586206897,48.23280875406489,4.01582899313813,48.34437086092716,35.099337748344375,58.94039735099338,0.008021709136051167,0.09486150655464726,0.006791868134098861,-0.30466120208448255,0.26926983619605793,7.731182795698925,1.6664932271879032,8.0,3,13,5.154121863799283,1.1109954847919352,5.333333333333334,2.0,8.666666666666668,0.001388781438753801,0.0007007364841771311,0.0011880138801045048,0.0003998863480905379,0.0038246746947881755,-0.0015011745190095223,0.001954169460290911,-0.0012371999513957213,-0.007339197045973163,0.004314655220845213,0.0018833701740474263,0.0015890940826665063,0.001445347786811194,0.0,0.007339197045973163,0.11827956989247312,0.3229388691974453,0.0,0,1,0.0018833701740474263,0.0015890940826665063,0.001445347786811194,0.0,0.007339197045973163,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.6308243727598566,0.48258158221381603,1.0,0,1,0.996415770609319,0.0597610465968927,1.0,0,1,175.91397849462365,194.17772533447607,90.0,0,750,0.0015600479913272791,0.0008878528376458941,0.0013398564263939815,0.00026511454153263595,0.004491612461485755,0.0003445702121895894,0.0013570583552084084,0.0003035221769138633,-0.0029341587670083454,0.004441288490091092,0.0003445702121895894,0.0013570583552084084,0.0003035221769138633,-0.0029341587670083454,0.004441288490091092,0.41935483870967744,0.4934535013154308,0.0,0.0,1.0,0.4767025089605735,0.49945693198840263,False,0,True
2,307,21.81947405828003,-0.026891825945474766,0.2740232786290539,0.005783759738600919,-1.0790858424955636,0.8736055970003167,0.13697317299702527,0.07313714591376229,0.12207537120715382,0.02887242571653579,0.4665824131641343,-0.31773548332949286,0.29349788564890267,-0.2326774046497504,-1.6356350353024518,0.0,0.25637023497649797,0.22838737080290225,0.20650490449147796,0.0,1.3301383388247379,0.5741057183059909,0.2838995046900752,0.5195003628862715,0.1319401264805231,1.762027676202771,0.5741057183059909,0.2838995046900752,0.5195003628862715,0.1319401264805231,1.762027676202771,-1.7126204262425253e-06,2.5566973533732167e-05,1.293196961485375e-06,-7.707100520392103e-05,8.846063533831388e-05,0.0003477599150185211,0.0001456839578165937,0.000319427559103711,0.0001426639949536946,0.0009268067594834112,-0.07819762674794578,0.3924113952456278,-0.04475450620881564,-1.4634396606690734,0.8951080362934353,1.2100404108467278,1.2950894377638826,0.9197316630277932,-0.645566742064664,8.757298570125625,0.004269981738634984,0.0017860186284591262,0.003925498227934353,0.0017609117563730495,0.011353788016792822,0.034752848335494406,0.014534451380307574,0.03186266752585498,0.014300311816055799,0.09273098982161893,0.12379013235963275,0.05475091003776536,0.1118578573211515,0.04878265111534219,0.30793116832708023,0.030593697161265462,0.013250898155626849,0.028379658147692072,0.012028670474950594,0.09081191070748439,0.01648305300760244,0.006892426577485006,0.015373216423356855,0.005694020993964085,0.0446460029202471,0.09151357979726596,0.040091852743584705,0.08287803254749548,0.032967137111292094,0.31404388323793175,-0.0004945026227958365,0.006173608877914743,-0.00013345378392807202,-0.017451404414083112,0.02233787298515351,0.030021781444789838,0.013889483781968227,0.027532284328908797,0.008650997119515539,0.09127263416049437,-0.000604778957121165,0.02554481057303159,0.0009901550299873385,-0.09617765014606094,0.11010933208974616,-0.00014790229004601923,0.0024356146450274885,-3.462207259628334e-05,-0.008260302722048144,0.007613584693143926,0.35355118243740047,0.30104558502548995,0.33432727331256057,5.018246792729751e-05,0.9441169298857545,0.0760882456790088,0.18927513003333218,7.584163480602608e-15,3.1572899092646426e-95,0.9312065912887444,0.0010394104670610918,0.0013519014427742146,0.0004017229452429499,5.471552033096065e-10,0.006742101113757111,78.70358306188925,6.550735607456696,78.0,59,96,0.4717880331416828,0.04396466850642078,0.47651006711409394,0.3557046979865772,0.6040268456375839,36.612377850162865,3.1212589146493626,37.0,27,45,36.51791530944625,3.0980983269808986,37.0,26,46,1.0027543035565964,0.01918295574114594,1.0,0.96875,1.0384615384615385,48.43065772159544,4.093364683243189,48.34437086092716,35.099337748344375,60.264900662251655,-0.007872448343601797,0.09928991512423313,-0.004403742816387167,-0.304787933720942,0.27833380677181957,7.664495114006515,1.805206906800573,8.0,3,12,5.109663409337678,1.2034712712003819,5.333333333333334,2.0,8.0,0.0012387387563701014,0.0005484967033750886,0.0011172359029759439,0.00048781028614501364,0.003088691446296229,-0.002284030300734283,0.004302173590861909,-0.002796576312635374,-0.009999024052665652,0.009158413126693235,0.004122528916782119,0.0025942720271546786,0.0037946896407179626,0.00012364135016355914,0.009999024052665652,0.3322475570032573,0.4710192330134988,0.0,0,1,0.004122528916782119,0.0025942720271546786,0.0037946896407179626,0.00012364135016355914,0.009999024052665652,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.2899022801302932,0.4537168148807692,0.0,0,1,0.0,0.0,0.0,0,0,999.0,0.0,999.0,999,999,0.0013640799439978196,0.0007063746061903609,0.001237233994691167,0.00024384026246082184,0.00414809736030161,3.717337157857152e-05,0.0011639662257346903,8.866918634929812e-05,-0.00414809736030161,0.003144772285911158,3.717337157857152e-05,0.0011639662257346903,8.866918634929812e-05,-0.00414809736030161,0.003144772285911158,1.0,0.0,1.0,1.0,1.0,0.003257328990228013,0.47545846712436857,True,False,True
3,104,7.391613361762615,-0.6146831744608687,0.4015162540181738,-0.60546896975461,-1.7408990501256187,0.2309075853739257,0.4244174205303851,0.18536106214459827,0.3880030779925949,0.10783864043503659,1.1332651897432255,-1.3646588080826278,0.65757372254133,-1.2896100181139514,-3.735329257150888,-0.1700117218608077,0.2580937819027958,0.24546549530372402,0.20051149770018428,0.0,1.0096173577575085,1.6227525899854238,0.6300535141924525,1.504859661695651,0.45634725341588966,3.773982711364121,1.6227525899854238,0.6300535141924525,1.504859661695651,0.45634725341588966,3.773982711364121,-6.950250368572571e-05,4.1598281047665694e-05,-6.504783647122089e-05,-0.00021581901781069076,-4.185326937219527e-06,0.0007658307551825932,0.0002824159382452902,0.0006875591640104722,0.00032059592221977094,0.0021351763127361264,-0.014206072935088881,0.6175361972290909,0.006092026944509306,-2.9111941037366247,2.352179158697682,1.6996235676859404,3.33232703498282,0.5246813766968825,-0.38104663918563286,20.48110668237972,0.009430285071519327,0.0034629758711781033,0.008469927452610632,0.003926816693688098,0.02617901129346648,0.07609136022291942,0.027878735615983787,0.06853239066286577,0.03206471514071358,0.21158992025080864,0.2743854020727583,0.11769384312980806,0.2498287908206165,0.0957434433637161,0.7947669362150855,0.06810503995701798,0.025745251797980623,0.062159290094049593,0.029008854048148507,0.20120753680319634,0.03561900594055021,0.012220575407611891,0.032774264203921974,0.015181973902616264,0.08981489430790911,0.20159953965077,0.07661553617402654,0.18367015347350218,0.07450615114402125,0.5628235303213153,-0.01826196280749977,0.010250436503123609,-0.017401045137231536,-0.054717404150816724,-0.001468952044996544,0.06679592069154583,0.026237103549867323,0.06034874951739335,0.027596887456595956,0.20314176476249354,0.0009018852025401943,0.05656251150283765,-0.0007032924117972295,-0.12837377371348713,0.15719546420518005,-0.007591687785919621,0.004372084138066924,-0.006906452632856212,-0.023452348591422773,-0.0008640105793954822,0.6047030803441887,0.2553927670155923,0.6752121262835014,0.005822403971286007,0.958405544956519,0.003418371593403746,0.03432252460539962,6.015224337249063e-38,8.746998254192182e-105,0.35174267494466616,0.005383023701182163,0.004290212567144437,0.0044568817344801965,7.73028825348332e-06,0.019083126349268547,75.07692307692308,6.410166666038453,76.0,56,90,0.4961280330407848,0.04302125279220438,0.4899328859060402,0.3959731543624161,0.6241610738255033,36.60576923076923,3.2028180777329918,37.0,28,45,36.50961538461539,3.219517379944285,37.0,28,45,1.0029411041818943,0.020989260047665555,1.0,0.96875,1.0357142857142858,48.42078451349975,4.223846774755823,49.00662251655629,37.086092715231786,59.60264900662252,0.015390861145864524,0.09255258334724521,0.013108983834333905,-0.29707392412587896,0.2530326879588705,7.384615384615385,1.9080179622788405,7.0,4,13,4.923076923076923,1.2720119748525602,4.666666666666667,2.666666666666667,8.666666666666668,0.0027582616586837787,0.0011880183726021647,0.002518851569429707,0.0009555789736902641,0.007957829985918548,-0.0028259872288431682,0.014390712059665979,-0.0038365635185510973,-0.034632379636762835,0.039320949756564146,0.011007495519916291,0.00969091532213667,0.01019331158783487,3.348989860949187e-05,0.039320949756564146,0.2403846153846154,0.42731703929401865,0.0,0,1,0.011007495519916291,0.00969091532213667,0.01019331158783487,3.348989860949187e-05,0.039320949756564146,0.16346153846153846,0.3697862408274887,0.0,0,1,0.34615384615384615,0.4757429568020377,0.0,0,1,0.18269230769230768,0.38641406341173307,0.0,0,1,0.3269230769230769,0.46908888144809496,0.0,0,1,726.8269230769231,408.3641484468077,999.0,5,999,0.0026013119735568625,0.0011995769484206159,0.0023609164854638803,0.00039144246548529965,0.006099279874939124,-0.0001800697079060675,0.0022137839370186666,-0.00024161903952128706,-0.005296184300221937,0.006099279874939124,-0.0001800697079060675,0.0022137839370186666,-0.00024161903952128706,-0.005296184300221937,0.006099279874939124,0.875,0.33071891388307384,1.0,0.0,1.0,0.009615384615384616,0.3697862408274887,True,False,True
4,17,1.2082444918265813,0.7257364262537648,1.477155190835042,1.1660764648643094,-2.555292953084509,3.320134099090434,1.0340576759845326,0.39838497424768565,0.9190682283127231,0.46853612435513325,2.0045784044050716,-1.480987960614522,1.5392228105221255,-1.0857894919128586,-5.101497757165674,0.0,2.853300251856839,1.827509769460595,2.6250080030731926,0.20595517188493062,6.913327882256737,4.33428821247136,1.600124939342965,3.7550595118823304,2.134083780376972,8.262469337694178,4.33428821247136,1.600124939342965,3.7550595118823304,2.134083780376972,8.262469337694178,8.882486899490794e-05,0.00015787870562598114,0.00013835702489820893,-0.00025792527976870245,0.0003579986081349613,0.0022748763648144372,0.000647610812557703,0.0021850259976263237,0.0013924141042428709,0.004012140298660366,0.4589647304298004,1.0491390736895991,0.19266004793765498,-0.42714272385542285,3.9737975916987844,3.7598572162524238,7.441286893105144,1.2328846261985005,-0.8751091307785819,31.980525146872324,0.027954450461264258,0.00791456674903856,0.02694679218454399,0.01711033492816075,0.049171349116207366,0.22919284862826209,0.06636091430112434,0.2132414220070572,0.14044933410319235,0.4135374565950916,0.931159771204991,0.39286041005470135,0.8296471883002754,0.5913298805105827,2.1712790190471787,0.19920299696953495,0.05780438618026805,0.19121044087836386,0.11507615971510181,0.35908040480223313,0.11966568351671641,0.04917638253568774,0.10549187686553195,0.07443807577414625,0.2794020752446382,0.7034143623769088,0.3223024724294828,0.5731071206868945,0.4078665949642063,1.7498246288023689,0.02042549341609308,0.04013687447573929,0.028025033913492276,-0.06696779934530006,0.08384810940330809,0.2082758344018361,0.081022076374848,0.21134853789315286,0.11153590378858085,0.4848708948080229,0.04530092014058285,0.14358607457869751,0.028532621972070515,-0.17888863346638084,0.4037101801870282,0.008880575502572681,0.01734573935495872,0.011074237403177676,-0.023189427791641796,0.04197147501768085,0.5025988499131506,0.27444004237728953,0.6120355425928495,0.04459524042478856,0.8741327032473408,0.0005446691145000121,0.0021752792867679445,1.924973708370938e-32,6.122486247233936e-69,0.009245777395867278,0.01051747438392129,0.009733740659515721,0.007366137165454076,0.00017269039418355404,0.034959901666054484,72.23529411764706,4.6719363886270076,73.0,61,80,0.5151993683379392,0.0313552777760202,0.5100671140939597,0.46308724832214765,0.5906040268456376,35.588235294117645,2.498442421364153,35.0,29,40,35.470588235294116,2.4282079341823875,35.0,29,40,1.0033346897317486,0.016616510184979276,1.0,0.9714285714285714,1.03125,47.05882352941177,3.240144734231134,46.35761589403973,38.41059602649007,52.980132450331126,0.01754008679196732,0.11074438504884532,-0.0027770586044143014,-0.194562394219988,0.20953690246635284,6.9411764705882355,2.235294117647059,7.0,2,12,4.627450980392157,1.4901960784313726,4.666666666666667,1.3333333333333335,8.0,0.00925713379468795,0.003981395063254112,0.008296471883002848,0.005792238400543226,0.02196473222311209,-0.01794166570109111,0.044022196525162885,-0.007137669882767917,-0.11056982580454673,0.06031963562345071,0.03609824764298173,0.030931758309797643,0.029690991884126088,0.0013264959477167285,0.11056982580454673,0.35294117647058826,0.4778846120374094,0.0,0,1,0.03609824764298173,0.030931758309797643,0.029690991884126088,0.0013264959477167285,0.11056982580454673,0.23529411764705882,0.42418250299576343,0.0,0,1,0.47058823529411764,0.4991341984846218,0.0,0,1,0.058823529411764705,0.23529411764705885,0.0,0,1,0.4117647058823529,0.49215295678475035,0.0,0,1,650.8823529411765,430.5961506826309,999.0,5,999,0.00874119392873369,0.005279323660546235,0.00764650707556788,0.0007053941908713174,0.022540159580096884,0.0015683925970810513,0.007649249045542963,0.0010455447092506767,-0.01485862364422899,0.018286101293149032,0.0015683925970810513,0.007649249045542963,0.0010455447092506767,-0.01485862364422899,0.018286101293149032,0.7647058823529411,0.42418250299576343,1.0,0.0,1.0,0.058823529411764705,0.4991341984846218,True,False,True
5,99,7.036247334754798,0.32531592305972645,0.45093546919359917,0.3544903178561249,-0.5480378874475621,1.268576383630852,0.3238672086721231,0.1489181401888623,0.3115339154579062,0.09171982355743499,0.8455055436996872,-0.3912718251595113,0.38528106013070684,-0.3188697933862783,-1.5245925097238322,0.0,0.9209943796488305,0.5438962903120468,0.8672277902111558,0.0,2.2439561006213804,1.3122662048083422,0.5069316261726311,1.2876266368649913,0.4768416254689489,3.0395493486680025,1.3122662048083422,0.5069316261726311,1.2876266368649913,0.4768416254689489,3.0395493486680025,3.719871125373918e-05,4.152577879418279e-05,3.656431297676055e-05,-6.917655744741091e-05,0.00014314261168448875,0.0007340484912430478,0.0002893833812369755,0.0006663689588912662,0.0002517729583243515,0.001616910721203186,0.28462172087411663,0.5631413537153663,0.17713144231491257,-0.6639193147214684,2.9544152068473633,1.7671361769593303,3.4472265944955267,0.6947740945002825,-0.6011660284983349,21.606595355803393,0.009017911289637795,0.0035396306955082883,0.008207430041588483,0.003107821077955559,0.019807922994921148,0.07357110560343166,0.029015959360143267,0.06687685095732386,0.025253595574993026,0.16298572242822404,0.26535615780966165,0.11287350692918414,0.22997364626324845,0.08493084202862988,0.7722007722007707,0.06534342908932647,0.026747641812274642,0.05948989414127323,0.01880368514970797,0.14864466957528205,0.033992942540230275,0.012824700249036057,0.03183714196127133,0.011787881731183402,0.08761046093524003,0.19407561655810432,0.07823362792131719,0.17672166748102794,0.06212023885661104,0.5497610064885365,0.009213746594960315,0.009967072138056586,0.00800880595159395,-0.00882293925180313,0.036143621615216115,0.06430565365404964,0.026948766644724356,0.057649915628466664,0.021214018106827267,0.1516592614559102,-0.0008161685401813815,0.06319929778312645,0.0026057208180252367,-0.1873578141191311,0.16878393607212994,0.004283585292305044,0.004387082922403437,0.003406265349681702,-0.0031424717472466777,0.016755437219116227,0.4005556493587664,0.3300783329609003,0.38152556309563035,4.0364031523211e-06,0.9625537309882853,0.11367573111284686,0.24334653134591294,2.970174700135111e-17,3.481217302483258e-108,0.9804674546671447,0.002980075073948418,0.0036497911272681378,0.0013876436774397762,3.834155157972831e-11,0.016128008609600303,75.64646464646465,6.995399832347447,76.0,58,89,0.4923056063995661,0.04694899216340569,0.4899328859060402,0.40268456375838924,0.610738255033557,36.76767676767677,3.535757552672191,37.0,27,44,36.55555555555556,3.411869425137238,37.0,26,43,1.005770856649153,0.0203250579068275,1.0,0.9666666666666667,1.0384615384615385,48.55843200214061,4.57644677235716,49.00662251655629,35.099337748344375,57.615894039735096,-0.006774483146093023,0.11264934819571841,-0.0005913678933166197,-0.2425381441634726,0.25609658615947434,7.585858585858586,1.8477947599643028,7.0,3,12,5.057239057239057,1.231863173309535,4.666666666666667,2.0,8.0,0.0026520061886607933,0.001130034808592102,0.0022913338039857105,0.0008497809790691174,0.00770724602500304,-0.006921752187629113,0.012502845277549593,-0.010727611940298618,-0.037756349314138224,0.03869317380707781,0.012040587023395968,0.007697795626887041,0.011674780798813372,0.0001581152660289197,0.03869317380707781,0.23232323232323232,0.4223140396033711,0.0,0,1,0.012040587023395968,0.007697795626887041,0.011674780798813372,0.0001581152660289197,0.03869317380707781,0.1111111111111111,0.3142696805273545,0.0,0,1,0.5454545454545454,0.49792959773196915,1.0,0,1,0.050505050505050504,0.21898468069372523,0.0,0,1,0.3434343434343434,0.47485492014315783,0.0,0,1,728.989898989899,389.8081500396875,999.0,5,999,0.0029714876305324297,0.0013661430256405145,0.0026059146365538617,0.0008810672209107597,0.007314790205345738,0.00024065366362369442,0.0024912375039924575,0.0007333879110382554,-0.006448108901394826,0.004608510174531811,0.00024065366362369442,0.0024912375039924575,0.0007333879110382554,-0.006448108901394826,0.004608510174531811,0.8282828282828283,0.37713443843625194,1.0,0.0,1.0,0.010101010101010102,0.4942274675848512,False,False,True
