start_time_ms,start_time_str,end_time_ms,end_time_str,duration_minutes,regime_coverage,time_to_regime_start,time_from_regime_start,accuracy,additional_trading_time
36900000,10:15,38250000,10:37,22.5,0.029411764705882353,0,2.5,0.20184790334044064,20.0
36900000,10:15,38700000,10:45,30.0,0.11764705882352941,0,10.0,0.27505330490405117,20.0
36900000,10:15,39150000,10:52,37.5,0.20588235294117646,0,17.5,0.31982942430703626,20.0
36900000,10:15,39600000,11:00,45.0,0.29411764705882354,0,25.0,0.38308457711442784,20.0
36900000,10:15,40050000,11:07,52.5,0.38235294117647056,0,32.5,0.40227434257285005,20.0
36900000,10:15,40500000,11:15,60.0,0.47058823529411764,0,40.0,0.44420753375977257,20.0
36900000,10:15,40950000,11:22,67.5,0.5588235294117647,0,47.5,0.48329779673063256,20.0
36900000,10:15,41400000,11:30,75.0,0.6470588235294118,0,55.0,0.5138592750533049,20.0
36900000,10:15,41850000,11:37,82.5,0.7352941176470589,0,62.5,0.5422885572139303,20.0
36900000,10:15,42300000,11:45,90.0,0.8235294117647058,0,70.0,0.5764036958066808,20.0
36900000,10:15,42750000,11:52,97.5,0.9117647058823529,0,77.5,0.6019900497512438,20.0
36900000,10:15,43200000,12:00,105.0,1.0,0,85.0,0.6666666666666666,20.0
