trading_day,FromMsOfDay,ToMsOfDay,reference_time_ms,reference_price,Regime,rel_price_mean,rel_price_std,rel_price_min,rel_price_max,rel_price_range,rel_price_range_pct,return_mean,return_std,return_skewness,return_kurtosis,realized_volatility,rel_price_change_std,max_rel_price_change,rel_rolling_vol_mean,rel_rolling_vol_std,rel_rolling_vol_max,rel_momentum_mean,rel_momentum_std,rel_momentum_final,rel_trend_slope,rel_trend_r_squared,rel_trend_p_value,rel_trend_strength,direction_changes,direction_consistency,num_peaks,num_troughs,peak_trough_ratio,reversal_frequency,autocorr_lag1,num_jumps,jump_frequency,max_jump_size,overnight_gap_absolute,overnight_gap_percentage,overnight_gap_positive,overnight_gap_magnitude
20200102,34200000,43200000,34200000,323.535,1,-0.09916324804721587,0.1119427589786786,-0.27508615760274413,0.13290679524624593,0.40799295284899006,0.40799295284899006,-9.86764325536867e-06,0.0002465307199531217,-0.25539759311160487,1.7235332252065838,0.003021790022420976,0.02463541908955712,0.09272567110204522,0.021450052279993415,0.01374438748456024,0.07860745506488391,-0.0036698469830528037,0.023550274230351845,-0.008190767614011385,-0.0016430068880673003,0.40929869158145094,9.363789934358036e-19,0.0006724805695452575,79,0.4697986577181208,35,35,1.0,46.35761589403973,0.01900186329085188,9,6.0,0.000928462002692575,0.0,0.0,0,0.0
20200103,34200000,43200000,34200000,321.145,0,0.4638102138467973,0.09171982355743499,0.0,0.6383409363371673,0.6383409363371673,0.6383409363371673,4.1242669055688214e-05,0.00034285747478716836,0.4242846936415456,2.642756040864718,0.004229400769049986,0.034413880013608324,0.14323747839761758,0.030385835069650292,0.025982979605241176,0.16111169866103256,0.004807840958156122,0.02776924578506653,0.009497267589404501,0.001051288028895774,0.2496149645291176,6.552318066161397e-11,0.0002624172240427046,89,0.40268456375838924,39,39,1.0,51.65562913907284,0.25552999701040957,7,4.666666666666667,0.001432374783976199,-1.910000000000025,-0.5912305954094582,0,0.5912305954094582
20200106,34200000,43200000,34200000,320.485,0,0.47344427377090487,0.13255987391963986,0.0,0.6334149804202882,0.6334149804202882,0.6334149804202882,3.7156088302768114e-05,0.00021803175712111397,0.5886335799908227,3.1444190600280164,0.0027088306151718915,0.021883301751067546,0.10608920854329185,0.019320336015508092,0.014327213741802925,0.097263735407323,0.006585529370428088,0.017635662678853237,0.007332636472845433,0.002652784880061452,0.7609103708425617,3.765540913246939e-48,0.0020185315268531003,87,0.4161073825503355,37,36,1.0277777777777777,48.34437086092716,0.12166860027713503,8,5.333333333333334,0.0010604950016374509,-2.6499999999999773,-0.8200906741764208,0,0.8200906741764208
20200107,34200000,43200000,34200000,323.015,1,-0.014802584875752312,0.09688236105892085,-0.22599569679425668,0.1578874046096912,0.3838831014039479,0.3838831014039479,-3.4814180485262612e-06,0.00023709003373992852,-0.5493209662694482,1.9562328541787792,0.0029040610626438895,0.023700233869451564,0.0897791124251146,0.02130291225557048,0.013881790916409143,0.09026485806459339,-0.0007390752577007597,0.022407047573482577,-0.012073742705448476,0.001371650806591165,0.3808476665474965,3.225518522012034e-17,0.0005223900090082366,72,0.5167785234899329,33,34,0.9705882352941176,44.370860927152314,0.1442725245863919,6,4.0,0.000898096963503085,0.7400000000000091,0.22961756264060482,1,0.22961756264060482
20200108,34200000,43200000,34200000,322.95,1,0.23330042068719134,0.1703465848877905,-0.06967022758940233,0.6827682303762073,0.7524384579656096,0.7524384579656096,3.812768565712675e-05,0.00030439113162596126,0.3586010730959406,2.2459030843499583,0.003757146818253885,0.03050632032859447,0.11456881870257618,0.026391018112974247,0.01785665875101769,0.07528031268474324,0.009750560959813543,0.02788489155658684,-0.034061000154821386,0.002345599405446172,0.36024206563680444,3.7977084488615963e-16,0.0008449835749743894,74,0.5033557046979866,31,31,1.0,41.05960264900662,0.0699608070256104,12,8.0,0.0011431572768140037,0.10499999999996135,0.03252334711702561,1,0.03252334711702561
20200109,34200000,43200000,34200000,326.16,1,0.02453799134865134,0.06455660848133517,-0.1257051753740579,0.12417218543046005,0.24987736080451795,0.24987736080451795,7.476022084628466e-06,0.0001980624364479993,-0.14775731993913307,1.2582265038128533,0.0024274869609720137,0.019806433097653908,0.07205052734853279,0.01623084573963198,0.009952457924584629,0.05013838072160654,0.0014466243129614318,0.01389468953176573,-0.009657836644592077,0.001081941448995994,0.5336784986331631,1.8431701648740013e-26,0.000577408888109171,89,0.40268456375838924,36,36,1.0,47.682119205298015,0.01963725572159652,9,6.0,0.0007201409637631614,1.3600000000000136,0.4187192118226643,1,0.4187192118226643
20200110,34200000,43200000,34200000,327.28,1,-0.08013066964956989,0.07308439605746261,-0.2627719384013516,0.04583231483745731,0.3086042532388089,0.3086042532388089,-1.415249327069382e-05,0.0001977493027048736,0.1941619575234009,0.031050170968816015,0.0024281190184803777,0.01975705872796725,0.056526521632849214,0.0184981889959722,0.009253596661552564,0.0512830630556062,-0.0020893510660638733,0.01889932665158739,0.007638719139569927,-0.0006833418689607273,0.16610409460858166,2.0599082910030196e-07,0.00011350588245185767,80,0.46308724832214765,32,32,1.0,42.384105960264904,0.08541893972908829,8,5.333333333333334,0.0005662687480869369,0.7549999999999955,0.2312227241405698,1,0.2312227241405698
20200113,34200000,43200000,34200000,326.395,1,0.09153780984301443,0.08288963420047993,-0.10723203480444976,0.26654820079965447,0.3737802356041042,0.3737802356041042,1.7763735171856063e-05,0.00018622249437679161,0.37208256137896045,1.82878792057888,0.0022911034797397306,0.018629550319198565,0.07659431057461807,0.015486864280763969,0.009409865593490073,0.05525842908449332,0.0048060232902800105,0.012390693633698963,0.0016850748326424636,0.0017705539764538397,0.8669049782289413,3.937739652296752e-67,0.0015349020564108813,85,0.4295302013422819,35,35,1.0,46.35761589403973,-0.06182351678346809,6,4.0,0.0007667653238049963,-0.18999999999999773,-0.0581778097585614,0,0.0581778097585614
20200114,34200000,43200000,34200000,327.475,1,0.03529919123293218,0.05911390538087315,-0.11298572410107788,0.15268341094740734,0.2656691350484852,0.2656691350484852,1.019455037751157e-05,0.00021617651021983432,-0.45194940848559717,3.6543395963716163,0.002650553124205184,0.02161835112429152,0.09771738300633492,0.01711556852789641,0.010788271959257894,0.049144139062313,0.0024364831634282446,0.015037952750040362,0.008244904191161417,0.0010904756710905566,0.646556166658384,1.8097854616149e-35,0.0007050537697345391,87,0.4161073825503355,33,33,1.0,43.70860927152318,-0.08876263631814608,8,5.333333333333334,0.0009766072055300175,0.21000000000003638,0.06416818174874685,1,0.06416818174874685
20200115,34200000,43200000,34200000,327.34,1,0.3756852850004753,0.09603764260097757,0.0,0.5086454451029621,0.5086454451029621,0.5086454451029621,2.654946933669234e-05,0.00021948323013686467,0.0041783099136469245,1.6386673894424177,0.0027077046358504058,0.02202122544669867,0.07637318995541431,0.01871472430899481,0.011535763795467082,0.06283615516827555,0.0056516160566995105,0.01851046264573948,-0.0369646239384136,0.0016930251158066541,0.5904694333704963,1.1024980477585243e-30,0.000999679580812374,79,0.4697986577181208,34,34,1.0,45.033112582781456,-0.03802340488588293,9,6.0,0.0007604447080652765,-0.6350000000000477,-0.19361231801205817,0,0.19361231801205817
