threshold,trade_type,num_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,total_pnl_before_fees,total_pnl_after_fees,total_fees,total_pnl,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,profit_factor,volatility,calmar_ratio,gross_profit,gross_loss,input_data_file
-0.7,downside,9987,4834,5153,0.4840292380094122,0.523535374431113,-0.48193576557345236,47.35500000000001,-152.3850000000001,199.74,-152.3850000000001,-0.015258335836587575,-0.02005716001674762,411.92499999999933,1001.5195720884984,0.941112253257694,0.7675829697997695,-0.3699338471809197,2435.335,2587.7200000000003,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p70_input_data.csv
-0.65,downside,11907,5757,6150,0.4834971025447216,0.4994467604655202,-0.4619991869918699,34.019999999999996,-204.12000000000012,238.14000000000001,-204.12000000000012,-0.017142857142857154,-0.023470050619787835,471.315000000001,1304.497647384448,0.93117783610736,0.7374123553526482,-0.4330861525731192,2761.785,2965.905,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p65_input_data.csv
-0.6,downside,13991,6743,7248,0.481952683868201,0.47708512531514163,-0.4434471578366445,2.8799999999999653,-276.9400000000001,279.82,-276.9400000000001,-0.0197941533843185,-0.028126189815512303,553.4899999999994,1564.8572236358489,0.9176031299742639,0.7101578803172969,-0.5003523098881649,3084.1099999999997,3361.05,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p60_input_data.csv
-0.55,downside,16436,7935,8501,0.4827816987101485,0.46017391304347827,-0.4269115398188449,22.304999999999993,-306.4150000000002,328.72,-306.4150000000002,-0.018642917984911182,-0.02750667244155778,590.9400000000002,1845.5340412242365,0.9193975631056726,0.6838762829673504,-0.5185213388838124,3495.145,3801.5599999999995,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p55_input_data.csv
-0.5,downside,19029,9169,9860,0.48184350202322773,0.4448996619042425,-0.41174898580121705,19.440000000000037,-361.1400000000001,380.58,-361.1400000000001,-0.018978401387356146,-0.029062989782913433,647.8249999999995,1869.0854010386597,0.9152235610611491,0.6587559331242938,-0.5574653648747739,3898.7699999999995,4259.91,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p50_input_data.csv
-0.45,downside,21976,10538,11438,0.47952311612668364,0.43199041563864116,-0.39984131841230985,-21.07000000000003,-460.59000000000003,439.52,-460.59000000000003,-0.02095877320713506,-0.0331346134062954,741.1099999999942,3450.2327746740852,0.9041545712769608,0.6381677350717438,-0.6214866888855954,4344.959999999999,4805.55,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p45_input_data.csv
-0.4,downside,25380,12167,13213,0.4793932230102443,0.4208551820498069,-0.389249602664043,-22.60999999999992,-530.2100000000005,507.6,-530.2100000000005,-0.020890858944050454,-0.03398604760939482,831.6749999999947,2778.269584098863,0.9020181804405957,0.62013808418154,-0.6375206661255945,4881.1,5411.31,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p40_input_data.csv
-0.35,downside,29131,13943,15188,0.47863101163708766,0.41162733988381267,-0.38137180668949167,-52.9549999999999,-635.5750000000002,582.62,-635.5750000000002,-0.0218178229377639,-0.03636068831966788,945.7549999999956,2379.5571770033857,0.8958141235116741,0.6053166742672101,-0.672029225327916,5464.82,6100.395,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p35_input_data.csv
-0.3,downside,33213,15835,17378,0.4767711438292235,0.4041986106725608,-0.37359189780181834,-91.79499999999996,-756.0550000000003,664.26,-756.0550000000003,-0.022763827416975288,-0.03884607717436329,1053.4699999999941,2402.440136830087,0.8895440443953888,0.5910367565920326,-0.7176806173882545,6088.799999999999,6844.8550000000005,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_neg0p30_input_data.csv
0.3,upside,26173,13528,12645,0.516868528636381,0.47491425192193976,-0.4831605377619612,315.07499999999993,-208.3850000000003,523.46,-208.3850000000003,-0.007961830894433206,-0.011685715187232971,425.67500000000024,942.9061911618121,0.9672623442728544,0.6853365041119193,-0.48954014212721014,6156.915,6365.3,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p30_input_data.csv
0.35,upside,22657,11763,10894,0.51917729619985,0.4920254186857094,-0.4982123187075454,360.1699999999999,-92.9700000000002,453.14,-92.9700000000002,-0.004103367612658349,-0.0058442110851122915,339.68999999999966,670.2644041041822,0.9835391165089543,0.7062397172778391,-0.27369071800759603,5554.965,5647.9349999999995,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p35_input_data.csv
0.4,upside,19567,10195,9372,0.5210303061276639,0.5098710152035312,-0.5109544387537345,409.47,18.129999999999775,391.34000000000003,18.129999999999775,0.0009265600245310868,0.0012830448032873194,287.6200000000001,495.7683357752307,1.0036418456705125,0.7259041229111853,0.06303455948821281,4996.375,4978.245,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p40_input_data.csv
0.45,upside,16868,8773,8095,0.5200972255157695,0.5245543143736464,-0.5251995058678196,350.42499999999995,13.064999999999811,337.36,13.064999999999811,0.0007745435143466807,0.0010418868482059231,260.80000000000024,421.69940981485985,1.0029591528193487,0.7473478407249479,0.050095858895704753,4428.179999999999,4415.115000000001,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p45_input_data.csv
0.5,upside,14470,7498,6972,0.5181755355908777,0.5438416911176314,-0.5420137693631669,298.80500000000006,9.404999999999847,289.40000000000003,9.404999999999847,0.0006499654457498166,0.0008450505280120378,256.8500000000003,478.6173483648563,1.002399390776696,0.7730438292233848,0.036616702355459746,3929.1499999999996,3919.745,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p50_input_data.csv
0.55,upside,12371,6413,5958,0.5183897825559777,0.5643037579915796,-0.5552735817388386,310.55999999999995,63.139999999999844,247.42000000000002,63.139999999999844,0.0051038719586128725,0.006427845378348302,222.12500000000045,239.8628583769792,1.0184158141501938,0.7977655474629893,0.28425436128306003,3491.715,3428.575,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p55_input_data.csv
0.6,upside,10654,5532,5122,0.5192415993992866,0.5795544107013739,-0.5719689574385006,276.46999999999997,63.38999999999987,213.08,63.38999999999987,0.005949877980101359,0.007268781238799931,207.2350000000002,219.3078998888841,1.0208998577332604,0.822179387153688,0.30588462373633707,3096.4249999999993,3033.035,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p60_input_data.csv
0.65,upside,9150,4765,4385,0.5207650273224044,0.5980975865687304,-0.5914298745724059,256.515,73.5149999999999,183.0,73.5149999999999,0.008034426229508186,0.00950319094491074,182.75000000000014,184.58663703853364,1.027411332179931,0.8488777214274985,0.40227086183310445,2755.4350000000004,2681.92,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p65_input_data.csv
0.7,upside,7766,4043,3723,0.5206026268349214,0.6244484293841207,-0.6157279076013967,232.29000000000002,76.96999999999991,155.32,76.96999999999991,0.00991115117177439,0.01124373863239951,170.87500000000026,167.98564687377154,1.0325121175961223,0.8850145829680673,0.45044623262618755,2444.395,2367.425,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00020_threshold_0p70_input_data.csv
