0.3745401188473625,0.9507143064099162,0.7319939418114051,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.43194501864211576,0.2912291401980419,0.6118528947223795,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.45606998421703593,0.7851759613930136,0.19967378215835974,0.5142344384136116,0.5924145688620425,0.046450412719997725,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.9488855372533332,0.9656320330745594,0.8083973481164611,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013,0.12203823484477883,0.4951769101112702,0.034388521115218396,0.9093204020787821,0.2587799816000169,0.662522284353982,0.31171107608941095,0.5200680211778108,0.5467102793432796,0.18485445552552704,0.9695846277645586,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.1959828624191452,0.045227288910538066,0.32533033076326434,0.388677289689482,0.2713490317738959,0.8287375091519293,0.3567533266935893,0.28093450968738076,0.5426960831582485,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.9868869366005173,0.7722447692966574,0.1987156815341724,0.005522117123602399,0.8154614284548342,0.7068573438476171,0.7290071680409873
TradingDay,TradingMsOfDay,Actual,Predicted,Threshold,ModelID
20250701,38100000,-0.31,0.2887011170387268,0.6,65
20250701,38160000,-0.69,0.2057127654552459,0.6,65
20250701,38220000,-0.78,0.2367926687002182,0.6,65
20250701,38280000,-0.28,0.433953046798706,0.6,65
20250701,38340000,-0.27,0.3462943434715271,0.6,65
20250701,38400000,-0.29,0.3987435102462768,0.6,65
20250701,38520000,-0.12,0.4538061618804931,0.6,65
20250701,38580000,-0.13,0.4034597873687744,0.6,65
20250701,40140000,0.27,0.1150005906820297,0.6,65
20250701,40200000,0.14,0.0704747810959816,0.6,65
20250701,40560000,1.34,0.256549060344696,0.6,65
20250701,40620000,1.495,0.132350280880928,0.6,65
20250701,40680000,1.35,-0.3509241342544555,0.6,65
20250701,40740000,1.03,-0.6677401661872864,0.6,65
20250701,40800000,0.96,-0.7834309935569763,0.6,65
20250701,40860000,0.93,-0.9866729378700256,0.6,65
20250701,40920000,0.72,-1.2075164318084717,0.6,65
20250701,40980000,0.48,-1.254045844078064,0.6,65
20250701,41100000,0.44,-1.079627275466919,0.6,65
20250701,41160000,0.18,-1.031257390975952,0.6,65
20250701,41220000,-0.235,-0.8964558839797974,0.6,65
20250701,41280000,-0.49,-0.8845891356468201,0.6,65
20250701,41400000,-0.56,-0.2464256435632705,0.6,65
20250701,41460000,-0.87,-0.0980506390333175,0.6,65
20250701,41520000,-1.08,-0.1029352694749832,0.6,65
