rank,chromosome,composite_score,total_pnl_after_fees,sharpe_ratio,max_drawdown,win_rate,num_trades,profit_factor,avg_pnl_per_trade,volatility,calmar_ratio,from_trading_day,to_trading_day,market_regime,generation,daily:daily_down_acc_thr_0.6,daily:daily_down_ws_acc_thr_0.6,daily:daily_down_pnl_thr_0.6,daily:daily_down_ppt_thr_0.6,daily:2day_down_acc_thr_0.6,daily:2day_down_ws_acc_thr_0.6,daily:2day_down_pnl_thr_0.6,daily:2day_down_ppt_thr_0.6,daily:3day_down_acc_thr_0.6,daily:3day_down_ws_acc_thr_0.6,daily:3day_down_pnl_thr_0.6,daily:3day_down_ppt_thr_0.6,daily:1week_down_acc_thr_0.6,daily:1week_down_ws_acc_thr_0.6,daily:1week_down_pnl_thr_0.6,daily:1week_down_ppt_thr_0.6,daily:2week_down_acc_thr_0.6,daily:2week_down_ws_acc_thr_0.6,daily:2week_down_pnl_thr_0.6,daily:2week_down_ppt_thr_0.6,daily:4week_down_acc_thr_0.6,daily:4week_down_ws_acc_thr_0.6,daily:4week_down_pnl_thr_0.6,daily:4week_down_ppt_thr_0.6,daily:8week_down_acc_thr_0.6,daily:8week_down_ws_acc_thr_0.6,daily:8week_down_pnl_thr_0.6,daily:8week_down_ppt_thr_0.6,daily:13week_down_acc_thr_0.6,daily:13week_down_ws_acc_thr_0.6,daily:13week_down_pnl_thr_0.6,daily:13week_down_ppt_thr_0.6,daily:26week_down_acc_thr_0.6,daily:26week_down_ws_acc_thr_0.6,daily:26week_down_pnl_thr_0.6,daily:26week_down_ppt_thr_0.6,daily:52week_down_acc_thr_0.6,daily:52week_down_ws_acc_thr_0.6,daily:52week_down_pnl_thr_0.6,daily:52week_down_ppt_thr_0.6,daily:from_begin_down_acc_thr_0.6,daily:from_begin_down_ws_acc_thr_0.6,daily:from_begin_down_pnl_thr_0.6,daily:from_begin_down_ppt_thr_0.6,regime:1day_down_acc_thr_0.6,regime:1day_down_ws_acc_thr_0.6,regime:1day_down_pnl_thr_0.6,regime:1day_down_ppt_thr_0.6,regime:2day_down_acc_thr_0.6,regime:2day_down_ws_acc_thr_0.6,regime:2day_down_pnl_thr_0.6,regime:2day_down_ppt_thr_0.6,regime:3day_down_acc_thr_0.6,regime:3day_down_ws_acc_thr_0.6,regime:3day_down_pnl_thr_0.6,regime:3day_down_ppt_thr_0.6,regime:4day_down_acc_thr_0.6,regime:4day_down_ws_acc_thr_0.6,regime:4day_down_pnl_thr_0.6,regime:4day_down_ppt_thr_0.6,regime:5day_down_acc_thr_0.6,regime:5day_down_ws_acc_thr_0.6,regime:5day_down_pnl_thr_0.6,regime:5day_down_ppt_thr_0.6,regime:10day_down_acc_thr_0.6,regime:10day_down_ws_acc_thr_0.6,regime:10day_down_pnl_thr_0.6,regime:10day_down_ppt_thr_0.6,regime:20day_down_acc_thr_0.6,regime:20day_down_ws_acc_thr_0.6,regime:20day_down_pnl_thr_0.6,regime:20day_down_ppt_thr_0.6,regime:30day_down_acc_thr_0.6,regime:30day_down_ws_acc_thr_0.6,regime:30day_down_pnl_thr_0.6,regime:30day_down_ppt_thr_0.6
1,2,51.73,34.43999999999999,0.03174806360732663,49.379999999999995,0.5169230769230769,1300,1.088071705302459,0.026492307692307687,0.8422287030007052,0.6974483596597811,20250101,20250808,0,5,0.8231103407097919,0.026117981569867332,0.21077063993129397,0.6184217693496102,0.09828446533689916,0.6201313098768588,0.8815323064204137,0.9606540578042385,0.9804293742150735,0.5211276502712239,0.5554235643131704,0.7647569482692499,0.6190980675828771,0.41768557955972274,0.7688053063237427,0.4232017504120317,0.33552504549919815,0.6819264848723984,0.3684555913246884,0.47352918780930053,0.3093138013917974,0.09495426388360773,0.3248907136368232,0.41511218614249124,0.7422739488503802,0.6579088675866257,0.20131683134279676,0.808487913243346,0.7864024384097678,0.9499827975328625,0.5106162349890584,0.7961595415020245,0.4453774958910275,0.7430669105102151,0.07874907332177594,0.8598070465661269,0.4343886448729798,0.24605794567291628,0.8616407182731707,0.020022559117985117,0.45082670983145,0.04742287434525816,0.26438115326727707,0.8587740041280045,0.11817478095440814,0.9015900311504366,0.1228875539702794,0.15743374693326317,0.7873852916367928,0.6649390578290946,0.7202041723984404,0.5392553233782389,0.612462049947944,0.9006875037302683,0.004529959040769693,0.37876973050352947,0.6515744001430833,0.06848675999444143,0.38505609492219894,0.532802108369059,0.1629177546747762,0.5551585657135201,0.1267851475022781,0.9457352211284518,0.9826123685208349,0.301446129711462,0.4909900770210244,0.6991183371572405,0.9781755040038349,0.28127815478903406,0.6738103391962849,0.3087503880658028,0.27356842178705487,0.5810184909789567,0.5915811325489647,0.05818320873854366
2,18,51.66,33.309999999999995,0.031040567277095303,49.205,0.5151280062063616,1289,1.0863355969104764,0.025841737781225754,0.840338160885626,0.6769637231988618,20250101,20250808,0,5,0.8231103407097919,0.026117981569867332,0.6032291117300442,0.6184217693496102,0.09828446533689916,0.6201313098768588,0.8815323064204137,0.9606540578042385,0.9804293742150735,0.5211276502712239,0.5554235643131704,0.7647569482692499,0.6190980675828771,0.41768557955972274,0.5953790631734617,0.4232017504120317,0.6058418631026974,0.6819264848723984,0.3684555913246884,0.47352918780930053,0.3093138013917974,0.09495426388360773,0.3248907136368232,0.41511218614249124,0.7422739488503802,0.6579088675866257,0.20131683134279676,0.808487913243346,0.7864024384097678,0.9499827975328625,0.4734624454073528,0.7961595415020245,0.4453774958910275,0.7430669105102151,0.07874907332177594,0.8598070465661269,0.4343886448729798,0.24605794567291628,0.8616407182731707,0.020022559117985117,0.926019508559656,0.04742287434525816,0.26438115326727707,0.8587740041280045,0.11556718244703801,0.9015900311504366,0.1228875539702794,0.15743374693326317,0.7873852916367928,0.6649390578290946,0.7202041723984404,0.5392553233782389,0.612462049947944,0.9006875037302683,0.004529959040769693,0.37876973050352947,0.6515744001430833,0.06848675999444143,0.38505609492219894,0.532802108369059,0.1629177546747762,0.17238748530501147,0.5084248921576685,0.05902445626966857,0.25982144697907816,0.7837581607512468,0.3026436484212631,0.9270905225395275,0.4447506000327969,0.8121216839378882,0.4049803892154741,0.754053869673167,0.7744580162386291,0.23224427263265002,0.6731692474357525,0.9894434916394768
3,13,50.98,22.584999999999987,0.020246752015358305,49.38,0.5134529147982063,1338,1.055212624219237,0.01687967115097159,0.8412425036389887,0.4573714054272982,20250101,20250808,0,5,0.8231103407097919,0.026117981569867332,0.21077063993129397,0.6184217693496102,0.09828446533689916,0.6201313098768588,0.8815323064204137,0.9606540578042385,0.9804293742150735,0.5211276502712239,0.5554235643131704,0.041569509303846286,0.6190980675828771,0.4039528711493995,0.7688053063237427,0.4232017504120317,0.33552504549919815,0.6819264848723984,0.3684555913246884,0.47352918780930053,0.41403688703414177,0.09495426388360773,0.3248907136368232,0.41511218614249124,0.7422739488503802,0.6579088675866257,0.20131683134279676,0.808487913243346,0.7864024384097678,0.9499827975328625,0.5106162349890584,0.7961595415020245,0.4453774958910275,0.7430669105102151,0.07874907332177594,0.8598070465661269,0.4343886448729798,0.24605794567291628,0.8616407182731707,0.020022559117985117,0.45082670983145,0.04742287434525816,0.26438115326727707,0.8587740041280045,0.11817478095440814,0.32574225256446965,0.1228875539702794,0.15743374693326317,0.014642574197996527,0.6649390578290946,0.7202041723984404,0.5392553233782389,0.612462049947944,0.9006875037302683,0.004529959040769693,0.37876973050352947,0.6515744001430833,0.06848675999444143,0.38505609492219894,0.532802108369059,0.1629177546747762,0.5551585657135201,0.24721080561949182,0.9457352211284518,0.9826123685208349,0.301446129711462,0.4909900770210244,0.6991183371572405,0.9781755040038349,0.28127815478903406,0.6738103391962849,0.3087503880658028,0.27356842178705487,0.5810184909789567,0.5915811325489647,0.05818320873854366
4,1,50.75,21.594999999999988,0.017039203872013187,74.39999999999998,0.5304287690179806,1446,1.045242659459686,0.014934301521438443,0.8819564506559053,0.29025537634408594,20250101,20250808,0,5,0.29624916167243354,0.8090677156733267,0.35025252522341144,0.7894092564308925,0.5613489757705725,0.25358895422013317,0.10497708368510905,0.058460729196879724,0.6732923807698442,0.6978296570017101,0.7327832059516539,0.44583475228442093,0.07637632039359277,0.3176805966199643,0.7410232771836268,0.35590976571578914,0.47014548492004427,0.1810857177346843,0.5661404458145766,0.45490615596698825,0.5296305154817527,0.2930305486524848,0.12097787007006366,0.6781530719749497,0.09358968347698504,0.6772553697317375,0.43233249756682635,0.7569714206658218,0.33544620663849345,0.5132221243123415,0.9876911143597368,0.10375413165912428,0.6804361576402314,0.39113473324146986,0.11655619545171181,0.70722572636939,0.4136160945599694,0.4560330320768555,0.33195253580190287,0.0937152433162668,0.3524797074272401,0.8057929087049822,0.0051095879954289325,0.46502849139064684,0.19091752157285335,0.07588166476887537,0.16466311221828844,0.1524555496740907,0.25709201836437945,0.06937376769742032,0.9341188783822986,0.5466259201069118,0.9672960369260322,0.8973085224641426,0.3910502178883323,0.37876973050352947,0.6515744001430833,0.7047156078805414,0.6095598712590458,0.540034464181656,0.20608185091330178,0.1991614766227019,0.7957388648160442,0.2903327777707566,0.6559628278238538,0.29961677580702484,0.14447837842282873,0.12237948058926118,0.31026952684458975,0.24339801628096225,0.5881040426583761,0.2453432529633598,0.7477706117928631,0.7201466478542229,0.6952608669550929,0.10274277857321168
5,11,50.16,5.314999999999985,0.004463338573123277,58.23000000000002,0.5322108345534406,1366,1.011986648925374,0.003890922401171292,0.8775332662919308,0.09127597458354772,20250101,20250808,0,5,0.2593714699484434,0.043361051161900255,0.5820303421266043,0.5980280086242405,0.6107767824971504,0.7649745762569753,0.8072521934111894,0.09483773491621972,0.7452994725642238,0.932896023067255,0.8422088990986232,0.7999589844085812,0.6823807787172481,0.5360864234243254,0.5072328050573641,0.9548308572874987,0.775696775963397,0.26290878358154635,0.1688780426825024,0.18339044112944902,0.03175320156246686,0.22962335064195538,0.5299113764955138,0.691915562990822,0.289967163972804,0.09894909436422417,0.013875794421650989,0.9831816138299763,0.5487854890940059,0.5132221243123415,0.2710431921106128,0.5309143712841541,0.6269673945731282,0.08889834745704472,0.11655619545171181,0.70722572636939,0.4136160945599694,0.4560330320768555,0.33195253580190287,0.0937152433162668,0.4577166960483934,0.26069549072603415,0.19350921158975343,0.46502849139064684,0.13446575952768347,0.07588166476887537,0.8704810295289689,0.1524555496740907,0.25709201836437945,0.06937376769742032,0.9271894410882913,0.40661236835601944,0.9672960369260322,0.8973085224641426,0.3910502178883323,0.37876973050352947,0.2507538780469373,0.8562783636180507,0.3873420088703152,0.8946551014623148,0.1629177546747762,0.5551585657135201,0.1267851475022781,0.9457352211284518,0.2866775445577747,0.3345924393997999,0.7696255696817745,0.31195002070582545,0.8757106039546283,0.954738172994439,0.8313506419890216,0.43307377794914204,0.4046784137150877,0.5810184909789567,0.5915811325489647,0.05818320873854366
6,14,50.11,9.389999999999986,0.008490188380287788,49.379999999999995,0.506405425772419,1327,1.0228442141371386,0.0070761115297663804,0.8410513513722923,0.19015795868772756,20250101,20250808,0,5,0.8231103407097919,0.026117981569867332,0.8592362322313067,0.6184217693496102,0.09828446533689916,0.6201313098768588,0.8815323064204137,0.9606540578042385,0.9804293742150735,0.5211276502712239,0.5554235643131704,0.7647569482692499,0.6190980675828771,0.6815318755785357,0.7688053063237427,0.4232017504120317,0.33552504549919815,0.6819264848723984,0.3684555913246884,0.47352918780930053,0.12445055652079384,0.09495426388360773,0.3248907136368232,0.41511218614249124,0.7422739488503802,0.6579088675866257,0.20131683134279676,0.808487913243346,0.7864024384097678,0.9499827975328625,0.5106162349890584,0.7961595415020245,0.4453774958910275,0.7430669105102151,0.07874907332177594,0.8598070465661269,0.039781397672509655,0.24605794567291628,0.8616407182731707,0.020022559117985117,0.45082670983145,0.5448185865526362,0.26438115326727707,0.8587740041280045,0.11817478095440814,0.9015900311504366,0.1228875539702794,0.15743374693326317,0.7873852916367928,0.6649390578290946,0.7202041723984404,0.5392553233782389,0.612462049947944,0.9006875037302683,0.004529959040769693,0.37876973050352947,0.6515744001430833,0.06848675999444143,0.6314582947651363,0.532802108369059,0.23688003527484236,0.5551585657135201,0.1267851475022781,0.7318690369680064,0.9826123685208349,0.301446129711462,0.4909900770210244,0.6991183371572405,0.9781755040038349,0.28127815478903406,0.6738103391962849,0.3087503880658028,0.27356842178705487,0.5810184909789567,0.5915811325489647,0.05818320873854366
7,24,24.92,-9.590000000000025,-0.007304177128390498,81.32499999999997,0.529054054054054,1480,0.9811663508086292,-0.006479729729729746,0.8925542823679512,-0.11792191822932711,20250101,20250808,0,5,0.29624916167243354,0.8090677156733267,0.35025252522341144,0.7894092564308925,0.5613489757705725,0.25358895422013317,0.10497708368510905,0.058460729196879724,0.6732923807698442,0.6978296570017101,0.20321233200132616,0.7334906780731698,0.07637632039359277,0.3176805966199643,0.13336649743559426,0.35590976571578914,0.47014548492004427,0.1810857177346843,0.5661404458145766,0.815489310850694,0.5296305154817527,0.2930305486524848,0.9197989337201996,0.6781530719749497,0.09358968347698504,0.027531149019156653,0.43233249756682635,0.7569714206658218,0.5446414609552696,0.6501796613527596,0.9876911143597368,0.7865968680623043,0.6804361576402314,0.39113473324146986,0.11655619545171181,0.70722572636939,0.4136160945599694,0.4560330320768555,0.3419031857010094,0.0937152433162668,0.3524797074272401,0.8057929087049822,0.0051095879954289325,0.46502849139064684,0.19091752157285335,0.07588166476887537,0.16466311221828844,0.1524555496740907,0.1936205891134003,0.06937376769742032,0.9341188783822986,0.5466259201069118,0.3699402863275968,0.8973085224641426,0.3910502178883323,0.37876973050352947,0.6515744001430833,0.7047156078805414,0.6095598712590458,0.540034464181656,0.20608185091330178,0.1991614766227019,0.7957388648160442,0.2903327777707566,0.6559628278238538,0.29961677580702484,0.14447837842282873,0.12237948058926118,0.31026952684458975,0.24339801628096225,0.5881040426583761,0.48875173073344524,0.7477706117928631,0.7201466478542229,0.9894034179786467,0.10274277857321168
8,17,24.49,-13.425000000000018,-0.011184275273776004,62.535000000000025,0.5143884892086331,1390,0.9708285347993306,-0.009658273381294977,0.8698159363419176,-0.214679779323579,20250101,20250808,0,5,0.8231103407097919,0.18060870586985356,0.2995981303095101,0.6184217693496102,0.44242142079015745,0.4884271388951186,0.8072521934111894,0.6872189405327561,0.7001003737955693,0.932896023067255,0.8422088990986232,0.7999589844085812,0.8496031106422478,0.7489087805740303,0.5072328050573641,0.494690231449305,0.037614981038705975,0.5905558664700695,0.347549220296686,0.18339044112944902,0.03175320156246686,0.15755485574605477,0.5299113764955138,0.5420689362913566,0.289967163972804,0.0900997516998211,0.9520373955445292,0.6842838194921054,0.5487854890940059,0.5798197840078999,0.4851609695289597,0.5246945641656762,0.5320229995643935,0.7165655335684908,0.015894399656419034,0.43982126299972346,0.6730693011180391,0.36496218203278274,0.48631005563939633,0.8212644227699836,0.3592852619723892,0.6048846097394799,0.13592195314073963,0.7925690822418116,0.3851468539570202,0.8404218874158421,0.5728288435488139,0.9688269230247804,0.14556744953343903,0.51425472176551,0.5276518299895678,0.92767047761023,0.15967475615007787,0.5866844847999053,0.9929892357665057,0.5679660885188987,0.22003428743778952,0.48468822991573945,0.5619991771098153,0.7047848259588947,0.6619339451146399,0.18924280929603876,0.9541089454065985,0.41947302201697323,0.9826123685208349,0.301446129711462,0.19857557884028132,0.6991183371572405,0.3628900932169583,0.917450258341668,0.4286290476309076,0.3087503880658028,0.27356842178705487,0.5810184909789567,0.5915811325489647,0.05818320873854366
9,27,24.39,-11.265000000000017,-0.009570062306478827,52.42000000000002,0.5054466230936819,1377,0.9748655704054083,-0.008180827886710252,0.862350420347864,-0.21489889355207958,20250101,20250808,0,5,0.11348847189364952,0.5170500118056044,0.5729268579403896,0.14398002890168193,0.707605138259081,0.7996046016600539,0.6455618545082925,0.608996549844089,0.4143307836842087,0.5493497168310081,0.25599243129796234,0.02401135414536093,0.09872595484881053,0.3004364353612884,0.6408556778104257,0.7464780408603162,0.18549413807589044,0.9171935490375146,0.27092080337477,0.27354789159746873,0.9544126823985427,0.12711457105906354,0.7472648498793711,0.005237955698902619,0.43251831034238697,0.6959562013216979,0.5530257042345487,0.6372612517714171,0.5126235297435472,0.6405345609321729,0.5368657924644523,0.29345981797989673,0.7235377385344111,0.942515704531613,0.2539648415173993,0.9422559726472951,0.7449452977699604,0.9119865980103695,0.9080145338330542,0.9971444336581019,0.1272643715841144,0.2586703239836272,0.15766316424794025,0.8587740041280045,0.3348156564151846,0.9015900311504366,0.1228875539702794,0.8159200181386319,0.7873852916367928,0.6649390578290946,0.7202041723984404,0.5392553233782389,0.4719474542548665,0.9006875037302683,0.5599336679673282,0.5277864449097718,0.6944934244649952,0.7244883257178698,0.6385766794385177,0.6690279739717333,0.4542809790228073,0.9157764166967288,0.7440674029374216,0.9294858018400058,0.8911779892563932,0.32033320619063854,0.6900263485800929,0.058868078357722564,0.4447506000327969,0.3771513337602156,0.8938234794437749,0.754053869673167,0.7744580162386291,0.8790485110533273,0.4814823173002244,0.3029007250817266
10,16,24.29,-20.48000000000002,-0.016648002698975452,70.99500000000003,0.5198863636363636,1408,0.9568337741993276,-0.014545454545454561,0.8799553645912125,-0.28847101908585127,20250101,20250808,0,5,0.11348847189364952,0.18850650716219908,0.7287346335011062,0.859054215889989,0.707605138259081,0.7996046016600539,0.11935753179218278,0.41459960718816635,0.7060310112730092,0.4922561226536756,0.25599243129796234,0.02401135414536093,0.08840474618271588,0.3004364353612884,0.6408556778104257,0.32220794806947894,0.9087808065918346,0.9171935490375146,0.27092080337477,0.27354789159746873,0.9544126823985427,0.7693454820919021,0.7472648498793711,0.005237955698902619,0.43251831034238697,0.6959562013216979,0.5530257042345487,0.9352357974497159,0.5126235297435472,0.2333359725660582,0.5368657924644523,0.29345981797989673,0.010602052900659742,0.8838007177922461,0.2539648415173993,0.9422559726472951,0.5471740343644168,0.267210445760492,0.4630750427366762,0.526403885572817,0.5468849710613516,0.2586703239836272,0.17463634725314248,0.3607102575013952,0.14018226528081834,0.3890786551516633,0.471888334145795,0.28422431503923584,0.14556744953343903,0.51425472176551,0.5276518299895678,0.3052425160786135,0.15967475615007787,0.8447612671477578,0.9929892357665057,0.5679660885188987,0.3863063807868756,0.6859135732983769,0.16353593927090682,0.540034464181656,0.6704414283357621,0.18924280929603876,0.9541089454065985,0.05902445626966857,0.8802062359776875,0.7837581607512468,0.25247741468160834,0.9270905225395275,0.4447506000327969,0.07517383752716122,0.8938234794437749,0.754053869673167,0.7744580162386291,0.8790485110533273,0.4814823173002244,0.3029007250817266
