Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max,overnight_gap_absolute_mean,overnight_gap_absolute_std,overnight_gap_absolute_median,overnight_gap_absolute_min,overnight_gap_absolute_max,overnight_gap_percentage_mean,overnight_gap_percentage_std,overnight_gap_percentage_median,overnight_gap_percentage_min,overnight_gap_percentage_max,overnight_gap_positive_mean,overnight_gap_positive_std,overnight_gap_positive_median,overnight_gap_positive_min,overnight_gap_positive_max,overnight_gap_magnitude_mean,overnight_gap_magnitude_std,overnight_gap_magnitude_median,overnight_gap_magnitude_min,overnight_gap_magnitude_max
0,368,26.136363636363637,0.1771346727594817,0.2356285670025761,0.14512898516571215,-0.2801178431833069,1.154686037369104,0.13667219496464975,0.0761092807366014,0.12146328889469796,0.026412752501661002,0.38885226731613703,-0.14875814146561755,0.14118286085057624,-0.10967341067451564,-0.624449173491537,0.0,0.40784409799018284,0.3014947262324599,0.3512290868215917,0.0,1.5049097681184787,0.5566022394558005,0.2826256024299969,0.5044767802992456,0.13238171981122537,1.5139496407769126,0.5566022394558005,0.2826256024299969,0.5044767802992456,0.13238171981122537,1.5139496407769126,1.9244541907284936e-05,2.0858615450444882e-05,1.64042684535002e-05,-2.0767995031131877e-05,9.492307994274166e-05,0.00029062197108009483,0.00010266100101714034,0.00027379141169940537,0.00011602207254250494,0.0006599671809505513,-0.10925868589250158,0.387231422013273,-0.11209846285275621,-1.2913261098507414,1.2955719711376927,1.4271931201920147,1.2126206984778602,1.0771128549061673,-0.5120799876004054,6.142826199053996,0.0035743389411826993,0.0012629243639080971,0.0033816323791993792,0.0014287059382436672,0.008093380512689726,0.029104493103572823,0.010301521028646196,0.02746390067625292,0.011606593191740951,0.06585193044202095,0.10624460975161887,0.040957816601164036,0.1013839638766667,0.03243293332717556,0.24720018916187803,0.025349001702333215,0.009368699149424689,0.023614831670525346,0.009773134776660095,0.05958491087252219,0.014425194503052994,0.0055459302720892245,0.013516430456952059,0.004765168511832014,0.03572671372344997,0.07968187096074025,0.03143067101738955,0.07421384857342313,0.028267277318056457,0.20390837457173677,0.0049072190022150875,0.005139639830384823,0.004178460665615008,-0.004745831516448956,0.022515484083705833,0.02474804414913634,0.010189082397486695,0.02312691252787146,0.008536969130772636,0.0614745194014073,0.0012619954413146505,0.0177836008897099,0.001326474405025091,-0.07616017738573122,0.060191292875988456,0.0019402629825936435,0.0020576151079769295,0.0017288212885626373,-0.0024427730236740827,0.007855975151504243,0.47728269098528386,0.283819147432695,0.47804541522262745,0.02764670673881446,0.9646592840936692,0.0010647530972010026,0.005076501602657255,8.690421778793677e-23,4.6648643122758334e-110,0.04130609778862062,0.00144128097612474,0.001570231629903281,0.0007971479255918389,6.425343679747891e-06,0.0068011082253567785,79.79891304347827,6.495633894247023,80.0,65,98,0.4644368252115553,0.04359485835065115,0.46308724832214765,0.3422818791946308,0.563758389261745,36.380434782608695,3.0842953930895867,37.0,27,45,36.33967391304348,3.1564895026950146,36.5,27,46,1.0014757005123684,0.019330539773048206,1.0,0.9666666666666667,1.0344827586206897,48.1590123812266,4.107447738999282,48.34437086092716,35.76158940397351,60.264900662251655,-0.010025892256275834,0.094296350883174,-0.009590616067360096,-0.2677632661649826,0.297229810832707,8.057065217391305,1.725607667412743,8.0,3,12,5.371376811594204,1.1504051116084955,5.333333333333334,2.0,8.0,0.001061685013045073,0.0004089607899775433,0.0010126249637101173,0.0003244007275844574,0.002474634991338729,2.181019021739132,1.7509031775452863,1.8199999999999932,0.0049999999999954525,8.470000000000027,0.49350589765895764,0.4013870839307446,0.3913201976398142,0.0010547076877633768,1.9353600701773628,1.0,0.0,1.0,1,1,0.49350589765895764,0.4013870839307446,0.3913201976398142,0.0010547076877633768,1.9353600701773628
1,225,15.980113636363635,-0.25728655845884846,0.269794378049153,-0.23242281473634233,-1.1354328357626207,0.42795017555618436,0.20574424505430852,0.09686183499437313,0.190558701909411,0.049692583435906594,0.5294651217808478,-0.6523396703248523,0.3712392447275994,-0.5763369354391812,-1.883874901994953,-0.053589395861586286,0.1657738031149973,0.1680155157026134,0.11998902957444102,0.0,0.8959240766316157,0.8181134734398496,0.3545364821094026,0.744661868792007,0.2356189161529798,2.097308127885711,0.8181134734398496,0.3545364821094026,0.744661868792007,0.2356189161529798,2.097308127885711,-2.8114702291739078e-05,2.577773627994741e-05,-2.355877710213711e-05,-0.00012641575368447372,3.9307031595731993e-05,0.00042561383971710047,0.00014993630664671896,0.00039912214771194426,0.00015580081642400828,0.0008553403808235769,-0.3244695591399862,0.4016909040013848,-0.27976047635757484,-2.9111941037366247,0.557194709498,1.172084703664136,1.8336806069247866,0.7203577480056991,-0.5688075339900318,20.48110668237972,0.005231584976646293,0.001841999823417048,0.004921208728066468,0.0019192376089745486,0.010589533345575494,0.042442696866014526,0.01490782037075116,0.03987846758290874,0.015553833960492636,0.0846998278818567,0.14994179401808472,0.06231889777616428,0.1354715875805601,0.047317012719272356,0.5198464352210275,0.03777384241739775,0.013568322874224001,0.035409909930588686,0.013285167471345059,0.07929549601510352,0.020937833016515525,0.007801692192447197,0.019515136596844892,0.0060988589859477,0.046454335093779504,0.11590488964259395,0.04581372847993566,0.10765783182076176,0.03154467514617767,0.2886614786997365,-0.007088591490356384,0.006449595142088408,-0.006681274698551075,-0.03247356777655221,0.009914277769045708,0.038320990939021624,0.014596051671112891,0.03540636212068303,0.012311771618807506,0.09199819688546114,0.003536779196423557,0.03229680787365773,0.0038574666088064813,-0.12165819359081453,0.09529609859204924,-0.003096931787073852,0.0026022744681366856,-0.0028695337823156568,-0.010661003895889646,0.004545780516534692,0.5392167695474488,0.24453309601652604,0.5718141926716233,0.06374745965884707,0.9353121905100468,3.2808631576287994e-05,0.00017736928745743004,3.093618350537088e-29,1.7187527627969528e-90,0.0017623467546724345,0.002184292441394555,0.001969280771482526,0.0014679009777934585,3.575108355212506e-05,0.008921815461845874,76.7911111111111,6.508518255067217,77.0,61,95,0.4846234153616704,0.04368133057092092,0.4832214765100671,0.36241610738255037,0.5906040268456376,36.275555555555556,3.011766226397583,36.0,26,46,36.284444444444446,3.04616010052405,36.0,26,45,1.0000480277646835,0.019737212658012676,1.0,0.96875,1.0357142857142858,48.05298013245033,3.984639796402217,48.34437086092716,34.437086092715234,60.264900662251655,0.02937178088082478,0.08763658234458532,0.036429100473420815,-0.2747506442025872,0.22349149013924882,7.591111111111111,1.6949365405652244,7.0,3,12,5.06074074074074,1.1299576937101494,4.666666666666667,2.0,8.0,0.0015028064594318938,0.0006258510021287581,0.0013550879891593127,0.0004740566836349682,0.005212334481533753,2.258533333333335,1.5649147168811164,2.0149999999999864,0.029999999999972715,8.834999999999923,0.5252596033006417,0.3928052071693453,0.4574821448125651,0.00682213555582729,2.0284489169475246,1.0,0.0,1.0,1,1,0.5252596033006417,0.3928052071693453,0.4574821448125651,0.00682213555582729,2.0284489169475246
2,475,33.73579545454545,0.021596942334295686,0.3531997476129015,0.03198274806514641,-1.2492683498572594,1.268576383630852,0.19225008791992063,0.10100763218465422,0.16982070845638308,0.03837479108159365,0.5206554121708789,-0.3838375788692231,0.3573388821601581,-0.2901569161482098,-2.0061700553861694,0.0,0.3970097522624586,0.3325835640971755,0.31150145486351644,0.0,1.961498509315085,0.7808473311316816,0.38250037299235584,0.690916480390158,0.18531698604750124,2.121484525491202,0.7808473311316816,0.38250037299235584,0.690916480390158,0.18531698604750124,2.121484525491202,1.8014919883109214e-06,3.405796874934269e-05,6.412302148967878e-06,-9.980975564727356e-05,0.00010282633248855097,0.0004321178803141412,0.00019510507637356033,0.0003786048172320816,0.00012765011584093872,0.0012909462503297312,-0.004691321460722274,0.37230351342363877,-0.0024157842448414473,-1.2462068296430808,1.1681603650892995,1.1325272774679644,1.2136624214857643,0.7965767487593927,-0.645566742064664,6.113955433561207,0.005307641930569389,0.002392110725960819,0.0046395787874510975,0.0015668032000247575,0.015811318670558915,0.043207539128549965,0.0195087649544214,0.03784199538883031,0.012779094396971925,0.12964102762028107,0.1517784753422891,0.0720093866101169,0.1335028607756028,0.04688716135746729,0.43662514447155854,0.038337837876645096,0.01781806732349249,0.03361718676567784,0.010749952020250959,0.11669994674695744,0.020755021070324113,0.009302695749838639,0.01853741550081152,0.005448563049948936,0.05264582985508543,0.11488092015923147,0.05338201952908209,0.10360762538726931,0.03168545417831125,0.3558206456286732,0.00010257778453114836,0.008497753178247344,0.0014768794521761587,-0.024570913516406296,0.022260397381352194,0.038326867092094694,0.018708290074654646,0.03393751157921927,0.008650997119515539,0.11796608890028341,-0.0021927557805979424,0.02888346259359965,-0.0010186281625190752,-0.10551916717066889,0.11010933208974616,5.307589602284105e-05,0.003613697696756622,0.0007976012198976855,-0.010311811686932838,0.008863066902787922,0.47620490845114544,0.25492947492028806,0.4853645962013202,0.02897572970429626,0.9427033065507464,0.000395392218603491,0.0027678468503384767,2.987516297210017e-23,2.0319279788685072e-94,0.03665161114862579,0.0017455227521503745,0.001696774650649443,0.0012279742312163904,1.0298163082602546e-05,0.008749580105717822,77.56631578947369,6.432918802637698,78.0,59,93,0.4794206993995055,0.043173951695555025,0.47651006711409394,0.37583892617449666,0.6040268456375839,36.69052631578948,3.128647721475998,37.0,27,45,36.54105263157895,3.122060545515012,37.0,26,45,1.0043292505551287,0.02010379386714515,1.0,0.9655172413793104,1.0384615384615385,48.49773440223075,4.111749627900628,48.34437086092716,35.099337748344375,59.60264900662252,0.005518913221040931,0.09914385114126481,0.0036900971529880613,-0.304787933720942,0.27833380677181957,7.751578947368421,1.7833654263126537,8.0,3,13,5.167719298245614,1.1889102842084358,5.333333333333334,2.0,8.666666666666668,0.001518275704932023,0.0007200972351768311,0.0013370721833275033,0.00046869580704731015,0.004358247984310278,-2.645105263157897,2.422956695199979,-1.954999999999984,-12.029999999999973,0.0,-0.6142409265071377,0.5780943585028318,-0.4338615947528719,-2.997159798694497,0.0,0.0,0.0,0.0,0,0,0.6142409265071377,0.5780943585028318,0.4338615947528719,0.0,2.997159798694497
3,18,1.278409090909091,1.0818459788307717,0.9971205411588278,1.200486980975745,-0.5116431392348313,3.320134099090434,0.9199278406173376,0.43755146703227005,0.7829109122410709,0.40922511650004945,2.0045784044050716,-0.9044920517353449,1.019019702520194,-0.36228471932102657,-3.0097741139020973,0.0,2.9695383186744504,1.6036249741763062,2.557224143557124,1.0215043262563839,6.913327882256737,3.874030370409795,1.7524455116196964,3.434058501290899,1.8727388806129008,8.262469337694178,3.874030370409795,1.7524455116196964,3.434058501290899,1.8727388806129008,8.262469337694178,0.00012190923917634834,0.00010300199314757413,0.00013091570962109732,-8.114779576342103e-05,0.0003579986081349613,0.0020985941415681644,0.0007185802446308342,0.00193752741377525,0.0011045692148808524,0.004012140298660366,0.48202079417544497,1.0272429319833245,0.1880676811537942,-0.42714272385542285,3.9737975916987844,3.6473443086104598,7.2572940277501115,1.2394141738683322,-0.8751091307785819,31.980525146872324,0.025778869108356237,0.008794250355901033,0.023827888655349183,0.013612415710599185,0.049171349116207366,0.21217271666460571,0.07359731413007269,0.19581620876870232,0.11170630409223412,0.4135374565950916,0.8825252987826696,0.41727309797721085,0.8174488842135175,0.33695427396691624,2.1712790190471787,0.183885581962455,0.06295367401424704,0.17580043850440574,0.1023294722712742,0.35908040480223313,0.11035975054550518,0.05330971892441759,0.09300047903692718,0.042958816872721385,0.2794020752446382,0.6545084524101913,0.34260011766495735,0.5601769613448372,0.2426268576512885,1.7498246288023689,0.027763616645938446,0.027905703510734237,0.027905517422334825,-0.021746133355927632,0.08384810940330809,0.19190471047409788,0.08576214392896846,0.16882175493448148,0.09509880134801645,0.4848708948080229,0.015982799557702147,0.11900174057872696,0.025291511444226478,-0.17888863346638084,0.22344186409890776,0.011455682777419205,0.013432640249451146,0.009918514715289511,-0.009321631848287165,0.04197147501768085,0.46144547295738203,0.2854617870267209,0.55715388316718,0.04459524042478856,0.8741327032473408,0.0005190763683624207,0.0021166234392517593,1.21957386193961e-24,6.122486247233936e-69,0.009245777395867278,0.008783940934691613,0.00979013689699689,0.005808266818025034,0.00017269039418355404,0.034959901666054484,72.72222222222223,4.770343052601791,73.5,61,80,0.5119313944817301,0.03201572518524693,0.5067114093959731,0.46308724832214765,0.5906040268456376,35.666666666666664,2.380476142847617,36.0,29,40,35.55555555555556,2.3856567281759875,35.5,29,40,1.003235229276896,0.013223922251027411,1.0,0.9714285714285714,1.03125,47.16703458425312,3.1417663046665485,47.35099337748345,38.41059602649007,52.980132450331126,0.009779125659051195,0.10847662104595336,-0.011625004166184994,-0.194562394219988,0.20953690246635284,6.777777777777778,2.096440251568134,7.0,2,12,4.518518518518519,1.397626834378756,4.666666666666667,1.3333333333333335,8.0,0.008771700121781252,0.004216000122611565,0.008218685354131176,0.003328886805830938,0.02196473222311209,-10.15694444444444,11.188418011856038,-12.284999999999997,-25.77000000000004,13.805000000000007,-2.7572985266438192,3.552103776489544,-3.9827183860651743,-7.9038727897397045,6.261338896952108,0.2222222222222222,0.41573970964154905,0.0,0,1,4.040326296977384,1.9738033888755158,4.132919140355247,0.7549517784921677,7.9038727897397045
4,106,7.528409090909091,0.278694894696716,0.39846528350939003,0.26937205090075766,-1.0790858424955636,1.1673506105228717,0.29546942495639084,0.16484670794076298,0.28217020822565475,0.03119959630474973,0.8455055436996872,-0.3714935613787382,0.30879731160141916,-0.3190061120995513,-1.6356350353024518,0.0,0.7827739980393317,0.5301970177457629,0.734963119713572,0.0,2.2439561006213804,1.1542675594180698,0.5494467113499283,1.0934177695235192,0.15734974042004302,3.0395493486680025,1.1542675594180698,0.5494467113499283,1.0934177695235192,0.15734974042004302,3.0395493486680025,3.529301045738768e-05,4.066190484950449e-05,3.1527935250610285e-05,-5.1248807118111205e-05,0.00014314261168448875,0.0005938069236848188,0.0002486697021369866,0.0005729508087745415,0.00012016362063035299,0.0014373179663451738,-0.13530064557590343,0.7689741216421683,-0.12373317327699088,-2.3090663894360612,2.004859813512166,3.3045146635005884,3.236796627906088,2.2345002706359836,-0.2891984338250526,14.566914145434819,0.007300728680961087,0.0030497051164828023,0.0070316088473250426,0.0014717052992414895,0.017614808986509817,0.0594838713164501,0.02492646597495252,0.05732467394932455,0.012023418749109881,0.1440395645964693,0.24536528463028087,0.0905937552511706,0.23077634242974487,0.06501276699989456,0.5062241706339732,0.05157495178660753,0.0226247300045172,0.04707853179985002,0.009548441091605764,0.12434572598864178,0.029847611205680993,0.011077849092507093,0.028725977968327574,0.005714845603993725,0.06362797933443161,0.16881181236758053,0.06606097466220148,0.154346748763864,0.0362782985653461,0.34270304255292067,0.009671029315116453,0.01018810079880873,0.008906670394836594,-0.01119007464953139,0.036143621615216115,0.05188071771342967,0.023105169370734195,0.04805708264794249,0.008278335908796283,0.11956793830174646,-0.0028379621711446317,0.054976722310415456,0.004045062933715204,-0.1873578141191311,0.14213573384795009,0.004584187264983668,0.004421216024767974,0.003901485161317356,-0.003213351591887649,0.016755437219116227,0.503676680249283,0.3106855571958432,0.6301068468611948,0.007639797023882578,0.9625537309882853,0.015702099698584642,0.04651904531823317,5.4958905308512965e-34,3.481217302483258e-108,0.2858902397128501,0.0034695795759577814,0.0035070054312010593,0.00243003196465131,2.010070807075281e-06,0.016128008609600303,75.9622641509434,6.40743160550941,76.0,61,91,0.4901861466379638,0.04300289668127121,0.4899328859060402,0.38926174496644295,0.5906040268456376,36.028301886792455,3.462624010911355,36.0,28,46,36.075471698113205,3.3637863695194796,36.0,29,45,0.9986569993666377,0.020612460894709663,1.0,0.9655172413793104,1.0333333333333334,47.750843433712355,4.495227293426477,47.35099337748345,37.74834437086093,60.264900662251655,0.0018979233395129346,0.0972768690022793,0.00527264829426896,-0.26360353908772743,0.21658700645803808,7.311320754716981,1.834487268591921,7.0,3,12,4.874213836477988,1.2229915123946138,4.666666666666667,2.0,8.0,0.0024531785539251972,0.000907129098162843,0.0023096261102667466,0.0006499072233891762,0.005076142131979804,2.8435377358490594,4.977536755689147,2.305000000000007,-16.20500000000004,15.900000000000091,0.7426677652365549,1.1811641280516043,0.5987267013023996,-2.661400252919253,3.877686682916009,0.7452830188679245,0.43570200900964107,1.0,0,1,1.0701249827684227,0.8952857801686834,0.7612651413876785,0.004918516575396385,3.877686682916009
5,71,5.042613636363636,-0.5914173057818163,0.6233299583597004,-0.6054261059319882,-2.555292953084509,0.7655487775658635,0.48647352481978423,0.24330832268780295,0.48370630332056586,0.13274773727339736,1.2040351761925931,-1.5108373520387477,1.0067417629946176,-1.5140603005205144,-5.101497757165674,0.0,0.34050167601004594,0.3092467073638788,0.2392870429871019,0.0,1.3832039520113026,1.8513390280487936,0.8976767633806004,1.8965579644576458,0.4768416254689489,5.390405230745843,1.8513390280487936,0.8976767633806004,1.8965579644576458,0.4768416254689489,5.390405230745843,-7.104782966793577e-05,6.581064094567544e-05,-6.781762111411101e-05,-0.00025792527976870245,4.615944884291462e-05,0.0008922240539972309,0.0004306457464827035,0.0007831918024403319,0.0002517729583243515,0.002668248661836402,0.35814409398374325,0.7037927565777619,0.11820983365619077,-0.5363927375470401,2.9544152068473633,2.378300114499052,4.516978178582813,0.4634832395677271,-0.6121710061084156,21.606595355803393,0.010987734786026273,0.005282465113989261,0.009594937113852293,0.003107821077955559,0.03279624799264253,0.08854823392271913,0.04234911751666161,0.07811914716315613,0.025253595574993026,0.26273479807797734,0.32102207353612394,0.15490214432607607,0.277891609466252,0.1035409286166522,0.8260117000065792,0.07947199956401153,0.039249917701610786,0.07055636124572097,0.01880368514970797,0.2359430752035856,0.04108658223072223,0.019267197050664292,0.03682927992611136,0.012830032459263091,0.12258399562320729,0.23553384460657337,0.11073533669672907,0.21856017266309935,0.0639733250140573,0.6865400428603677,-0.01904812354560332,0.015923766830147047,-0.019607914208287936,-0.06696779934530006,0.009594685201966019,0.07734718446719704,0.039955186006542145,0.07034221041953541,0.021214018106827267,0.22364475965932856,0.014710170737547839,0.08621210165531516,0.0036814978436927603,-0.1453207911239729,0.4037101801870282,-0.008036323589157759,0.006690138285696764,-0.007920898655857975,-0.023452348591422773,0.005337853658500166,0.6077550463048135,0.29124077266383913,0.70134614239369,0.005822403971286007,0.958405544956519,0.005499794435778718,0.041495816454752775,6.172502647716753e-41,8.746998254192182e-105,0.35174267494466616,0.006489604030189612,0.005263873007435484,0.004706294443873171,7.73028825348332e-06,0.019083126349268547,74.11267605633803,7.058207281018394,76.0,56,88,0.5025994895547783,0.047370518664552975,0.4899328859060402,0.4093959731543624,0.6241610738255033,36.29577464788732,3.437139189554499,37.0,27,43,36.19718309859155,3.380223004185405,37.0,26,43,1.0028767344683671,0.021151159369105256,1.0,0.9696969696969697,1.0384615384615385,48.00858128905885,4.487307081577036,49.00662251655629,35.099337748344375,56.95364238410596,0.010562712925999505,0.10425409285369475,0.006074932120769194,-0.29707392412587896,0.25609658615947434,7.154929577464789,1.9036502173377978,7.0,3,12,4.769953051643195,1.2691001448918653,4.666666666666667,2.0,8.0,0.0032283934578062694,0.0015580550841131661,0.002771038181585952,0.0010420613868888085,0.008260117000065815,0.663732394366202,9.719814730393566,0.5550000000000068,-19.789999999999964,36.315,0.14835136219594602,2.3960008571020683,0.12153094264606401,-5.5387311201264655,7.322089260330871,0.5352112676056338,0.49875862562326134,1.0,0,1,1.8070274313127042,1.5803417656895136,1.5625430594978962,0.01993660160688329,7.322089260330871
6,145,10.298295454545455,-0.05797560740640853,0.207528783447093,-0.042164904064414144,-0.5995111346581109,0.6269577648560942,0.12462475716841936,0.06808103382869526,0.10758345989993602,0.02627041275718186,0.3493737557567864,-0.3473724643421671,0.2843148797181117,-0.2557740611407122,-1.5245925097238322,0.0,0.2172142225065547,0.20298402331606402,0.17962042476276086,0.0,1.0610318489695958,0.5645866868487218,0.29556296426941864,0.483991698138897,0.13074767895400186,1.5376009782368305,0.5645866868487218,0.29556296426941864,0.483991698138897,0.13074767895400186,1.5376009782368305,-2.631913083114909e-06,1.5526617466895705e-05,-2.1000443023109384e-06,-6.917655744741091e-05,5.28473447851516e-05,0.00041894548981387023,0.00021603356498965342,0.0003559703912200182,0.00014488560609316975,0.001169707766318232,-0.0606318662168443,0.3305432849354692,-0.09416634074276099,-0.8639467421384238,0.8097146521329219,0.9987472417163825,0.9619396641613759,0.8756613896524676,-0.38822822454518446,5.7113443564802004,0.005133891860692545,0.002647305891054011,0.004371349267139925,0.001776225293389368,0.014329026488928908,0.041855836770707686,0.0215612074289768,0.035657030123579736,0.014480028310398425,0.11660372635062795,0.14262404576141588,0.07241998614180295,0.1223709369024939,0.048824512864520386,0.4083432696862288,0.03668510305318075,0.019264041470265742,0.03141297779726193,0.011395627739244582,0.10411705065657172,0.01960645229974146,0.009696870307017528,0.01759182020413819,0.006983525405410365,0.048342519614060935,0.10881365861262172,0.05661706658850339,0.09287001811804134,0.035534205080867326,0.31404388323793175,-0.0003687474518475395,0.0030266019680348514,-0.0002500309223848833,-0.00882293925180313,0.011270244322252952,0.03646238605066354,0.019378091817469384,0.03145651715528464,0.009306818143211675,0.10619649406527473,0.0032509125577625973,0.02764758841462017,0.005871857991369689,-0.11279410746034446,0.08450034899089698,-2.9288615383032e-05,0.0003122234822926921,-3.777356994495668e-05,-0.0008147090881510468,0.0010306162082516052,0.011092348933446806,0.01034566786111146,0.008179004575923705,2.850266440651124e-06,0.05017079783933543,0.3582654717180073,0.29127220456099534,0.26944187767316735,0.005696434683952808,0.9835859057725514,3.895653487290134e-06,5.1439929673603335e-06,1.8967290703914815e-06,1.452142002996234e-11,2.8700262518558544e-05,79.1448275862069,7.186173803616965,79.0,59,96,0.4688266604952558,0.04822935438669104,0.4697986577181208,0.3557046979865772,0.6040268456375839,36.66206896551724,3.2466867772741055,37.0,26,44,36.710344827586205,3.1620971683020103,37.0,27,44,0.9986339543116334,0.01884922995566127,1.0,0.9629629629629629,1.03125,48.59100251198904,4.220062497467127,48.34437086092716,35.099337748344375,57.615894039735096,-0.006650943375664549,0.09686994710421273,0.004173147135730008,-0.2532999011373602,0.1934752939213522,7.917241379310345,1.8588222013465374,8.0,3,13,5.27816091954023,1.2392148008976915,5.333333333333334,2.0,8.666666666666668,0.0014273169748650959,0.0007244654652002831,0.0012237873669450395,0.00048824512864525433,0.004077438716096097,-0.046344827586205124,3.374288392677192,0.055000000000063665,-11.240000000000009,10.894999999999982,-0.0022580991025298175,0.7992132517613585,0.012509773260366055,-2.190048891361737,2.5348409762453135,0.5310344827586206,0.4990359314517391,1.0,0,1,0.5818846438690575,0.5478660256229634,0.4215761348384829,0.0025290631507045728,2.5348409762453135
