threshold,trade_type,num_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,total_pnl_before_fees,total_pnl_after_fees,total_fees,total_pnl,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,profit_factor,volatility,calmar_ratio,gross_profit,gross_loss
-0.7,downside,5101,5126,15,0.9786316408547344,0.6137163480296527,0.0,3145.91,3043.0899999999997,102.82000000000001,3043.0899999999997,0.5965673397373064,1.0585290024787217,0.01999999999998181,0.0006572267004913343,2515.95041322314,0.563581478013682,152154.50000013836,3044.2999999999997,1.2100000000000002
-0.65,downside,5877,5912,17,0.978730644886847,0.6030471921515562,0.0,3565.2150000000006,3446.6349999999993,118.58,3446.6349999999993,0.5864616300833757,1.048633439369345,0.01999999999998181,0.0005802761243932649,2471.7060931899637,0.5592627586204743,172331.7500001567,3448.0299999999997,1.3950000000000002
-0.6,downside,6764,6803,24,0.9781194559432289,0.5910414523004557,0.0,4020.855,3884.315,136.54,3884.315,0.574263010053223,1.0428895966842984,0.03999999999996362,0.001029782600019916,2292.6312684365776,0.5506460241611393,97107.87500008832,3886.0099999999993,1.695
-0.55,downside,7826,7867,30,0.9772553028366981,0.5762533367230203,0.0,4533.385,4375.445,157.94,4375.445,0.5590908510094557,1.035218082491774,0.05999999999994543,0.0013712890917368485,2125.002427184466,0.5400706000649851,72924.08333339966,4377.505,2.06
-0.5,downside,9110,9161,35,0.9765093304061471,0.5633402466979588,0.0,5160.759999999999,4976.84,183.92000000000002,4976.84,0.546305159165752,1.0191811511334898,0.05999999999994543,0.0012055842663205067,1995.7254509018028,0.5360236093045624,82947.33333340878,4979.334999999999,2.4950000000000006
-0.45,downside,10627,10685,47,0.9750635174555378,0.5469209171736078,0.0,5843.8499999999985,5629.21,214.64000000000001,5629.21,0.5297082902041969,0.9846037038601536,0.05999999999994543,0.001065868922991782,1805.2339743589744,0.537991364573856,93820.16666675199,5632.33,3.12
-0.4,downside,12550,12625,59,0.9736254980079682,0.5252554455445545,0.0,6631.35,6377.67,253.68,6377.67,0.5081808764940239,0.9742706216352086,0.05999999999994543,0.0009407824487617841,1642.6138996138993,0.5216013551153753,106294.50000009667,6381.554999999999,3.8850000000000002
-0.35,downside,15048,15129,88,0.9712918660287081,0.5057330292815123,0.0,7651.2350000000015,7346.8949999999995,304.34000000000003,7346.8949999999995,0.4882306618819776,0.9641692969048667,0.05999999999994543,0.0008166715326671423,1412.5072046109508,0.5063744131339526,122448.25000011135,7352.0999999999985,5.205
-0.3,downside,18050,18140,121,0.9693628808864266,0.4845997794928335,0.0,8790.640000000001,8425.42,365.22,8425.42,0.46678227146814405,0.9550254423799054,0.05999999999994543,0.0007121306712299848,1256.651266766021,0.488764226327763,140423.6666667944,8432.130000000001,6.709999999999999
0.0,none,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.3,upside,24962,12977,12129,0.5050877333546991,0.5019654003236494,-0.520112952428065,205.55499999999995,-296.5650000000004,502.12,-296.5650000000004,-0.011880658601073648,-0.015984904624006473,434.2149999999997,648.2272150481448,0.9547457006393725,0.7432423827684915,-0.6829911449397202,6256.735,6553.3
0.35,upside,20874,10843,10144,0.5058445913576698,0.5309314765286359,-0.543163939274448,247.035,-172.70500000000013,419.74,-172.70500000000013,-0.008273689757593183,-0.01066930221114274,342.1700000000001,371.62096117295704,0.9697774938970505,0.7754668106553733,-0.5047344887044454,5541.745,5714.45
0.4,upside,17384,9067,8405,0.5087436723423838,0.5603986985772582,-0.5705853658536586,285.36499999999995,-64.07500000000019,349.44,-64.07500000000019,-0.0036858605614358136,-0.0045342554484441135,254.05999999999986,228.89319338708978,0.9870951954652425,0.8128921282325595,-0.2522042037314029,4901.129999999999,4965.205
0.45,upside,14606,7617,7062,0.5092427769409832,0.5890284889063935,-0.5993500424808836,254.02,-39.56000000000019,293.58,-39.56000000000019,-0.002708475968779966,-0.0031907494836690264,217.85999999999996,212.55671008341878,0.9909574869310999,0.8488525917319913,-0.181584503809787,4335.33,4374.89
0.5,upside,12391,6480,5969,0.511742393672827,0.618429012345679,-0.6239487351315128,283.07,34.08999999999987,248.98000000000002,34.08999999999987,0.002751190380114589,0.003112229700562876,160.03499999999988,130.9990586501862,1.0088671437080736,0.8839933567940085,0.2130159027712681,3878.62,3844.5299999999997
0.55,upside,10517,5473,5093,0.5094608728724922,0.6492947195322493,-0.6480080502650697,253.28500000000008,41.96499999999988,211.32,41.96499999999988,0.003990206332604344,0.004350092731048183,129.67,105.11511024643339,1.0123323459228173,0.9172692582217387,0.32362921261664135,3444.805,3402.84
0.6,upside,8953,4675,4316,0.5113369820172009,0.6797016042780748,-0.6686272011121409,291.81,111.98999999999991,179.82,111.98999999999991,0.012508656316318542,0.013144200165223474,117.50999999999993,66.2569422908854,1.037672569229527,0.9516483436864851,0.9530252744447278,3084.71,2972.7200000000003
0.65,upside,7668,4013,3683,0.5135628586332812,0.7062870670321455,-0.6883736084713548,299.05,145.12999999999994,153.92000000000002,145.12999999999994,0.018926708398539376,0.019331605214934933,120.57000000000005,53.34129670183824,1.0556177234787807,0.9790551890598951,1.2036990959608516,2754.55,2609.42
0.7,upside,6556,3420,3157,0.5129652226967664,0.7387456140350878,-0.7126876781754831,276.55500000000006,145.01499999999993,131.54,145.01499999999993,0.022119432580841966,0.021749681806099357,117.96000000000011,51.52104125264797,1.0626831672041013,1.017000284327788,1.2293574092912836,2458.4750000000004,2313.46
