Regime,num_sequences,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max
0,11370,9.396538900183469,-0.010951755491278532,0.13767176109529777,-0.006750365032850174,-0.775238860506911,1.0557007253427468,0.09022282407602795,0.045740671556465225,0.08424958129740845,0.01232409609385448,0.5068610434798806,-0.18999388458263003,0.1652447454962001,-0.1593638321561508,-1.655317588148053,0.0,0.1599415381172246,0.15047550418376648,0.12727013278707178,0.0,1.8763240189650032,0.34993542269985467,0.174995430901115,0.32979691590798166,0.04639192338705689,1.8763240189650032,0.34993542269985467,0.174995430901115,0.32979691590798166,0.04639192338705689,1.8763240189650032,-4.181389334497444e-06,4.947273026629047e-05,-3.700394717649255e-06,-0.00030286686368464333,0.0004117531155103417,0.0005629747133722046,0.0003000679573293219,0.0005141376911960373,8.952306134438789e-05,0.003018915224010813,-0.21485960630422213,0.813742330204853,-0.16632737108716666,-3.1665924490814485,3.287283741644309,1.1235447369975555,1.8541378052632362,0.6586335128530829,-1.3628457260514883,13.266182409013563,0.0030938887983580775,0.0016451821360001374,0.0028281261408205456,0.0004910124436319257,0.016535613415631242,0.05628573278887211,0.029989798876581555,0.05139951032843586,0.008954337957850894,0.30195750423429624,0.15194246290517724,0.07406581062579284,0.13794796584715718,0.02712875987656016,0.8860556491059324,0.04967579251493628,0.02693908204238228,0.045840630461333146,0.0071342364933261885,0.24948801841113427,0.0241493865682135,0.011705819469237159,0.022132110020958398,0.0030594101596825834,0.12144740911514805,0.107393007391802,0.053326566012349294,0.09803168760819728,0.01598134056882332,0.6265359579914529,-0.0004605538962618076,0.008502220967486993,-0.00040726945259684686,-0.043103609378329355,0.0436384371100871,0.04574639242137528,0.02532827662211779,0.04204455692897083,0.0037459412145577128,0.28864876722724964,-4.962458249605505e-05,0.05896587868960199,0.001549800506650545,-0.34762360181296525,0.4207190254531057,-0.00023053872275830852,0.0029970705125619496,-0.00016053411696718143,-0.011718519783035975,0.011590428149018535,0.08458681941954424,0.08556145463281203,0.06033065490998978,2.406663803689222e-09,0.500531416764523,0.29645993443819707,0.29205004883317753,0.1830271718069297,8.56232947453547e-06,0.9997910205452163,0.00029872156825288,0.000423748098450656,0.00013066495697566484,1.5965991896918409e-15,0.0036767642954074076,14.75321020228672,2.7151405811375704,15.0,5,24,0.49108415543453304,0.09366266681938101,0.48275862068965514,0.1724137931034483,0.8275862068965517,6.978276165347405,1.4031511907496261,7.0,2,12,6.997009674582234,1.38816135137864,7.0,2,12,1.0025140683122213,0.10910569206489651,1.0,0.6666666666666666,1.5,45.09679310768765,8.71026625963171,45.16129032258064,12.903225806451612,74.19354838709677,0.020934968778461627,0.1850148500497711,0.0234695339491162,-0.6468825020963546,0.581182353446741,1.4711521547933157,0.6927846443739968,1.0,0,4,4.905559093804022,2.310055381628835,3.3333333333333335,0.0,13.333333333333334,0.0015197082710968588,0.0007411283475652045,0.0013810633340394908,0.0002712692007731275,0.008860556491059289
1,5025,4.152823920265781,-0.06347057871715223,0.47159152730142573,-0.07064272205732072,-4.086348391044068,2.1599045423955414,0.2860871110884479,0.17577345141782735,0.26277623555138724,0.02288569826487403,1.646786997001996,-0.5795520253441032,0.5284619715147608,-0.4581656950488622,-5.542809070398835,0.0,0.4377592560911241,0.5719314228958761,0.22255443029437494,0.0,5.833788623808656,1.0173112814352274,0.6144103358123658,0.9375857167792878,0.08527176274770731,5.861539083666956,1.0173112814352274,0.6144103358123658,0.9375857167792878,0.08527176274770731,5.861539083666956,-4.4782990220882985e-05,0.0002696013301856785,-6.922319315608395e-05,-0.0015581877971869763,0.0011095945279007689,0.0011384163449368865,0.000707907295545017,0.0009805453597318357,0.00011915048914144295,0.006881833912111182,-0.36283439923312116,0.8783246261689426,-0.15836840138426883,-4.047682382895763,2.42128020062315,1.1908777841084828,2.577806673132893,0.1430995458587545,-1.3932654265356603,17.5040947794725,0.00639077182857624,0.0039114860050602236,0.005555684308435006,0.0006575580667757363,0.037694834218823574,0.11381822285537133,0.07101193443331894,0.09794127574210196,0.011914001316420118,0.705763893557671,0.30046992102035114,0.18853166327107465,0.25556553858440134,0.04400355854865534,1.5813755842894572,0.10518592705102654,0.06594051278733154,0.09183791833931433,0.007019233282013547,0.7607510689326068,0.049143586998789374,0.030261526609642053,0.04239861384068079,0.005204340206823354,0.3925611165061509,0.22164404545364438,0.13557579699100708,0.19242405895620204,0.022904231844911624,1.732156070357795,-0.01261652788417455,0.07761026903438832,-0.024981450416156372,-0.4917328666398433,0.2944625649317454,0.08413766376075386,0.05886567698342981,0.07375233183504454,0.003940705745141718,0.9820644553073283,-0.011198724351041816,0.12330553425786066,-0.00982752690285471,-0.6301684915754235,0.5603862757534173,-0.004982804880815171,0.030146570599654737,-0.010327783277957947,-0.16242864462051848,0.11851036670609047,0.5986212213915802,0.25132582896586686,0.6351365906180101,0.0013059709362663978,0.9817662829404993,0.00864910427153316,0.044037780516660206,8.175654596656745e-08,8.983065472030847e-27,0.8469563387526959,0.01726172524594602,0.01641755832807249,0.011593077748313032,2.931956677477747e-06,0.12685361536140694,13.99681592039801,2.69379050309641,14.0,6,23,0.5171828051858932,0.09290916493651989,0.5172413793103448,0.2068965517241379,0.7931034482758621,6.793432835820895,1.3652097525195699,7.0,3,11,6.789850746268657,1.3649545680161663,7.0,3,11,1.006708147573819,0.11124321394809905,1.0,0.75,1.3333333333333333,43.831145348526185,8.511383561534577,45.16129032258064,19.35483870967742,70.96774193548387,-0.006532777510276924,0.17501369893005098,-0.004586701460065611,-0.6906648243266071,0.5209065975088367,1.5054726368159204,0.7992657703413276,1.0,0,5,5.0198204380396865,2.6649430723535867,3.3333333333333335,0.0,16.666666666666664,0.0030046483962595082,0.0018787825010211862,0.0025542274459720484,0.0004400861038029528,0.0158012859395851
2,21191,17.512933670517842,0.09396479050269292,0.05901801646762374,0.08469927576666747,-0.06137985791391995,0.36257447167044293,0.06770682646696352,0.027125629502512308,0.0641969577500757,0.011926523457925955,0.16958340197147953,-0.033399231178541405,0.03811085759842753,-0.021428806909962184,-0.25166430022871555,0.0,0.2055933471487922,0.089625991142617,0.19310964799106323,0.023119200496002357,0.5565590977884005,0.23899257832733364,0.0919763870097587,0.226323119777172,0.04600239212440016,0.6080750302749238,0.23899257832733364,0.0919763870097587,0.226323119777172,0.04600239212440016,0.6080750302749238,5.780681793021437e-05,2.885764446847298e-05,5.2776137183566946e-05,-1.6854975860607513e-05,0.00018231856357062064,0.00026583144770988854,0.00010319367107355625,0.00025079634029468557,6.636865568494766e-05,0.0006608197940141823,0.003313288998054385,0.4491382942164042,0.019090508703681373,-1.5397164321706167,1.4682647042307153,0.05972882437674239,0.7770183591758121,-0.07871661808422292,-1.4175803608067423,4.116730857355245,0.0014961365054751133,0.0005703993695024248,0.0014191480276402623,0.00036811902434569303,0.0037470051604759453,0.02660619314895791,0.010333660719621857,0.025099221406119126,0.006638541602529851,0.06625906486340423,0.06693816148230994,0.027075714757810527,0.06266575652116302,0.015891735461148748,0.1791108935245478,0.024265741249424842,0.009294365711996176,0.022948515019120052,0.005297364850198036,0.059334711608762615,0.011311868366412205,0.004912947583911923,0.010538428442289534,0.0019035013636278784,0.03374185974522372,0.050927648891864054,0.021085728060727414,0.0473800092859412,0.010335636920076476,0.14005356401259517,0.01625876385218772,0.00734842989638187,0.014926696756548018,0.0023556018588023952,0.046531720437220196,0.01796941704306105,0.009082236708523758,0.0162376680191938,0.0019848961887250654,0.05710695016517108,0.009181985953155208,0.018594574756349694,0.008113281695674157,-0.05842471278149519,0.08991395925744827,0.006417422710935081,0.0028076332320407416,0.005904301596379481,0.0011315104514471007,0.017066661605727486,0.7149721658036179,0.13758611182984695,0.7305730052785399,0.2025405426456875,0.9810447958011617,1.5121766171571995e-05,0.00017297120550496624,9.47443651724425e-10,1.5774149358976053e-26,0.011074238651274541,0.004746111073729969,0.002614536902836886,0.004126653902707981,0.0005922218249252197,0.015155149257243709,15.412722382143363,2.666018681606174,15.0,6,25,0.46830789304782006,0.0919365181381591,0.48275862068965514,0.13793103448275867,0.7931034482758621,7.060119862205653,1.3673109739531488,7.0,2,12,7.0538436128545134,1.3645152839595354,7.0,2,12,1.0067083615842523,0.10843515465363884,1.0,0.6666666666666666,1.5,45.54631378811151,8.506074543059395,45.16129032258064,12.903225806451612,77.41935483870968,-0.05996782292932902,0.17974324225730567,-0.06304880028416379,-0.6606188000134375,0.6189152811376579,1.7045915718937286,0.8298937688628086,2.0,0,5,5.684331398549698,2.767455349551121,6.666666666666667,0.0,16.666666666666664,0.0006689557096016612,0.00027048613636038025,0.0006265585644290172,0.00015887616021392022,0.0017882902752774832
3,19285,15.937753094990164,-0.0002838307294704376,0.05257451099625888,0.000362649824244581,-0.196732616036744,0.18984957085947726,0.039749644330283135,0.017010677421984484,0.03696952577374602,0.009125183879162021,0.11477890582092683,-0.08068167396752443,0.06498739949568814,-0.0670030354405382,-0.3559037092678019,0.0,0.07484437559861004,0.058101554309935806,0.06463065733686157,0.0,0.31551988171305556,0.15552604956613444,0.06524677882292455,0.1455308129393984,0.03401521235886218,0.41571252422054616,0.15552604956613444,0.06524677882292455,0.1455308129393984,0.03401521235886218,0.41571252422054616,3.963247227471126e-07,2.0397589783788676e-05,6.353177731129999e-07,-9.213508504609897e-05,7.719275980951441e-05,0.0002771506159902431,0.00011184278938303065,0.00025786155737207576,7.380055682734308e-05,0.0007618192457462315,-0.05855275016364879,0.3845038667839359,-0.06218172701262658,-1.3123332690872993,1.2724891887956673,-0.1229592138042692,0.6290090035462879,-0.21069690847116673,-1.454798318109841,2.6564795996155466,0.0015215185482416202,0.0006132672182269841,0.0014163906384815647,0.0004065718784997362,0.004178148937132906,0.027713690972778,0.011181926503827409,0.025780590922198265,0.007380789935240326,0.07622155613364183,0.06553466410811051,0.02683051808681579,0.06117929203324213,0.014787132506133283,0.17013307307809367,0.024285634047823742,0.009928076227505316,0.022640075570048376,0.005847241650378637,0.06546895476002167,0.010661011848349588,0.004679724327680606,0.009866861553650321,0.0019578267218608512,0.032482630702583934,0.04891005592164498,0.020722246443698113,0.045588374453674946,0.010730453533342291,0.14925729231455998,1.4476132267328099e-05,0.003167567129531191,2.111085308940214e-05,-0.016371944514583892,0.015755276830154683,0.020721568450230234,0.010018009209643753,0.0188144203598515,0.0024549963810655082,0.0669112685212204,0.0005269272690999995,0.023616784693464375,0.000890721229704905,-0.08414239482200658,0.08313819845753745,4.502810404784297e-06,0.0010094945008955027,7.47944735861089e-06,-0.0035515054918402607,0.004063141533886587,0.047062976053803884,0.04255501310267139,0.035598658620303536,7.720222076051196e-28,0.2573600937086349,0.3845046398550126,0.28623032174176,0.30972121136797104,0.0035808853896059593,0.9999999999998817,5.5817126307313707e-05,7.098420859383949e-05,2.6818283274920566e-05,5.525519859115737e-44,0.0009213665168969279,15.672387866217267,2.7333311399272056,16.0,6,25,0.4593253134534996,0.09426744265541974,0.4482758620689655,0.13793103448275867,0.7931034482758621,7.1697692507129895,1.35989780368298,7.0,2,12,7.172102670469276,1.3594328309319033,7.0,2,12,1.0052237232130932,0.10608498192620022,1.0,0.6666666666666666,1.3333333333333333,46.28372376993652,8.465205484229841,45.16129032258064,12.903225806451612,77.41935483870968,-0.025379314986105034,0.17873743495938008,-0.025639585713005977,-0.6126199604264688,0.5732695280167721,1.4455794659061447,0.8256999654544251,1.0,0,5,4.8207736940448624,2.753611962445383,3.3333333333333335,0.0,16.666666666666664,0.00065538431924803,0.0002683493498890394,0.0006117477414492513,0.00014788921753146003,0.0017012409827633476
4,21401,17.68648452091701,-0.1451066460267386,0.10299932355014775,-0.12576552930883467,-0.6988434345498438,0.12292391695916942,0.11200377026162762,0.04911774263243877,0.10281555558880967,0.016371089715655443,0.3309614015302134,-0.3425422112551181,0.1644943161650182,-0.31038641010852075,-1.1359123043927277,0.0,0.05066085218150453,0.05874559110799303,0.032007852593185504,0.0,0.37702976765709995,0.3932030634366226,0.16669362072025007,0.3664717348928037,0.06306653990606481,1.1359123043927277,0.3932030634366226,0.16669362072025007,0.3664717348928037,0.06306653990606481,1.1359123043927277,-9.213049828654796e-05,5.279477627548254e-05,-8.094809771375709e-05,-0.00035837673759975936,2.591984127185841e-05,0.00043057403987811435,0.000176379623861563,0.00040412787387972135,7.45089242956991e-05,0.001303309265393604,-0.18026650552884696,0.47542717955298347,-0.1629042537351218,-1.885781326739589,1.2451886020812568,0.1609816254800729,0.9057234554897646,-0.047886550684709484,-1.4810546007008119,4.391068471807518,0.002422321782563823,0.0009817397544308463,0.0022738537086926334,0.00042316860966364934,0.0072589690270961705,0.04298882373119754,0.01758525258068964,0.04036378650189507,0.0074486962293060024,0.12968110323841023,0.11085373554296574,0.04603166069683943,0.10350359674998755,0.016001656642106177,0.31378542279739685,0.03935189408584433,0.016231440604730307,0.03680784293091658,0.005509803663024167,0.11181070236608129,0.01910546521839428,0.008441569313602605,0.01771380074900884,0.0026251891463773174,0.06245587765784527,0.08518812746057393,0.036173386450156456,0.0796568452784759,0.011898834208197474,0.24886603530496224,-0.02629199726269142,0.013267425414319176,-0.023052927464692948,-0.08656319051732389,0.02083337935971006,0.031438864286214584,0.016479574728224967,0.02843374995220605,0.0024014224469462446,0.11880092231065423,-0.016319138455773752,0.038514562077137875,-0.013404064384947567,-0.17509848513091897,0.13079207788921243,-0.010353057734685901,0.005111039588308767,-0.009044442976478894,-0.03266613297982711,0.0076034981186909375,0.6842177984653814,0.16573522915770067,0.7143764211625017,0.13039605925704012,0.9759878490612746,0.00014557275969078915,0.0010366100909738895,2.225697420027039e-09,4.8773292564228e-25,0.04595150859547989,0.007435828096084975,0.004766697391283093,0.006047097802851166,0.0005991218499429547,0.028505873082156408,14.883977384234381,2.704095230326538,15.0,5,25,0.48657640647057837,0.09326014998906054,0.48275862068965514,0.13793103448275867,0.8275862068965517,7.045932433063876,1.4021659205123482,7.0,2,12,7.054296528199617,1.3953018727899063,7.0,1,12,1.0043400876130655,0.10804083313352407,1.0,0.6666666666666666,2.0,45.49951690529987,8.730921036447887,45.16129032258064,9.67741935483871,77.41935483870968,-0.023115595510459396,0.1842983114525183,-0.02116314299780473,-0.694622615089093,0.5914424738620943,1.6749684594177843,0.8184328188915905,2.0,0,5,5.585172462131161,2.7287757664441603,6.666666666666667,0.0,16.666666666666664,0.001110018992335382,0.00046128168559189507,0.001036949530747624,0.00016009040399291152,0.0031495292024999594
5,12884,10.647757888299367,0.14944773460222352,0.13979844503423744,0.13471770451631604,-0.3224681837902929,0.8091432248191782,0.1324264285423743,0.05424806450471515,0.12701885884682235,0.013792021974530009,0.3865365952348974,-0.09671648747164512,0.09659120759224095,-0.07331807325137163,-0.6055156975357301,0.0,0.3775732343600889,0.19522865223993743,0.35833624336347736,0.0,1.1923675100757647,0.474289721831734,0.18273392706265734,0.45542727180606923,0.05277349451239255,1.1923675100757647,0.474289721831734,0.18273392706265734,0.45542727180606923,0.05277349451239255,1.1923675100757647,9.440785049005031e-05,7.210732901328038e-05,8.873693903004316e-05,-0.00011336824926872222,0.00038527036149049027,0.0005617650427924997,0.0002220742183889039,0.0005407939210477495,7.421628698654242e-05,0.0014487610902983298,0.3762519728962618,0.558554048056757,0.2825578227320523,-1.0391514400955575,3.4619008578013037,0.4899247476301238,1.5310496492520818,0.026126015194880114,-1.4655183816206594,14.303976864063571,0.003143091242559444,0.0012199253834223522,0.0030281087335584794,0.0004257211539555889,0.008010344215102065,0.05625016515420403,0.02225584460098632,0.05414353866844354,0.007424041218470117,0.14524438219519945,0.14817151741799348,0.059356137162552704,0.1370265581789598,0.029045411383554764,0.49781240820618855,0.05131746452621282,0.019690294064518218,0.049684650874128364,0.0064903199583765895,0.1286924435517124,0.025005406200301266,0.00990125834358456,0.023360033939324572,0.004074518542435914,0.08383874226683001,0.11132365339751477,0.04315491673395103,0.10504863028830053,0.016767411016710518,0.342961361473247,0.026452214278744706,0.019496314235168816,0.02574629416417807,-0.05295931611090048,0.0926926569136277,0.04194507693725622,0.019100707319277658,0.03970170090206998,0.0028429262862637375,0.13343245875311416,0.017632362933952643,0.04929661169873459,0.014651821892650574,-0.17437709716570216,0.20122771119555738,0.010436101272585242,0.007466201703726407,0.01003791986659645,-0.018844891860868667,0.03749133514802127,0.5663028912771526,0.22008621080853502,0.56906209648656,0.10191231091027504,0.9886905466302321,0.001322655371386224,0.004418798962088456,9.556863425874076e-07,8.794496621364032e-30,0.08002727376497153,0.007362717668998135,0.0059006200036729696,0.005495432704687707,0.00020788971058847928,0.028838732249605627,14.746429680223534,2.7027327829271064,15.0,4,23,0.49133954666344476,0.09321305094335941,0.48275862068965514,0.2068965517241379,0.8620689655172413,7.070319776466936,1.3994357947062797,7.0,2,11,7.06348959950326,1.4018677806477948,7.0,2,11,1.0065959188281446,0.10664367505713983,1.0,0.6666666666666666,1.5,45.606445270119146,8.750967792760909,45.16129032258064,12.903225806451612,70.96774193548387,-0.006104613503176833,0.18030574623984238,-0.004326078477659879,-0.6245392298345155,0.6800621033447521,1.5742781744799752,0.7975784031334363,2.0,0,6,5.249315733316205,2.659712539973005,6.666666666666667,0.0,20.0,0.0014806829518881452,0.0005931317180416212,0.0013685611296189277,0.00029051253114628525,0.0049806651198762986
6,29846,24.665708004826367,-0.008087613607362187,0.06015654045772489,-0.006959891943663124,-0.28648639803258874,0.2475599795562491,0.045387833890165714,0.01903088490433899,0.04246295128681922,0.009166820250933736,0.1434757035354748,-0.09706649640582331,0.07241578459073718,-0.08631869766061451,-0.4542495879900965,0.0,0.07602798831823855,0.06093035793172237,0.06541228982097635,0.0,0.393143984118538,0.17309448472406186,0.07131269946970821,0.1611671012630378,0.0359603933899888,0.54137366342355,0.17309448472406186,0.07131269946970821,0.1611671012630378,0.0359603933899888,0.54137366342355,-4.555351879026548e-06,2.9998530649036332e-05,-4.717561003483771e-06,-0.00012573258906056455,0.00011360472477611145,0.00026516079864860327,0.00010618424581051131,0.000246191841113388,6.574020675042169e-05,0.0007921512928103738,-0.06289207271732035,0.3952221503230778,-0.06286618315647097,-1.3948437770242836,1.3419076915088533,-0.10855367673267521,0.6525468095017204,-0.21756105099374445,-1.4703343614910487,2.9067898829470904,0.0014611797679113599,0.0005824300687931989,0.0013572619326967883,0.0003581067967934884,0.004339512051611742,0.02651233747767825,0.010614155623441816,0.024610983855370677,0.00657479685809261,0.07916403183154215,0.06334111071251815,0.026080977792024472,0.05839499842097973,0.015356412741973635,0.17708667127653843,0.02334424317061522,0.009587533357210338,0.021674653971484294,0.005195740247625883,0.06952584754118217,0.010401165305541193,0.004735958731159125,0.009524835213369404,0.0019297753295594066,0.035840293775423124,0.0474545592025951,0.020667959835201262,0.04367834359142783,0.010334167512928724,0.14075495260858556,-0.0012886389076327053,0.008257328643679908,-0.0032764172805580223,-0.027068199953876073,0.030283837621051954,0.01930586336829482,0.009952062351935341,0.01738248106343528,0.002060015064622188,0.07837279648326688,-0.0002998228070451569,0.021679900821641524,-9.417664737443321e-05,-0.08814090259969931,0.08475664569153496,-0.0005109374612288273,0.0031417862486627325,-0.0014746217784446037,-0.008651571766480617,0.009346355054251857,0.35572928752313354,0.15177318068003362,0.3366590287503004,0.08645388074425013,0.926848052215238,0.005877014929949971,0.010808423263634905,0.0006244359657013024,5.1721347593115084e-18,0.10837580959689452,0.0011023712883857612,0.0007660062907604032,0.0008984443732150398,8.128941507023805e-05,0.004464447878409509,15.699859277625142,2.6991187865142083,16.0,6,26,0.4583816794850677,0.09310587483939961,0.4482758620689655,0.10344827586206895,0.7931034482758621,7.191449440461033,1.3513113187859243,7.0,2,13,7.186624673323059,1.354610471403655,7.0,2,13,1.0062114260574693,0.104523383467044,1.0,0.6666666666666666,1.5,46.39991382285697,8.4296741030457,45.16129032258064,12.903225806451612,83.87096774193549,-0.037012204038205654,0.17508482390080374,-0.03327613973338781,-0.6674931137697049,0.569239039086525,1.4698787107150038,0.8129410686064715,1.0,0,5,4.901679194578144,2.7109266808974373,3.3333333333333335,0.0,17.24137931034483,0.0006334958981915637,0.00026088332393623754,0.0005842543453916053,0.00015354939012109467,0.0017701368990767098
