ModelID,alltime_up_acc_0.0,alltime_up_num_0.0,alltime_up_den_0.0,alltime_up_pnl_0.0,alltime_up_acc_0.1,alltime_up_num_0.1,alltime_up_den_0.1,alltime_up_pnl_0.1,alltime_up_acc_0.2,alltime_up_num_0.2,alltime_up_den_0.2,alltime_up_pnl_0.2,alltime_up_acc_0.3,alltime_up_num_0.3,alltime_up_den_0.3,alltime_up_pnl_0.3,alltime_up_acc_0.4,alltime_up_num_0.4,alltime_up_den_0.4,alltime_up_pnl_0.4,alltime_up_acc_0.5,alltime_up_num_0.5,alltime_up_den_0.5,alltime_up_pnl_0.5,alltime_up_acc_0.6,alltime_up_num_0.6,alltime_up_den_0.6,alltime_up_pnl_0.6,alltime_up_acc_0.7,alltime_up_num_0.7,alltime_up_den_0.7,alltime_up_pnl_0.7,alltime_up_acc_0.8,alltime_up_num_0.8,alltime_up_den_0.8,alltime_up_pnl_0.8,alltime_down_acc_0.0,alltime_down_num_0.0,alltime_down_den_0.0,alltime_down_pnl_0.0,alltime_down_acc_0.1,alltime_down_num_0.1,alltime_down_den_0.1,alltime_down_pnl_0.1,alltime_down_acc_0.2,alltime_down_num_0.2,alltime_down_den_0.2,alltime_down_pnl_0.2,alltime_down_acc_0.3,alltime_down_num_0.3,alltime_down_den_0.3,alltime_down_pnl_0.3,alltime_down_acc_0.4,alltime_down_num_0.4,alltime_down_den_0.4,alltime_down_pnl_0.4,alltime_down_acc_0.5,alltime_down_num_0.5,alltime_down_den_0.5,alltime_down_pnl_0.5,alltime_down_acc_0.6,alltime_down_num_0.6,alltime_down_den_0.6,alltime_down_pnl_0.6,alltime_down_acc_0.7,alltime_down_num_0.7,alltime_down_den_0.7,alltime_down_pnl_0.7,alltime_down_acc_0.8,alltime_down_num_0.8,alltime_down_den_0.8,alltime_down_pnl_0.8
00081,0.53044621830749,34688.0,65394.0,611.665,0.5316336536575799,27108.0,50990.0,524.1899999999999,0.5289351851851852,19651.0,37152.0,338.30000000000007,0.5260122274772177,13680.0,26007.0,246.14499999999995,0.5243754145478665,9487.0,18092.0,140.70000000000005,0.5203045685279187,6560.0,12608.0,108.38,0.5178978568171455,4543.0,8772.0,57.830000000000034,0.5138176402449115,3105.0,6043.0,35.00999999999998,0.5151014629542237,2183.0,4238.0,42.11999999999996,0.4920668459469842,25617.0,52060.0,202.265,0.4925287356321839,19711.0,40020.0,238.415,0.4946803286738468,15111.0,30547.0,261.395,0.4963570524846211,11377.0,22921.0,245.87,0.4961353788499824,8473.0,17078.0,220.4199999999999,0.4996060510557831,6341.0,12692.0,272.88,0.5020046423296054,4758.0,9478.0,245.91,0.5086623118432264,3582.0,7042.0,254.78,0.5089320388349514,2621.0,5150.0,169.63500000000002
00082,0.5268935405957763,34031.0,64588.0,714.9,0.5272385847005338,26673.0,50590.0,617.9949999999999,0.5287882049074473,19654.0,37168.0,500.925,0.5326849733028223,13967.0,26220.0,554.325,0.5348001307047162,9820.0,18362.0,558.685,0.5366005931012955,6876.0,12814.0,493.5699999999999,0.5282454585733274,4769.0,9028.0,332.2,0.5301771437529393,3382.0,6379.0,281.545,0.5340563991323211,2462.0,4610.0,270.77000000000004,0.4884046457080165,25820.0,52866.0,285.3350000000001,0.4904281496062992,19931.0,40640.0,372.57499999999993,0.4913686806411837,15143.0,30818.0,333.625,0.4925481798715203,11501.0,23350.0,335.545,0.493488922712667,8754.0,17739.0,326.68,0.497635234998522,6734.0,13532.0,353.64,0.4976113873452276,5104.0,10257.0,304.26,0.5011421319796955,3949.0,7880.0,276.595,0.502714625042416,2963.0,5894.0,249.8
00083,0.5272122587262611,33924.0,64346.0,586.4399999999998,0.5289663989771864,26479.0,50058.0,562.72,0.5314315183757667,19579.0,36842.0,587.3200000000002,0.5303237055568191,13991.0,26382.0,564.355,0.5285317375507587,9892.0,18716.0,574.8999999999999,0.5287852833842258,7100.0,13427.0,525.3500000000001,0.5297619047619048,5162.0,9744.0,514.645,0.5252692626346314,3804.0,7242.0,393.815,0.5249077490774908,2845.0,5420.0,305.235,0.4898672782644659,26058.0,53194.0,212.69,0.4904929837973809,19889.0,40549.0,269.34000000000003,0.4936210685120199,15051.0,30491.0,304.7449999999999,0.4930701011631534,11064.0,22439.0,225.64499999999995,0.4994506165303382,8182.0,16382.0,256.45500000000004,0.5018086985782788,5965.0,11887.0,181.45,0.5029428736295442,4358.0,8665.0,85.45000000000002,0.5029901406174236,3112.0,6187.0,72.79999999999998,0.4954607353608715,2183.0,4406.0,19.160000000000014
00084,0.5256053172970406,33213.0,63190.0,338.87999999999994,0.5265647298674822,25828.0,49050.0,309.4,0.527085172109444,19110.0,36256.0,313.61500000000007,0.5243874248728617,13611.0,25956.0,249.09500000000003,0.5193412908930151,9398.0,18096.0,167.045,0.5186735350933677,6444.0,12424.0,114.39999999999998,0.5181653590826796,4293.0,8285.0,66.76,0.5254237288135594,2852.0,5428.0,118.085,0.5304271503803394,1813.0,3418.0,92.54,0.4865656789031402,26403.0,54264.0,-97.36499999999997,0.488637747521738,20062.0,41057.0,33.68000000000001,0.4921787709497207,14977.0,30430.0,187.455,0.4964730197241317,11050.0,22257.0,298.08500000000004,0.4981784501389317,8068.0,16195.0,268.96000000000004,0.5009353741496598,5891.0,11760.0,264.80499999999995,0.5001774937877175,4227.0,8451.0,177.115,0.502680067001675,3001.0,5970.0,169.265,0.505006105006105,2068.0,4095.0,149.04000000000002
00085,0.5232090196653469,32113.0,61377.0,307.7949999999999,0.5222899361355763,25025.0,47914.0,245.52000000000004,0.5219668807029402,18534.0,35508.0,175.46999999999994,0.5193695626731167,13313.0,25633.0,132.47499999999994,0.5173310225303293,9552.0,18464.0,137.72499999999997,0.5177403952104606,7048.0,13613.0,153.24999999999997,0.514959114959115,5353.0,10395.0,126.295,0.516214587100663,4282.0,8295.0,162.19,0.5140200929674614,3428.0,6669.0,145.05,0.4834040429248815,27118.0,56098.0,-180.665,0.4854260600264152,21317.0,43914.0,-111.47,0.4872216673520945,16586.0,34042.0,26.30000000000005,0.485342518178339,12682.0,26130.0,15.735,0.4822206814580032,9737.0,20192.0,28.165000000000035,0.483125318390219,7587.0,15704.0,46.255,0.4806284445175619,5843.0,12157.0,53.84000000000003,0.4814311120410084,4602.0,9559.0,36.47999999999998,0.4843918191603875,3600.0,7432.0,58.96999999999999
00086,0.5243286545226569,30108.0,57422.0,244.37499999999983,0.5236211674264771,23431.0,44748.0,219.825,0.5227604710090923,17536.0,33545.0,187.71500000000003,0.5171600082798592,12492.0,24155.0,118.40500000000006,0.5126755638440469,8797.0,17159.0,57.36499999999992,0.5120559395595563,6371.0,12442.0,32.64500000000007,0.5121296693860026,4771.0,9316.0,8.314999999999912,0.5090958829161537,3722.0,7311.0,-9.330000000000013,0.5053236437383809,2990.0,5917.0,-47.89000000000003,0.4842888781576274,29083.0,60053.0,-234.535,0.4851501645353439,23294.0,48014.0,-134.47,0.4858383129237117,18131.0,37319.0,-115.11,0.4839358823121227,13948.0,28822.0,-112.65000000000003,0.4842708193493534,10822.0,22347.0,-39.77000000000001,0.4870265261206996,8409.0,17266.0,1.5900000000000158,0.4897759735378139,6515.0,13302.0,3.7900000000000063,0.4911439475486838,5019.0,10219.0,34.535000000000004,0.4880346232179226,3834.0,7856.0,-18.455000000000005
00087,0.5236133950114494,34071.0,65069.0,181.1799999999999,0.5214755425660065,26407.0,50639.0,133.0749999999999,0.5168957541275623,19442.0,37613.0,34.03000000000003,0.5138137699166788,14060.0,27364.0,-25.13000000000008,0.5094062167232899,10046.0,19721.0,-61.050000000000026,0.5090039392234103,7236.0,14216.0,-24.794999999999987,0.5078543881102436,5399.0,10631.0,27.034999999999968,0.5103363914373089,4172.0,8175.0,64.98500000000001,0.5063291139240507,3280.0,6478.0,39.03499999999999,0.4839614005644976,25377.0,52436.0,-270.225,0.4847775777834919,18853.0,38890.0,-190.58,0.4858101495875856,13900.0,28612.0,-194.64,0.4874710962200934,10330.0,21191.0,-161.48000000000002,0.4827019163873253,7632.0,15811.0,-196.31500000000003,0.4844600820976795,5783.0,11937.0,-140.76,0.476404248330231,4351.0,9133.0,-185.66,0.4754238495512181,3337.0,7019.0,-155.28500000000005,0.4726331360946745,2556.0,5408.0,-146.53999999999996
00088,0.5266914219527151,30921.0,58708.0,268.76000000000005,0.5252033958259639,23756.0,45232.0,221.09500000000008,0.5236306349975763,17284.0,33008.0,242.73,0.5222160092907222,12141.0,23249.0,242.14,0.5189819073903711,8462.0,16305.0,250.92499999999995,0.5160310496118798,6116.0,11852.0,233.23,0.5153545505304299,4615.0,8955.0,190.36999999999995,0.5171963430561602,3564.0,6891.0,150.69000000000003,0.5165357208112552,2827.0,5473.0,108.06000000000007,0.4863373129765806,28637.0,58883.0,-205.37000000000003,0.4866657937235389,22300.0,45822.0,-133.23999999999995,0.4884240048078299,17067.0,34943.0,-50.22999999999999,0.4886565920539332,12902.0,26403.0,31.659999999999997,0.4897928624906413,9813.0,20035.0,64.57500000000002,0.4911455270208456,7516.0,15303.0,34.469999999999985,0.4925793244626407,5775.0,11724.0,37.645,0.4953863257365203,4456.0,8995.0,72.19,0.4969547563805104,3427.0,6896.0,84.315
00089,0.5240003325297199,31516.0,60145.0,328.32499999999993,0.5232426425014427,24482.0,46789.0,296.44500000000005,0.5216019909135631,18025.0,34557.0,253.585,0.5220017601408112,13049.0,24998.0,268.65500000000003,0.5225611431712008,9508.0,18195.0,276.34000000000003,0.5224549797868431,7108.0,13605.0,296.97,0.5218188839544313,5405.0,10358.0,306.33500000000004,0.51923557332001,4157.0,8006.0,232.55,0.5208399115882538,3299.0,6334.0,219.27500000000003,0.4848031194513107,27850.0,57446.0,-126.04499999999996,0.485483979612457,21622.0,44537.0,-93.59499999999998,0.4867754979781339,16251.0,33385.0,-57.93500000000002,0.4826577689899489,11717.0,24276.0,-119.61,0.4851776420004526,8576.0,17676.0,-82.81500000000003,0.4920065507291585,6309.0,12823.0,10.81999999999998,0.4941517330185642,4605.0,9319.0,-5.944999999999993,0.4948000585908891,3378.0,6827.0,-7.410000000000032,0.4929605792437651,2451.0,4972.0,-34.59500000000001
00090,0.5262940914562755,31915.0,60641.0,314.19500000000005,0.5268892869327875,24709.0,46896.0,290.53000000000003,0.5273208768574371,17921.0,33985.0,275.04999999999995,0.5255394470667566,12470.0,23728.0,169.39000000000004,0.5222926019310006,8493.0,16261.0,125.06999999999996,0.5093195006154387,5793.0,11374.0,-24.56499999999996,0.5072725087149897,4220.0,8319.0,1.0449999999999413,0.5074793125397836,3189.0,6284.0,26.769999999999985,0.5077730668281849,2515.0,4953.0,60.03999999999999,0.486918349429324,27730.0,56950.0,-163.905,0.4882112899569258,21535.0,44110.0,-81.62500000000001,0.4855808347144794,16114.0,33185.0,-228.16,0.486704303714613,11897.0,24444.0,-182.205,0.4846820318251316,8559.0,17659.0,-161.53,0.4860125926516299,6098.0,12547.0,-125.88000000000002,0.4903470594799687,4394.0,8961.0,-36.915000000000006,0.4957251908396946,3247.0,6550.0,39.24500000000002,0.4963924963924964,2408.0,4851.0,39.03
