model_id,regime,label_number,validation_split,seq_length,learning_rate,epochs,batch_size,train_weeks,val_weeks,train_samples,val_samples,train_loss,train_mae,val_loss,val_mae,train_up_acc_thr_0.0,train_down_acc_thr_0.0,train_up_acc_thr_0.1,train_down_acc_thr_0.1,train_up_acc_thr_0.2,train_down_acc_thr_0.2,train_up_acc_thr_0.3,train_down_acc_thr_0.3,train_up_acc_thr_0.4,train_down_acc_thr_0.4,train_up_acc_thr_0.5,train_down_acc_thr_0.5,train_up_acc_thr_0.6,train_down_acc_thr_0.6,train_up_acc_thr_0.7,train_down_acc_thr_0.7,train_up_acc_thr_0.8,train_down_acc_thr_0.8,val_up_acc_thr_0.0,val_down_acc_thr_0.0,val_up_acc_thr_0.1,val_down_acc_thr_0.1,val_up_acc_thr_0.2,val_down_acc_thr_0.2,val_up_acc_thr_0.3,val_down_acc_thr_0.3,val_up_acc_thr_0.4,val_down_acc_thr_0.4,val_up_acc_thr_0.5,val_down_acc_thr_0.5,val_up_acc_thr_0.6,val_down_acc_thr_0.6,val_up_acc_thr_0.7,val_down_acc_thr_0.7,val_up_acc_thr_0.8,val_down_acc_thr_0.8
P00_00001,0,10,0.2,15,0.0009,5,32,8,2,3670,1010,1.4386789798736572,0.8998804092407227,1.1422572135925293,0.8214935064315796,0.5013698630136987,0.5053333333333333,0.5127118644067796,0.2988505747126437,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101070154577884,0.3609467455621302,0.391304347826087,0.4883720930232558,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P01_00001,1,5,0.2,15,0.0009,150,32,76,19,34476,8757,0.015664132311940193,0.09330608695745468,0.12121986597776413,0.2563404440879822,0.7710718002081165,0.8052044151199359,0.9415985868845219,0.9561727608612562,0.9924888347543646,0.9941616067258291,0.9996250468691413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5374149659863946,0.46006144393241166,0.5419635787806809,0.44495180111618465,0.5369458128078818,0.4262910798122066,0.5415117719950434,0.4515570934256055,0.5607476635514018,0.40836012861736337,0.5756302521008403,0.4066666666666667,0.562962962962963,0.4444444444444444,0.463768115942029,0.5,0.40625,0.45
P01_00002,1,10,0.2,15,0.0009,150,32,76,19,33276,8757,0.012036196887493134,0.08408338576555252,0.21436256170272827,0.35457736253738403,0.8520584176632935,0.8854822462855704,0.9560430324424273,0.9701711044011346,0.9918351477449455,0.995480690221857,0.999005568814638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5508757297748124,0.4433223933350164,0.5566860465116279,0.44337811900191937,0.5667244367417678,0.4599388379204893,0.5783783783783784,0.45804540967423496,0.561030235162374,0.47611202635914335,0.5996131528046421,0.46107784431137727,0.5770609318996416,0.48502994011976047,0.5945945945945946,0.5340909090909091,0.6341463414634146,0.4878048780487805
P00_00002,0,10,0.2,15,0.0009,150,32,8,2,3670,1010,0.020557956770062447,0.11016514897346497,2.0401742458343506,1.0864343643188477,0.9568034557235421,0.9653465346534653,0.9780853517877739,0.9904191616766467,0.9912280701754386,0.9980430528375733,0.9972508591065292,0.9992700729927008,0.9992469879518072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.542713567839196,0.48426150121065376,0.5535390199637024,0.47214854111405835,0.5571142284569138,0.47058823529411764,0.5717439293598234,0.4870848708487085,0.5825242718446602,0.48936170212765956,0.5876010781671159,0.4845360824742268,0.5938461538461538,0.475,0.5949820788530465,0.47058823529411764,0.588,0.48514851485148514
P03_00001,3,10,0.2,15,0.0009,150,32,31,7,13776,3535,0.020389532670378685,0.10771621018648148,0.6142899990081787,0.6018114686012268,0.9160818713450293,0.910322952710496,0.9677305589843062,0.967764060356653,0.9872162221732422,0.9925986842105263,0.995731360273193,0.9985308521057786,0.998906306963179,0.9994045846978268,0.9995194617972128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4791139240506329,0.5432225063938619,0.49184149184149184,0.543202416918429,0.49951028403525954,0.5394833948339484,0.5139240506329114,0.5385996409335727,0.5307167235494881,0.5505747126436782,0.547945205479452,0.5500747384155455,0.567741935483871,0.5566037735849056,0.5787037037037037,0.5260416666666666,0.5660377358490566,0.5257352941176471
P04_00001,4,10,0.2,15,0.0009,150,32,50,12,23394,5439,0.00817896518856287,0.07017583400011063,0.2376585304737091,0.36547383666038513,0.8999667110519307,0.9223940938653542,0.9809094064560916,0.9895263032611283,0.9986101459346769,0.9990074441687344,1.0,0.9997635374793096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4742342342342342,0.5356606606606606,0.47821629933367504,0.5356382978723404,0.4735557363710334,0.5203836930455635,0.4448979591836735,0.5160523186682521,0.4407894736842105,0.5137795275590551,0.4479166666666667,0.4857142857142857,0.40229885057471265,0.40555555555555556,0.3958333333333333,0.35714285714285715,0.4117647058823529,0.3387096774193548
P05_00001,5,10,0.2,15,0.0009,150,32,22,5,8900,2323,0.007366434205323458,0.0664956271648407,0.732579231262207,0.6438634395599365,0.9512582180911358,0.9434172421474716,0.9942685589519651,0.9919028340080972,1.0,0.9993236388231316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6143597335307179,0.4218106995884774,0.6164623467600701,0.4162371134020619,0.6165254237288136,0.4288,0.6091370558375635,0.4166666666666667,0.6167192429022083,0.4166666666666667,0.6340508806262231,0.41785714285714287,0.6311881188118812,0.4174757281553398,0.6563467492260062,0.4166666666666667,0.6679245283018868,0.3826086956521739
P06_00001,6,10,0.2,15,0.0009,150,32,12,2,5360,909,0.012927880510687828,0.0879518911242485,1.665381669998169,1.0142678022384644,0.951905290418054,0.9597290176891231,0.9831967213114754,0.986013986013986,0.9935956084172004,0.9972936400541272,0.9979550102249489,1.0,0.9994134897360704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4004424778761062,0.5820568927789934,0.41624365482233505,0.5847665847665847,0.4233983286908078,0.584958217270195,0.434375,0.5750798722044729,0.4375,0.5672727272727273,0.4326530612244898,0.551440329218107,0.4205607476635514,0.5492957746478874,0.4143646408839779,0.5409836065573771,0.3885350318471338,0.5408805031446541
P07_00001,7,10,0.2,15,0.0009,150,32,36,9,17590,4343,0.01370167825371027,0.09071175754070282,0.7013291716575623,0.6402918696403503,0.9303057553956835,0.940303657694962,0.9811920529801325,0.9847966032050404,0.9966555183946488,0.9970311726867888,0.9998041136141038,0.9993912337662337,0.9997565132700268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5386753126447429,0.5128205128205128,0.5464601769911505,0.523068669527897,0.5611073598919649,0.5357607282184655,0.5611990008326395,0.5362549800796813,0.5814455231930961,0.5454545454545454,0.5904628330995793,0.5674967234600262,0.599640933572711,0.5729166666666666,0.5829268292682926,0.5683962264150944,0.567398119122257,0.574750830564784
