Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max,overnight_gap_absolute_mean,overnight_gap_absolute_std,overnight_gap_absolute_median,overnight_gap_absolute_min,overnight_gap_absolute_max
0,100,7.1022727272727275,-0.010540055795135332,0.9748349739592556,-0.03346730722233995,-2.555292953084509,3.320134099090434,0.572087983998107,0.32586580367220735,0.5229852492311717,0.129506237501192,2.0045784044050716,-1.1604895790432732,1.0603335044942241,-0.8880089601999153,-5.101497757165674,0.0,1.0681098056657317,1.2350083597677886,0.6441074084537091,0.0,6.913327882256737,2.228599384709005,1.3218227013447275,2.0240620483258365,0.4768416254689489,8.262469337694178,2.228599384709005,1.3218227013447275,2.0240620483258365,0.4768416254689489,8.262469337694178,-1.4245388622924653e-06,0.00010994279604578497,-1.5094203557279873e-06,-0.00025792527976870245,0.0003579986081349613,0.0010914458069587582,0.0006710090595732902,0.0009455960053601545,0.00016184260109039638,0.004012140298660366,0.481935319665611,0.7858291132968196,0.23145697769578033,-0.5923586820148867,3.9737975916987844,3.276839410536661,5.124353984612629,1.0560024672663162,-0.8751091307785819,31.980525146872324,0.01343110379753146,0.008224654039564775,0.01159763400005703,0.0020335076499458904,0.049171349116207366,0.10920352093027953,0.06786820576377135,0.0937069501686992,0.01623071506391441,0.4135374565950916,0.43224340421751656,0.3037983260374748,0.3335148128434384,0.08032967297790794,2.1712790190471787,0.09655950360902031,0.05927557647649457,0.08487953756301791,0.014495322849256432,0.35908040480223313,0.0533820685153064,0.0384501591394511,0.04242560348756272,0.010849087162278151,0.2794020752446382,0.3098037255092178,0.2351714022640414,0.24330982818317023,0.05680165649317647,1.7498246288023689,-0.0016179748988368894,0.0277484330037763,-0.0006891922997683177,-0.06696779934530006,0.08384810940330809,0.09717484881391458,0.0666210649400431,0.08004341426994765,0.013419184669246445,0.4848708948080229,0.01164140862309214,0.09542595638616318,0.0034966010340331533,-0.1873578141191311,0.4037101801870282,-0.00046620395058724997,0.012283774036773424,-0.0014486512835939769,-0.023452348591422773,0.04197147501768085,0.616350629172584,0.27142692396465257,0.7034880523689886,0.04225278732833583,0.9625537309882853,0.0002138455736991016,0.0014484424659891857,3.796051695141013e-41,3.481217302483258e-108,0.011341119770843677,0.0072940870950461345,0.006188369523305674,0.006290058666381888,6.829202737800968e-05,0.034959901666054484,73.94,6.460371506345434,75.0,56,88,0.5037583892617449,0.043358198029164005,0.49664429530201337,0.4093959731543624,0.6241610738255033,36.06,3.1963103729143705,36.0,27,43,35.95,3.1284980421921316,36.0,27,43,1.0031275226287024,0.01996358187920958,1.0,0.9655172413793104,1.0344827586206897,47.688741721854306,4.162708673745733,48.34437086092716,35.76158940397351,56.95364238410596,0.0063380291318574835,0.10795438828854151,0.004596004731045466,-0.29707392412587896,0.21658700645803808,6.82,1.8621492958406962,7.0,2,12,4.546666666666667,1.2414328638937973,4.666666666666667,1.3333333333333335,8.0,0.0043242575162740216,0.003033535801207137,0.00332456872798327,0.0008032967297790132,0.02196473222311209,-1.014149999999998,9.9588206142846,-0.017499999999998295,-25.77000000000004,36.315
1,456,32.38636363636363,0.1277296776911001,0.17734326523938787,0.12385629465179884,-0.2801178431833069,0.6788441216361194,0.10819773334112183,0.045927152623122205,0.10066523026963439,0.02627041275718186,0.3274591443402275,-0.13613935958191875,0.12325066893803789,-0.1072562390095233,-0.5618112122664054,0.0,0.3184883549245488,0.20813310315884656,0.28807249486780817,0.0,1.1076646437401694,0.45462771450646755,0.1783274808981102,0.4343050611956556,0.13074767895400186,1.156214879748263,0.45462771450646755,0.1783274808981102,0.4343050611956556,0.13074767895400186,1.156214879748263,1.3625657418398397e-05,1.5585686236280085e-05,1.2868193089497529e-05,-2.0767995031131877e-05,7.170235864477222e-05,0.000266244316787795,7.856851795214172e-05,0.0002602586865929071,0.00011602207254250494,0.0005633622461202811,-0.08876038371528357,0.4171435194725799,-0.08817647825642216,-1.3851213871418075,1.2955719711376927,1.5166552815231236,1.3322842306663736,1.1212844708696337,-0.4096579069775532,7.761389275993848,0.0032703017341052733,0.0009634675015216145,0.0031882821900034125,0.0014287059382436672,0.006955410648433116,0.026649926265381544,0.007870860262038756,0.026022175552723167,0.011606593191740951,0.056565111457044744,0.09955108954388003,0.037526509131850266,0.09312598036257391,0.03243293332717556,0.3137783771634206,0.023012528573843963,0.006950143702708342,0.022369955075632542,0.009773134776660095,0.04946954193828077,0.0132600093796641,0.00464253648236249,0.012746453244412582,0.004765168511832014,0.0319004935405684,0.0737173187783419,0.026632607206930364,0.06963192650950531,0.028267277318056457,0.17841253618647193,0.003307015507123936,0.0037171278046617753,0.003024390972250866,-0.005174061756969285,0.01658229891825661,0.022434792122469304,0.008027258982037348,0.021398891281791343,0.008536969130772636,0.05524001962613875,0.000992557455727284,0.014350809148472551,0.0011920265394527174,-0.04217956443143489,0.04778030338173034,0.0012906610037427266,0.0014907863052866777,0.001349481986763614,-0.0024427730236740827,0.0064908606357117465,0.4487317334331403,0.261028162251163,0.41989848141853947,0.037117283417947775,0.9466553506689921,0.0003167104178636328,0.0017171439920543854,2.417402877095421e-19,9.877107755188343e-97,0.017788028592816283,0.0009651097042945106,0.0009447768524131085,0.0006098738873716743,6.772774361369763e-06,0.004845584922426341,80.47368421052632,6.38214412400529,80.0,64,98,0.4599081596608972,0.04283318204030396,0.46308724832214765,0.3422818791946308,0.5704697986577181,36.60087719298246,3.0855348882036555,37.0,27,45,36.5921052631579,3.1155142274110013,37.0,27,46,1.000482497417431,0.01938340090402163,1.0,0.9666666666666667,1.0333333333333334,48.47217381201348,4.080156679076742,48.34437086092716,35.76158940397351,60.264900662251655,-0.013387980126445294,0.0959320364212745,-0.019698208392954532,-0.2677632661649826,0.297229810832707,7.7894736842105265,1.6542008417196734,8.0,3,12,5.192982456140351,1.1028005611464489,5.333333333333334,2.0,8.0,0.000995038918341931,0.0003749420277354623,0.0009308374078626394,0.0003244007275844574,0.0031248880770746116,0.5364473684210526,1.9771981131917136,0.46500000000003183,-4.735000000000014,8.050000000000068
2,177,12.571022727272727,-0.04661105990933078,0.22851602715998823,-0.014981587195196076,-1.0790858424955636,0.6269577648560942,0.1335418338243224,0.08558839530396392,0.11614833626833053,0.02822605340297714,0.7584360842741792,-0.355174410941912,0.31862805319489934,-0.2557740611407122,-2.268041237113405,0.0,0.24683792324099132,0.22894006096954883,0.2040425938914847,0.0,1.0610318489695958,0.6020123341829033,0.35687296145597164,0.5256622017529966,0.1319401264805231,3.004123711340212,0.6020123341829033,0.35687296145597164,0.5256622017529966,0.1319401264805231,3.004123711340212,-2.310107555541708e-06,1.7867109525522854e-05,-9.446551628820504e-07,-9.979810729765922e-05,5.28473447851516e-05,0.0004397304624044423,0.0002572314727438114,0.0003655676883429231,0.00012016362063035299,0.0021351763127361264,-0.1126884932479936,0.3712830767336423,-0.12427718266203708,-1.4634396606690734,0.8097146521329219,1.1607117676429284,1.317743050538828,0.8756613896524676,-0.38822822454518446,8.757298570125625,0.005388756094168158,0.003152717844650714,0.004481436611917546,0.0014717052992414895,0.02617901129346648,0.04393167219119542,0.025629291085563607,0.03652472195296791,0.012023418749109881,0.21158992025080864,0.15116553586975978,0.08029706102596314,0.12897895872675536,0.048824512864520386,0.5546391752577318,0.0384733098674513,0.023274033947762382,0.031787666888726626,0.009548441091605764,0.20120753680319634,0.020746677818493413,0.01122834954333104,0.0182630035453746,0.005714845603993725,0.08981489430790911,0.11569666519003269,0.06615004500162393,0.09938421257250715,0.035534205080867326,0.5628235303213153,-0.00026780518830493716,0.0037577471799100483,-0.0001679625607544847,-0.024624655147379094,0.012330946055713218,0.03853637054135262,0.023385269071970353,0.0322452195823544,0.008278335908796283,0.20314176476249354,0.002859916194900923,0.030995743036698522,0.005871857991369689,-0.16092963820780626,0.08738718066391593,-1.4413759495211675e-05,0.0004108681038785257,-3.777356994495668e-05,-0.001327679819470842,0.001475736157982631,0.015000591824371242,0.017012103391607927,0.011637754905276309,2.850266440651124e-06,0.14264603398598852,0.3070078320290311,0.28741264348522755,0.18734712807601855,1.7461049561924095e-06,0.9835859057725514,7.31211452759825e-06,1.522754760736439e-05,3.2261536553367983e-06,1.452142002996234e-11,0.0001516432095440291,78.96610169491525,7.060591919205157,79.0,58,96,0.4700261631213742,0.04738652294768562,0.4697986577181208,0.3557046979865772,0.610738255033557,36.74576271186441,3.325606288578399,37.0,26,44,36.740112994350284,3.2452008875864062,37.0,27,44,1.0001305541382426,0.018762349348132697,1.0,0.9629629629629629,1.03125,48.666142851797815,4.328161760952777,49.00662251655629,35.099337748344375,57.615894039735096,-0.003990576569797363,0.0986716572512006,0.007196362144592873,-0.304787933720942,0.2726813221930225,7.830508474576271,1.8578209309591984,8.0,3,13,5.220338983050848,1.2385472873061323,5.333333333333334,2.0,8.666666666666668,0.0015130802815430159,0.0008055314572587506,0.0012913026965440354,0.00048824512864525433,0.0056218520763234294,0.06889830508474717,3.411423282812751,0.2400000000000091,-11.240000000000009,10.894999999999982
3,329,23.366477272727273,-0.32222470330632047,0.2738785405032415,-0.2766796404598033,-1.2492683498572594,0.5145459422945752,0.22762144802251022,0.10680871379559012,0.1998673032232884,0.049692583435906594,0.6148481964402939,-0.7328481653802879,0.3914859597095105,-0.6557259993573594,-2.0061700553861694,0.0,0.15692117877360212,0.14409507410262928,0.12852705613539683,0.0,0.7551456222454345,0.88976934415389,0.3857105064004346,0.7888183370927004,0.2356189161529798,2.128579146407339,0.88976934415389,0.3857105064004346,0.7888183370927004,0.2356189161529798,2.128579146407339,-3.6253967217867315e-05,2.5629474007398865e-05,-3.229681445681846e-05,-0.00012641575368447372,2.6923168697710846e-05,0.00044564477261061354,0.0001621999536775235,0.00041713222731713025,0.00015580081642400828,0.0009827636674983882,-0.3007652101904372,0.4725383700555784,-0.25081436040649674,-2.9111941037366247,0.7155480787372892,1.511243862754744,2.31223621105666,0.7925016325166623,-0.6121710061084156,20.48110668237972,0.005482288485362646,0.0019940935845699677,0.0051357793811933556,0.0019192376089745486,0.012053061271246036,0.04441410844738603,0.016103035451744154,0.04158876165323966,0.015553833960492636,0.09784537906446591,0.16307870515024084,0.07102551905938727,0.14465105553341795,0.047317012719272356,0.5198464352210275,0.039392425328258276,0.014702930652136622,0.0365298859667796,0.013285167471345059,0.08886218024250456,0.021547645135078935,0.007988337760459511,0.01970378937814156,0.0060988589859477,0.05066501581434502,0.1210511620023828,0.04831353981285426,0.11224029336427131,0.03154467514617767,0.3023100773018372,-0.00933121574384518,0.006336342703166221,-0.008646364950676146,-0.0327740570535426,0.007046175015807,0.03940028583881872,0.015269007617543282,0.0359100306227167,0.012503563582849667,0.09199819688546114,-0.0026997699411971357,0.03278667668028572,-0.0007127583749111377,-0.12165819359081453,0.12192580241767392,-0.0038982195270257725,0.0025683651327761407,-0.0036104239327915343,-0.01329331819840914,0.003719398301956999,0.6037178173919043,0.22328106955823315,0.6410899982152215,0.05714618961535283,0.9353121905100468,2.523377447684865e-05,0.00020674138940785213,5.701476056792815e-35,1.7187527627969528e-90,0.003115550845942037,0.002747709298285168,0.002109204409209015,0.002340974490196772,1.9077720170516274e-05,0.011806413659302562,77.06990881458967,6.234864249567123,77.0,61,95,0.48275228983496865,0.0418447265071619,0.4832214765100671,0.36241610738255037,0.5906040268456376,36.620060790273556,3.0564633787045925,37.0,27,46,36.4984802431611,3.0894709121606683,37.0,26,45,1.003643073910679,0.01976483546511903,1.0,0.9655172413793104,1.0384615384615385,48.422874856579234,4.043080924135692,49.00662251655629,35.099337748344375,60.264900662251655,0.012978137420384173,0.09312310291166326,0.01070557365715755,-0.290228226095353,0.27833380677181957,7.495440729483283,1.6833198861749876,7.0,3,13,4.996960486322188,1.1222132574499917,4.666666666666667,2.0,8.666666666666668,0.0016342160372494342,0.0007113307342092934,0.0014465528845670295,0.0004740566836349682,0.005212334481533753,-0.08484802431611052,3.5515739446761025,0.3149999999999977,-14.555000000000007,13.759999999999991
4,346,24.573863636363637,0.2116872362644776,0.3610946055322715,0.19480155520143766,-0.596038145908507,1.268576383630852,0.24082069099599598,0.09029012669157871,0.22880222052622504,0.0728565968224747,0.5087576320592432,-0.33248116354494917,0.27477547093066296,-0.2939304660462938,-1.198366352595559,0.0,0.637872052693828,0.39437457605016274,0.5999350731329178,0.0,1.961498509315085,0.9703532162387772,0.3290729177400571,0.9074839747507668,0.3266558606268344,2.0364306180925107,0.9703532162387772,0.3290729177400571,0.9074839747507668,0.3266558606268344,2.0364306180925107,2.4239573891093406e-05,3.0895061984742244e-05,2.206684561345971e-05,-4.433412952096403e-05,0.00010282633248855097,0.0005138144900956167,0.0001814312419134383,0.0004806358674321825,0.0001659021219417825,0.0012335910697602128,0.019389339571942072,0.3223077443585832,0.02132966052784962,-0.8360432490521931,1.0277299280333465,0.966939393842238,0.9498249896951085,0.7659302182502445,-0.645566742064664,4.87612621301898,0.006312667427758545,0.0022180922168175124,0.005898316558113606,0.0020614552154235312,0.015116687580586074,0.051454322010774725,0.01818013994894987,0.048286111302398474,0.016618824397876302,0.12411466684702392,0.17707541658520923,0.07063676422371493,0.16284206893493192,0.04878265111534219,0.40933278755629354,0.04583008748014285,0.01609539142286701,0.042713644832662045,0.014849212929473977,0.1088268053088655,0.024978080583054167,0.009064210707463811,0.022727475518720102,0.008029226768621906,0.05741052782953698,0.1365504090397382,0.05379607360283324,0.12457651012311727,0.04277816569244258,0.3558206456286732,0.006213314816765843,0.007828026366833666,0.0066742237852335275,-0.011194474787643183,0.027301779953767882,0.0460569950911945,0.017033884628116468,0.04337323536618046,0.011946307492957298,0.10858916621745748,0.001406282002859505,0.03575935731157193,0.003659665067516915,-0.1453207911239729,0.11010933208974616,0.002609430431528731,0.003432594171121715,0.003021622366456141,-0.005924197529382526,0.010319269993284228,0.4684418508961918,0.2691218158149349,0.4492409815958826,0.03405688625972927,0.9646592840936692,0.00024645792943936684,0.001593315291393555,4.8919075727913044e-21,4.6648643122758334e-110,0.02330463142278866,0.0022063707962545814,0.0020613775632558834,0.0013702505193846103,2.900413362275695e-05,0.008855866007548974,75.61849710982659,6.154006547384538,76.0,59,91,0.492493307987741,0.0413020573649969,0.4899328859060402,0.38926174496644295,0.6040268456375839,36.08092485549133,3.1867382821227044,36.0,26,46,36.00867052023121,3.170936473169497,36.0,26,45,1.0022481362638123,0.020844183364764898,1.0,0.9666666666666667,1.0384615384615385,47.74145389120698,4.181817723573194,47.682119205298015,34.437086092715234,60.264900662251655,0.02199715883820074,0.09356048960979603,0.024703302240402306,-0.30466120208448255,0.2601052361236775,8.15606936416185,1.9003895663413681,8.0,3,13,5.4373795761079,1.266926377560912,5.333333333333334,2.0,8.666666666666668,0.0017701767031901474,0.0007063940514557337,0.0016255145589911997,0.00048781028614501364,0.004105722350526202,0.2481791907514474,4.957713571020795,0.674999999999983,-14.539999999999992,15.900000000000091
