Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max,overnight_gap_absolute_mean,overnight_gap_absolute_std,overnight_gap_absolute_median,overnight_gap_absolute_min,overnight_gap_absolute_max,overnight_gap_percentage_mean,overnight_gap_percentage_std,overnight_gap_percentage_median,overnight_gap_percentage_min,overnight_gap_percentage_max,overnight_gap_positive_mean,overnight_gap_positive_std,overnight_gap_positive_median,overnight_gap_positive_min,overnight_gap_positive_max,overnight_gap_magnitude_mean,overnight_gap_magnitude_std,overnight_gap_magnitude_median,overnight_gap_magnitude_min,overnight_gap_magnitude_max,gap_filled_mean,gap_filled_std,gap_filled_median,gap_filled_min,gap_filled_max,gap_fill_time_minutes_mean,gap_fill_time_minutes_std,gap_fill_time_minutes_median,gap_fill_time_minutes_min,gap_fill_time_minutes_max,opening_direction_mean,opening_direction_std,opening_direction_median,opening_direction_min,opening_direction_max,opening_momentum_mean,opening_momentum_std,opening_momentum_median,opening_momentum_min,opening_momentum_max,gap_continuation_mean,gap_continuation_std,gap_continuation_median,gap_continuation_min,gap_continuation_max
0,19,1.3503909026297085,0.6598993445082059,1.4340161065566401,0.8996056448734182,-2.555292953084509,3.320134099090434,0.9866653522374359,0.4053451008944582,0.7993044241702404,0.40922511650004945,2.0045784044050716,-1.446118503137115,1.5039269574991871,-1.0857894919128586,-5.101497757165674,0.0,2.6886058233874235,1.8030355940412808,2.4894402840410557,0.20595517188493062,6.913327882256737,4.134724326524539,1.6318970319032347,3.663392620122119,1.8727388806129008,8.262469337694178,4.134724326524539,1.6318970319032347,3.663392620122119,1.8727388806129008,8.262469337694178,7.611402144738842e-05,0.00015543523982143278,0.00011375428782149898,-0.00025792527976870245,0.0003579986081349613,0.0022328939597781447,0.0006303191741871513,0.0021351763127361264,0.0013924141042428709,0.004012140298660366,0.4521035762249318,1.006635502274095,0.19266004793765498,-0.42714272385542285,3.9737975916987844,3.49464662490534,7.093877335615134,1.2328846261985005,-0.8751091307785819,31.980525146872324,0.027432241691046317,0.00770926644072966,0.02617901129346648,0.01711033492816075,0.049171349116207366,0.22478179312418356,0.06455828127463718,0.21158992025080864,0.14044933410319235,0.4135374565950916,0.9029766346285972,0.38221737810477147,0.8260117000065792,0.5546391752577318,2.1712790190471787,0.19664753446634592,0.05583763365606469,0.19121044087836386,0.11507615971510181,0.35908040480223313,0.11640747236985938,0.0474775771127809,0.10509805832367806,0.07443807577414625,0.2794020752446382,0.6879278261693317,0.30820015164824793,0.5720803046436983,0.4078665949642063,1.7498246288023689,0.01712086047424927,0.03941888712058005,0.027786000931177373,-0.06696779934530006,0.08384810940330809,0.20502580058155878,0.07767303601363587,0.20314176476249354,0.11153590378858085,0.4848708948080229,0.033017997717912154,0.14429903684842801,0.028532621972070515,-0.17888863346638084,0.4037101801870282,0.00772050349333363,0.016754466672864888,0.008551769169661834,-0.023189427791641796,0.04197147501768085,0.455205695533076,0.2944641775170983,0.5953752679718964,0.005822403971286007,0.8741327032473408,0.01900452892304341,0.07845418734796294,4.473990400516421e-31,6.122486247233936e-69,0.35174267494466616,0.009426148241699892,0.009741562510014378,0.006445190238854864,7.73028825348332e-06,0.034959901666054484,71.36842105263158,5.450355143578786,71.0,58,80,0.5210173083716002,0.0365795647220053,0.5234899328859061,0.46308724832214765,0.610738255033557,35.21052631578947,2.7830113824004807,35.0,29,40,35.10526315789474,2.712441837205289,35.0,29,40,1.0029836697599857,0.01575092680345968,1.0,0.9714285714285714,1.03125,46.56674799581736,3.621267930644203,46.35761589403973,38.41059602649007,52.980132450331126,0.027709598771639213,0.10897952388084338,0.012652001660568344,-0.194562394219988,0.20953690246635284,7.052631578947368,2.16366366222047,7.0,2,12,4.701754385964913,1.4424424414803134,4.666666666666667,1.3333333333333335,8.0,0.008984230137422191,0.003863990210559098,0.008260117000065815,0.0056218520763234294,0.02196473222311209,-8.053157894736838,11.744940031498258,-10.0,-25.77000000000004,13.805000000000007,-2.202017982216656,3.7968545250676193,-3.5807739980718885,-7.9038727897397045,6.261338896952108,0.2631578947368421,0.44034738238635557,0.0,0,1,3.844949813527137,2.116919556806447,4.060602464447483,0.09063941990771213,7.9038727897397045,0.47368421052631576,0.49930699897395464,0.0,0,1,587.3684210526316,447.4211733603933,999.0,5,999,0.0016260058101160337,0.007260569664620085,0.0010455447092506767,-0.01485862364422899,0.018286101293149032,0.005761395546108795,0.004708087521553762,0.005039328673780178,0.0003298969072165464,0.018286101293149032,0.42105263157894735,0.49372797471825575,0.0,0,1
1,116,8.24449182658138,-0.02997771334601681,0.15659754550991803,-0.004960221609693427,-0.4480372585676835,0.32455109341246063,0.09006645512588114,0.037286362183452965,0.08905730979011217,0.02627041275718186,0.18745130995978312,-0.24318442861553172,0.1794441135774188,-0.19489727783348898,-0.8658395072748348,0.0,0.16828363372281974,0.1511277003858886,0.14195849644119685,0.0,0.6027097831851957,0.4114680623383514,0.1598317965854752,0.40544063665484686,0.13074767895400186,0.8668313051067633,0.4114680623383514,0.1598317965854752,0.40544063665484686,0.13074767895400186,0.8668313051067633,-5.254891192783612e-07,1.0656636761288631e-05,-6.072257720296036e-07,-3.7182669752597536e-05,2.6741258348790918e-05,0.00030420552628328225,9.74894486299941e-05,0.00030428105167196445,0.00012016362063035299,0.0005878761453199317,-0.18466336361337304,0.3967677480600386,-0.17117012288376654,-1.4634396606690734,0.6995135471689633,1.3576308952954772,1.4942139008167818,0.9686794498364255,-0.38256375026797507,8.757298570125625,0.0037278565159390943,0.0011945463681968436,0.0037267780967944657,0.0014717052992414895,0.007201413185090898,0.03040614691134139,0.009739134811566812,0.030394187126144168,0.012023418749109881,0.058848540541164035,0.10901246597870268,0.04259259211203647,0.09976688523191668,0.048824512864520386,0.2731831119962891,0.026450575154545714,0.008509465812341991,0.02594251487270874,0.009548441091605764,0.05355196630079443,0.014758630176757647,0.004854407344411636,0.014985001136265204,0.005714845603993725,0.032502194240567064,0.08147315127569307,0.02673593759660098,0.0795870471365189,0.035534205080867326,0.18635290033546142,-5.506059930602653e-06,0.0020500279855263067,-8.617740713036959e-05,-0.00617518977504086,0.005193480630694238,0.02644057675319712,0.008986703234428066,0.026736677376966583,0.008278335908796283,0.05705837106810936,0.00490966890760603,0.01881940352794579,0.005870830620041123,-0.0736392742796177,0.057634649143243344,-1.7948788444879814e-05,0.00026210242946520077,-3.161970409055363e-05,-0.0006505028696692889,0.000578548666901095,0.015033188768614704,0.014829399584903336,0.013487214709313144,2.850266440651124e-06,0.10003256615432612,0.2976599403823743,0.28911447749965696,0.15560069903849028,7.613357191204245e-05,0.9835859057725514,4.635528243079299e-06,6.951049380341368e-06,2.9839056397807392e-06,1.452142002996234e-11,5.449429161651591e-05,79.75862068965517,7.006918612509394,80.0,59,96,0.46470724369358957,0.047026299412814714,0.46308724832214765,0.3557046979865772,0.6040268456375839,36.4051724137931,3.197462486032296,36.0,26,44,36.474137931034484,3.1526157910222135,36.5,27,43,0.9981447348082528,0.018842518512461402,1.0,0.9629629629629629,1.03125,48.26444393697192,4.181359846323895,48.34437086092716,35.099337748344375,57.615894039735096,0.00017675547820426637,0.09814185114032968,0.008243250294268142,-0.2277744846771176,0.2726813221930225,7.905172413793103,1.9563268196919186,8.0,3,13,5.270114942528735,1.3042178797946125,5.333333333333334,2.0,8.666666666666668,0.0010907034088868252,0.0004258939671726391,0.000999678446271122,0.00048824512864525433,0.0027217573772795917,0.602715517241382,2.0242126387809654,0.5849999999999795,-7.390000000000043,5.694999999999936,0.13915822202322622,0.44736455598218594,0.12236717327341112,-1.4424719166918873,1.0628019323671498,0.6379310344827587,0.480598616026426,1.0,0,1,0.3587863246794503,0.3012846327458735,0.2951948706849572,0.0025290631507045728,1.4424719166918873,0.45689655172413796,0.498138628041161,0.0,0,1,616.3534482758621,429.06213387980154,999.0,5,999,-0.00013600203201993998,0.0010041865706680666,-0.00024153108701231311,-0.002449942532212214,0.002355952745024795,0.0008322706452518082,0.0005781114031705166,0.0006519768141905637,9.196586227184102e-06,0.002449942532212214,0.49137931034482757,0.49992567818613715,0.0,0,1
2,557,39.587775408670936,0.08870412221189426,0.3059303407460766,0.07314231876976245,-0.8448041944151192,1.154686037369104,0.1604918169281123,0.08305092299926838,0.14473545392557907,0.026412752501661002,0.49007977453507884,-0.26676650243581107,0.265457723382249,-0.17760696452226998,-1.3806279054957682,0.0,0.38480372635568416,0.3126443305589436,0.2994636950448104,0.0,1.5049097681184787,0.6515702287914952,0.31069517532608076,0.5997832715909368,0.13238171981122537,1.804686172784642,0.6515702287914952,0.31069517532608076,0.5997832715909368,0.13238171981122537,1.804686172784642,8.83120577059195e-06,2.9537035797567847e-05,8.140166989165944e-06,-7.707100520392103e-05,9.492307994274166e-05,0.00035477141761922916,0.0001386912191971797,0.0003274935521269559,0.00011602207254250494,0.0009654605334798786,-0.07118040560793899,0.4105300633092866,-0.05013226012710442,-1.703847664264536,1.5263893097000432,1.3045424058280948,1.3677021741025306,0.9202098438482764,-0.645566742064664,8.893374018643897,0.004360286110738311,0.0017015201998967344,0.004011339086580294,0.0014287059382436672,0.011825168530255326,0.03549415447953721,0.013869496498704784,0.03272237543856468,0.011606593191740951,0.09672330901217926,0.12747063152540714,0.05478472374979388,0.11697933365104607,0.03243293332717556,0.3673786053304262,0.031205934519322652,0.01261847628900118,0.02893655360696071,0.009773134776660095,0.09081191070748439,0.017175151539701523,0.006950731169084385,0.016138871581297547,0.004765168511832014,0.04605237838054659,0.09464297774373741,0.040115155937679566,0.08769225721757018,0.028267277318056457,0.28424914917700844,0.002112602394770304,0.007454905452549397,0.0022504033465331006,-0.018647611849262002,0.024055479323349265,0.030574007629725033,0.01352622386224459,0.028152498729212886,0.008536969130772636,0.09331852782284386,-0.0011072042207701976,0.02453244275556916,0.0007882912473411441,-0.10528100213238911,0.08368035213832448,0.0008560769829993807,0.0030499978015548646,0.0010524033988442646,-0.006599757756785934,0.010096823793165887,0.4895466103867382,0.2614867871616511,0.49872138809131045,0.028491020048629048,0.9646592840936692,0.0005032630833668111,0.0034361747853919543,4.156643937473865e-24,4.6648643122758334e-110,0.038282705845973944,0.0016117548548950267,0.0015922276266630805,0.0010892545850914282,1.0298163082602546e-05,0.008445028206929234,78.44165170556553,6.598154586738953,78.0,59,98,0.4735459617076138,0.044282916689523166,0.47651006711409394,0.3422818791946308,0.6040268456375839,36.54578096947935,3.1228820716086356,37.0,27,45,36.44344703770197,3.159854944540067,37.0,26,46,1.0031156209337018,0.019436157939553365,1.0,0.9655172413793104,1.0384615384615385,48.33723709084856,4.134897283212029,48.34437086092716,35.099337748344375,60.264900662251655,-0.0029719635363913105,0.09519559137456943,-0.005402410648513476,-0.304787933720942,0.297229810832707,7.899461400359066,1.7898425948164336,8.0,3,12,5.266307600239378,1.193228396544289,5.333333333333334,2.0,8.0,0.0012745970692773598,0.0005477950899060181,0.001169295902424241,0.0003244007275844574,0.003656639298652071,0.6997396768402164,3.533326608884401,0.7599999999999909,-9.289999999999964,13.759999999999991,0.1774541756424863,0.8290298126100346,0.17414837912573022,-1.811892232976894,3.877686682916009,0.6050269299820467,0.4888449078987592,1.0,0,1,0.6493620947477938,0.5450773197941194,0.5251085728922876,0.0,3.877686682916009,0.0,0.0,0.0,0,0,999.0,0.0,999.0,999,999,0.0001660545433248417,0.001229320720701259,0.00017105086319594654,-0.00351205506492176,0.004075797288654234,0.000982312670366493,0.0007575390177025435,0.000818438244450052,0.0,0.004075797288654234,0.5493716337522442,0.4975564709463985,1.0,0,1
3,149,10.589907604832979,0.25577980807385814,0.4503102346587849,0.2528525854357242,-1.0790858424955636,1.268576383630852,0.29537265718756683,0.14046903042511263,0.27149778375359296,0.09482936550651434,0.8455055436996872,-0.42106970370126895,0.37004452630101725,-0.3697283819900532,-1.6356350353024518,0.0,0.7947822915388412,0.5278636464419575,0.6915287725364427,0.0,2.2439561006213804,1.2158519952401101,0.4768525349113748,1.1645950051451304,0.4768416254689489,3.0395493486680025,1.2158519952401101,0.4768525349113748,1.1645950051451304,0.4768416254689489,3.0395493486680025,2.913479822058866e-05,4.163729740575442e-05,2.4422148279952825e-05,-6.917655744741091e-05,0.00014314261168448875,0.0007050443521076919,0.0002564781295817135,0.0006608030604241528,0.0002176036810208366,0.001447157585082479,0.23393270935344818,0.5406944942008515,0.1669291536150027,-0.8139101887845601,2.9544152068473633,1.769663537682016,3.0739161559474226,0.7857643585233913,-0.6011660284983349,21.606595355803393,0.008658634473092711,0.0031377873765864616,0.008118991869531285,0.0027088306151718915,0.017724927355231786,0.07061267193069581,0.025689969550430916,0.06646978585872074,0.021860971987932264,0.14478350949378854,0.25445419151848114,0.0907261506106178,0.23935423205146966,0.07094767985988959,0.6145169657227223,0.062416729053293034,0.02356547048678688,0.05958491087252219,0.01880368514970797,0.13162529659546507,0.03341840551762196,0.010852354660852008,0.03180005695598097,0.014092915507220265,0.06362797933443161,0.18998554434228515,0.06681057686611434,0.17342246084422214,0.08559315884565719,0.3914071736246312,0.00755849613376361,0.009661898750951563,0.006370074930505894,-0.01119007464953139,0.036143621615216115,0.06219765350379118,0.023350308019366037,0.05830157508503863,0.017635662678853237,0.11956793830174646,-0.0024888661122857312,0.054298263165184796,0.0009901550299873385,-0.1873578141191311,0.14213573384795009,0.003506052275783356,0.004116207730109967,0.0026960629799664543,-0.0032626551306016724,0.016755437219116227,0.3385232125508039,0.3257028444459706,0.2362805378475708,4.0364031523211e-06,0.9625537309882853,0.12890119104419964,0.24191799810011236,2.498193214001157e-10,3.481217302483258e-108,0.9804674546671447,0.002364879754383757,0.0032761041240222176,0.0006602408460362972,3.834155157972831e-11,0.016128008609600303,76.13422818791946,6.892908249487275,77.0,58,92,0.48903202558443315,0.04626112919118978,0.4832214765100671,0.3825503355704698,0.610738255033557,36.604026845637584,3.3952568414500752,37.0,29,46,36.43624161073826,3.3424705480292634,37.0,29,45,1.0047485618375922,0.02094082965246697,1.0,0.9666666666666667,1.0344827586206897,48.371038712831684,4.434149132597807,48.34437086092716,38.41059602649007,60.264900662251655,0.001345728627163347,0.10456209458660876,0.0026817981661794877,-0.26360353908772743,0.21658700645803808,7.489932885906041,1.7971545356551561,7.0,3,12,4.993288590604027,1.198103023770104,4.666666666666667,2.0,8.0,0.002544531163059093,0.0009088278965785171,0.0023952681233806554,0.0007084074397852374,0.006143045195261085,-2.078087248322148,5.463162683754372,-2.535000000000025,-17.79499999999996,10.949999999999989,-0.5102764034896748,1.4117591166942953,-0.611567359776341,-5.5387311201264655,2.615362568071078,0.33557046979865773,0.47218950602249293,0.0,0,1,1.2000017079716563,0.9019100356426476,1.0231685763408787,0.004918516575396385,5.5387311201264655,0.5973154362416108,0.4904382793676539,1.0,0,1,516.3422818791946,425.13354825257744,390.0,5,999,-6.333939083041519e-05,0.002452496247657133,9.149609180985809e-05,-0.006448108901394826,0.004580574677846101,0.0020800090488182566,0.0013008889576121606,0.0019842523665685704,0.0,0.006448108901394826,0.37583892617449666,0.48433875309177754,0.0,0,1
4,138,9.808102345415778,-0.5165416927481783,0.472291520889231,-0.5149427450183931,-1.7408990501256187,0.5145459422945752,0.38924212540947384,0.19065809373211673,0.3797757951374824,0.0608726709485913,1.1332651897432255,-1.225400333739153,0.7116242580955041,-1.2235164409955757,-3.735329257150888,0.0,0.2714695728447776,0.246814165136661,0.21400689681001506,0.0,1.0096173577575085,1.496869906583931,0.6340111786783909,1.4341633993442293,0.2995049504950553,3.773982711364121,1.496869906583931,0.6340111786783909,1.4341633993442293,0.2995049504950553,3.773982711364121,-5.8567581346277714e-05,4.842791902481581e-05,-6.109933155727001e-05,-0.00021581901781069076,4.615944884291462e-05,0.0007106944736835215,0.000245409530544838,0.0006638317116406348,0.00018905552540430306,0.0015686364649688611,-0.09407590952737543,0.6727580866565733,-0.05647942247363909,-2.9111941037366247,2.352179158697682,2.017987320753386,3.492550888695245,0.5941686098229795,-0.38104663918563286,20.48110668237972,0.008751016914909262,0.0030137829359173107,0.008153509956583153,0.0023256401273774696,0.019259909318263827,0.07065877176783594,0.024194506498097422,0.06628885690653766,0.018923397137784334,0.15521666245514318,0.2626754648907518,0.10810911942370126,0.24236651930610864,0.11140279279082677,0.7947669362150855,0.06316268817145719,0.02212564712376832,0.05968744103530796,0.014190786822570427,0.14010057579098864,0.03374084528074234,0.010550160862025397,0.03233937598752226,0.009386428274305924,0.0683297827062635,0.19048470230841485,0.06294353491393749,0.1810605992266988,0.048304699041080174,0.39733273229325383,-0.015836948717395848,0.011352584873500424,-0.015301458976557027,-0.054717404150816724,0.0057428888462420745,0.06207433490859274,0.022283716118443132,0.05901440285302485,0.012839460264561888,0.14426080037487227,0.008037464667563448,0.059633207987064174,0.008468726209628352,-0.13721073110792614,0.16878393607212994,-0.006746294326121479,0.004936649743131671,-0.0068108869800776305,-0.023452348591422773,0.0034486208059078057,0.5675591267515159,0.27857525356323626,0.6126073394216729,0.049691329002665374,0.958405544956519,0.00010453209668833118,0.0006458347539593753,2.308797307727808e-32,8.746998254192182e-105,0.005938193865547338,0.004979924396927649,0.0043875914961137834,0.0038556847991948456,1.9077720170516274e-05,0.019083126349268547,74.92028985507247,6.40545690617411,76.0,56,89,0.49717926271763446,0.04298964366559806,0.4899328859060402,0.40268456375838924,0.6241610738255033,36.26086956521739,3.244402867785382,36.0,27,43,36.2536231884058,3.219194233063133,37.0,26,43,1.000414903391658,0.021559007865859802,1.0,0.967741935483871,1.0384615384615385,48.022842883194166,4.250387617314053,48.34437086092716,35.099337748344375,56.95364238410596,0.024726388872232954,0.09877716212739733,0.014016225591680028,-0.29707392412587896,0.26926983619605793,7.195652173913044,1.8760840176644151,7.0,4,13,4.797101449275362,1.2507226784429435,4.666666666666667,2.666666666666667,8.666666666666668,0.002638057924823535,0.0010901841613665838,0.0024309742041140063,0.0011137822280056732,0.007957829985918548,-0.33981884057970857,7.6143544458214905,-0.11749999999999261,-19.789999999999964,36.315,-0.05446866754579888,1.7652521817944964,-0.032076956342084254,-3.6411473569943444,7.322089260330871,0.4927536231884058,0.49994748726551713,0.0,0,1,1.2865921239692335,1.2098606562802103,0.8251059240361771,0.009849041061558955,7.322089260330871,0.5072463768115942,0.49994748726551713,1.0,0,1,586.463768115942,429.78788430904467,745.0,5,999,0.00013807368892630335,0.002292056719407822,-0.00017065227552628802,-0.005296184300221937,0.006099279874939124,0.001874021344489434,0.001326888220218372,0.001612268970242466,0.0,0.006099279874939124,0.41304347826086957,0.4923805066480923,0.0,0,1
5,428,30.419331911869225,-0.021966371971426903,0.2702134708845807,-0.02965471594215182,-0.7799675982722944,0.8822928963882883,0.16816003946657415,0.08228886054594893,0.15638549825432396,0.03284738626712248,0.47554543465534066,-0.37621655739210735,0.29628716956044393,-0.31610846543965176,-1.4097535377253556,0.0,0.2962019983627388,0.25696031592310437,0.2422537408188985,0.0,1.273732702532393,0.6724185557548463,0.30060471351983553,0.6417325987335465,0.1567233355312725,1.6477722119694227,0.6724185557548463,0.30060471351983553,0.6417325987335465,0.1567233355312725,1.6477722119694227,-1.0877658148723288e-06,2.8568628356456905e-05,1.4690915880133014e-06,-7.502520655816994e-05,8.238047152719708e-05,0.00036000679247512546,0.00014981617249511,0.000325585021675175,0.0001258502718215008,0.0009685626666599904,-0.17302741850606232,0.38539407326591957,-0.15186954772606492,-1.4868379837281325,1.1681603650892995,1.3173931939025672,1.3116724436700689,0.923966574914999,-0.6121710061084156,7.761389275993848,0.004422554127730038,0.001836051163990398,0.004000024765123218,0.0015414448183315263,0.011872402631680535,0.035977928021235374,0.014964468805521856,0.0325259086272026,0.01258211025312281,0.09718659006369623,0.12911565607120482,0.059543114024516376,0.11583185564765786,0.0400890398674969,0.3813945775640426,0.03166160106029059,0.013465433002935144,0.02850208494308639,0.010749952020250959,0.08691943074496519,0.017880094250701115,0.007869506938262737,0.016220148074947732,0.005448563049948936,0.04800262470517539,0.09871935231324676,0.04346239305873661,0.09056388981494491,0.028809754253018866,0.28943896415557974,-0.00016070316310430485,0.007424705446619121,0.0005365222080694887,-0.019631602878502512,0.022515484083705833,0.032281115756347616,0.015098864912812761,0.029008614553290585,0.008601310936035524,0.1001835871394275,0.000836155627957957,0.02421124649801408,0.0008948076385995041,-0.08233248193032727,0.09529609859204924,-0.00012573535170264474,0.003222808964321879,0.00037037690702412373,-0.008299483622171285,0.0077769054725555726,0.5086647221048556,0.26314612903291756,0.5350139135952382,0.025169138751314768,0.9581000891360999,0.00048687488581890796,0.003838673053373191,2.06914013198295e-26,1.508908833752227e-104,0.05169826504036614,0.0016849645241440979,0.001533882042049892,0.0012122094934415215,1.4008319744287181e-05,0.007762608206755282,78.32476635514018,6.463386723387693,78.0,62,95,0.47433042714671014,0.0433784343851523,0.47651006711409394,0.36241610738255037,0.5838926174496644,36.42289719626168,3.0671821855776438,37.0,26,46,36.41355140186916,3.063121537870978,36.0,26,45,1.000445405202012,0.019593321435502006,1.0,0.9655172413793104,1.0344827586206897,48.23605867425884,4.032965801201217,48.34437086092716,34.437086092715234,60.264900662251655,0.0076376715593000485,0.09395689973837054,0.0055119591790844975,-0.30466120208448255,0.2601052361236775,7.799065420560748,1.6651454611940375,8.0,4,13,5.1993769470404985,1.1100969741293583,5.333333333333334,2.666666666666667,8.666666666666668,0.0012922054657214094,0.0005960825287903982,0.0011595915645123194,0.0003998863480905379,0.0038246746947881755,0.6098130841121489,2.053286762847073,0.49500000000000455,-3.875,9.350000000000023,0.13405562508060095,0.45827317212987595,0.10365150821212249,-1.1887001299388755,1.7991668029671866,0.5981308411214953,0.49027577751790663,1.0,0,1,0.36756848465487035,0.30475993830924025,0.3022838608264674,0.0,1.7991668029671866,0.9976635514018691,0.048280323177036975,1.0,0,1,185.4789719626168,193.3420218376981,112.5,0,735,-0.00012690860551662765,0.001044256179072032,-6.528682302849403e-05,-0.003024813582171225,0.0021681330092544787,0.0008649463317120548,0.0005987024343880314,0.0007724125048636962,0.0,0.003024813582171225,0.3901869158878505,0.48779205257750763,0.0,0,1
