Regime,num_days,percentage,rel_price_mean_mean,rel_price_mean_std,rel_price_mean_median,rel_price_mean_min,rel_price_mean_max,rel_price_std_mean,rel_price_std_std,rel_price_std_median,rel_price_std_min,rel_price_std_max,rel_price_min_mean,rel_price_min_std,rel_price_min_median,rel_price_min_min,rel_price_min_max,rel_price_max_mean,rel_price_max_std,rel_price_max_median,rel_price_max_min,rel_price_max_max,rel_price_range_mean,rel_price_range_std,rel_price_range_median,rel_price_range_min,rel_price_range_max,rel_price_range_pct_mean,rel_price_range_pct_std,rel_price_range_pct_median,rel_price_range_pct_min,rel_price_range_pct_max,return_mean_mean,return_mean_std,return_mean_median,return_mean_min,return_mean_max,return_std_mean,return_std_std,return_std_median,return_std_min,return_std_max,return_skewness_mean,return_skewness_std,return_skewness_median,return_skewness_min,return_skewness_max,return_kurtosis_mean,return_kurtosis_std,return_kurtosis_median,return_kurtosis_min,return_kurtosis_max,realized_volatility_mean,realized_volatility_std,realized_volatility_median,realized_volatility_min,realized_volatility_max,rel_price_change_std_mean,rel_price_change_std_std,rel_price_change_std_median,rel_price_change_std_min,rel_price_change_std_max,max_rel_price_change_mean,max_rel_price_change_std,max_rel_price_change_median,max_rel_price_change_min,max_rel_price_change_max,rel_rolling_vol_mean_mean,rel_rolling_vol_mean_std,rel_rolling_vol_mean_median,rel_rolling_vol_mean_min,rel_rolling_vol_mean_max,rel_rolling_vol_std_mean,rel_rolling_vol_std_std,rel_rolling_vol_std_median,rel_rolling_vol_std_min,rel_rolling_vol_std_max,rel_rolling_vol_max_mean,rel_rolling_vol_max_std,rel_rolling_vol_max_median,rel_rolling_vol_max_min,rel_rolling_vol_max_max,rel_momentum_mean_mean,rel_momentum_mean_std,rel_momentum_mean_median,rel_momentum_mean_min,rel_momentum_mean_max,rel_momentum_std_mean,rel_momentum_std_std,rel_momentum_std_median,rel_momentum_std_min,rel_momentum_std_max,rel_momentum_final_mean,rel_momentum_final_std,rel_momentum_final_median,rel_momentum_final_min,rel_momentum_final_max,rel_trend_slope_mean,rel_trend_slope_std,rel_trend_slope_median,rel_trend_slope_min,rel_trend_slope_max,rel_trend_r_squared_mean,rel_trend_r_squared_std,rel_trend_r_squared_median,rel_trend_r_squared_min,rel_trend_r_squared_max,rel_trend_p_value_mean,rel_trend_p_value_std,rel_trend_p_value_median,rel_trend_p_value_min,rel_trend_p_value_max,rel_trend_strength_mean,rel_trend_strength_std,rel_trend_strength_median,rel_trend_strength_min,rel_trend_strength_max,direction_changes_mean,direction_changes_std,direction_changes_median,direction_changes_min,direction_changes_max,direction_consistency_mean,direction_consistency_std,direction_consistency_median,direction_consistency_min,direction_consistency_max,num_peaks_mean,num_peaks_std,num_peaks_median,num_peaks_min,num_peaks_max,num_troughs_mean,num_troughs_std,num_troughs_median,num_troughs_min,num_troughs_max,peak_trough_ratio_mean,peak_trough_ratio_std,peak_trough_ratio_median,peak_trough_ratio_min,peak_trough_ratio_max,reversal_frequency_mean,reversal_frequency_std,reversal_frequency_median,reversal_frequency_min,reversal_frequency_max,autocorr_lag1_mean,autocorr_lag1_std,autocorr_lag1_median,autocorr_lag1_min,autocorr_lag1_max,num_jumps_mean,num_jumps_std,num_jumps_median,num_jumps_min,num_jumps_max,jump_frequency_mean,jump_frequency_std,jump_frequency_median,jump_frequency_min,jump_frequency_max,max_jump_size_mean,max_jump_size_std,max_jump_size_median,max_jump_size_min,max_jump_size_max
0,172,12.224591329068941,-0.045341769794786976,0.2215034779485872,-0.016052852135460455,-1.0790858424955636,0.6269577648560942,0.1297748277920866,0.07184436206629011,0.11469488592909621,0.02822605340297714,0.3517611472770783,-0.3467674911397405,0.2851729360120267,-0.2677016817677791,-1.6356350353024518,0.0,0.2406772862270919,0.2229463165539604,0.2007305721541286,0.0,1.0610318489695958,0.5874447773668323,0.3089805153388391,0.5236468272134698,0.1319401264805231,1.6547174440476486,0.5874447773668323,0.3089805153388391,0.5236468272134698,0.1319401264805231,1.6547174440476486,-2.1000247978645943e-06,1.6218543202526992e-05,-9.906003828702186e-07,-6.917655744741091e-05,5.28473447851516e-05,0.0004353932105208603,0.00022647643866295964,0.00036577051662907585,0.00012016362063035299,0.0014373179663451738,-0.11089721641549889,0.3767158617515778,-0.12699545114823863,-1.4634396606690734,0.8097146521329219,1.1771909964979193,1.3029238216659638,0.880985337235707,-0.38822822454518446,8.757298570125625,0.005335420609287988,0.0027752888795074112,0.00448214230016859,0.0014717052992414895,0.017614808986509817,0.043507528937823475,0.022620697081428224,0.036555481641415796,0.012023418749109881,0.1440395645964693,0.15168689763211796,0.07613629882240555,0.13034013934488664,0.048824512864520386,0.4083432696862288,0.03798905707796748,0.02002837094373176,0.03215120875921944,0.009548441091605764,0.12434572598864178,0.020569797496265498,0.010095131635545524,0.018218516568350503,0.005714845603993725,0.05734740223162286,0.11434226796700328,0.05754540966152645,0.0994014170969352,0.035534205080867326,0.31404388323793175,-0.00024986015582637727,0.003165746666318211,-0.00020821534042196122,-0.00882293925180313,0.012330946055713218,0.03799624612140995,0.02004798117605716,0.03269699691762547,0.008278335908796283,0.11837528948005367,0.002356071383371611,0.03078492769740699,0.005870830620041123,-0.16092963820780626,0.08738718066391593,-3.6107402070541356e-05,0.0004168970154828465,-5.5571208632542815e-05,-0.0014532493840086833,0.001475736157982631,0.01620002796480882,0.022293924031339868,0.011543175965401196,2.850266440651124e-06,0.14987674234983275,0.31302210100321326,0.2885782952291184,0.18916019191697175,9.080892155532122e-07,0.9835859057725514,9.533958197060022e-06,2.585877750976648e-05,3.104572968225449e-06,1.452142002996234e-11,0.00018000731006505074,79.11046511627907,6.841605432933553,79.0,59,96,0.46905728109879824,0.04591681498613123,0.4697986577181208,0.3557046979865772,0.6040268456375839,36.81395348837209,3.2814192473541746,37.0,26,44,36.81395348837209,3.1970612519936896,37.0,27,44,0.9999699462076279,0.018909272212435983,1.0,0.9629629629629629,1.03125,48.76020329585708,4.266313454543549,49.00662251655629,35.099337748344375,57.615894039735096,-0.006096814395658401,0.09803760010860335,0.003931622144359034,-0.2532999011373602,0.2726813221930225,7.755813953488372,1.8735369269244433,8.0,3,13,5.170542635658916,1.2490246179496287,5.333333333333334,2.0,8.666666666666668,0.0015178968612405896,0.0007618691340141588,0.0013041636583581212,0.00048824512864525433,0.004077438716096097
1,493,35.03909026297086,0.1782355106184615,0.18528627710785348,0.1524479188827893,-0.2531879181712981,0.8170619962653112,0.12807729175363344,0.05737684000329464,0.12504828550483518,0.02627041275718186,0.28184324341252254,-0.13012858897615756,0.12369710934789797,-0.10121568843171058,-0.5999507819726357,0.0,0.397779385365918,0.23568411041592935,0.37581023307129424,0.0,1.181291465281742,0.5279079743420755,0.21810934193494208,0.5102533871934156,0.13074767895400186,1.181291465281742,0.5279079743420755,0.21810934193494208,0.5102533871934156,0.13074767895400186,1.181291465281742,1.8709164098266998e-05,1.6277133420345176e-05,1.7375116314018088e-05,-1.8872811698377943e-05,7.38401388022331e-05,0.00029216026430132716,9.937844677210667e-05,0.0002785103207402752,0.00011602207254250494,0.0006592424859125376,-0.08966815374600923,0.4019800763307976,-0.05722286075041191,-1.3057814052934096,0.9150541326729554,1.4605894068963499,1.2501725665224452,1.107939027312101,-0.5120799876004054,6.142826199053996,0.0035906065395012532,0.001218542457387284,0.003421790483487261,0.0014287059382436672,0.008080232615000432,0.029258005781142737,0.009964355697169178,0.027845701539893717,0.011606593191740951,0.06616461325448038,0.1073978171511692,0.03982845732613445,0.10207459721915946,0.03243293332717556,0.28640073827745915,0.02543656323393886,0.008980760086030328,0.023900148705988614,0.009773134776660095,0.05718666067598876,0.014497679231704478,0.005136227779024719,0.013829107803598743,0.004765168511832014,0.0319004935405684,0.08000961279953238,0.028576803038904624,0.07703983397969529,0.028267277318056457,0.17090761011778172,0.004650281773184925,0.003960272904857606,0.004290181131551302,-0.00442748787666586,0.015323027391939002,0.02476142690503594,0.00956356895841278,0.023352521029912563,0.008536969130772636,0.05524001962613875,-0.000703944491319088,0.01624117629025083,0.000392418475065881,-0.055043716122109565,0.04778030338173034,0.001812637243235732,0.0016401242253575859,0.0018102894470707993,-0.0024427730236740827,0.006121283317821723,0.48751830027791343,0.2675048952955079,0.4925087615908896,0.02897572970429626,0.9581000891360999,0.0005070400472613516,0.0029925532542163192,1.0469423010606546e-23,1.508908833752227e-104,0.03665161114862579,0.0012753961134247603,0.0012233282477102476,0.0009126344665895028,6.772774361369763e-06,0.005683935254613901,80.04665314401623,6.157817468801945,80.0,65,98,0.46277413997304545,0.04132763401880501,0.46308724832214765,0.3422818791946308,0.563758389261745,36.55172413793103,3.0057183615790395,37.0,27,45,36.53346855983773,3.0106968756424815,37.0,27,45,1.0006973373033166,0.01942229372618046,1.0,0.9666666666666667,1.0333333333333334,48.40078986607204,3.956955191595694,48.34437086092716,35.76158940397351,59.60264900662252,-0.008951935896114184,0.09317538085638542,-0.011807891864450948,-0.30466120208448255,0.25552999701040957,7.953346855983773,1.6935188336520899,8.0,3,12,5.302231237322515,1.12901255576806,5.333333333333334,2.0,8.0,0.0010732127356302616,0.0003979484771950636,0.0010208830638501554,0.0003244007275844574,0.0028663333227173927
2,228,16.204690831556505,0.3625186807705359,0.3910842280156377,0.3661374785586621,-0.4668048073723047,1.5085056166210784,0.31170183949958347,0.12711154737159008,0.30566222441596863,0.053857086411285414,0.8455055436996872,-0.34527085010059055,0.3165694993523911,-0.28183164535571237,-1.5140603005205144,0.0,0.8926020017293205,0.48079530329706915,0.8302016029220871,0.0,2.962766608213352,1.2378728518299111,0.4618399302611745,1.2027400028588209,0.2066805171318853,3.172790669222292,1.2378728518299111,0.4618399302611745,1.2027400028588209,0.2066805171318853,3.172790669222292,3.9800821034416315e-05,3.625845635254621e-05,3.829012498772969e-05,-4.192273044220255e-05,0.00017400739696925364,0.0006386051031644894,0.00027229545452803634,0.0005850976684495554,0.00014760624099368185,0.001616910721203186,0.24228611200368091,0.5595950025306108,0.1602577094379674,-1.3830240202645312,2.9544152068473633,2.1099207155653534,2.858818441215236,1.1296735833756948,-0.6011660284983349,21.606595355803393,0.007849961419575571,0.003332734120004361,0.007266385750169961,0.0018080206470143297,0.019807922994921148,0.06402974499877653,0.027363859517721554,0.05872761727201954,0.014769414912375028,0.16298572242822404,0.24283595296119828,0.11858906824899851,0.2176796829489458,0.08032967297790794,0.895064442685567,0.056770733049090104,0.024753462673520608,0.052624076413765056,0.012028670474950594,0.14864466957528205,0.03158881951788848,0.012746515024487915,0.029434278739215017,0.005694020993964085,0.08761046093524003,0.17787224002694232,0.07885789626620676,0.1609286742153406,0.038015995005047036,0.5497610064885365,0.009892538136257501,0.008838845530995893,0.009553297006741814,-0.012633860936571074,0.036143621615216115,0.05741871502336989,0.025174706397104552,0.05352425370215297,0.010318027246807408,0.15313582017109495,0.0029085120213070853,0.05353689021053424,0.004070093074487469,-0.1873578141191311,0.21192137780907894,0.00445061395199494,0.0038952901824582434,0.004518048122462188,-0.006773441816174216,0.016755437219116227,0.5131657717385454,0.26832666822439055,0.5432287424097503,0.03405688625972927,0.9646592840936692,0.0003045484965468414,0.0019741094776758875,5.005713002079378e-27,4.6648643122758334e-110,0.02330463142278866,0.0031950120224720348,0.0028547595524321774,0.0023503624301247287,2.900413362275695e-05,0.016128008609600303,74.85087719298245,6.1888871206329155,75.0,58,92,0.49764511951018486,0.04153615517203299,0.49664429530201337,0.3825503355704698,0.610738255033557,35.90350877192982,3.120305029639447,36.0,28,46,35.79385964912281,3.112870427128489,36.0,28,45,1.0033135991321263,0.020797168596627395,1.0,0.9655172413793104,1.0344827586206897,47.48170094109446,4.099348921245616,47.35099337748345,37.086092715231786,60.264900662251655,0.02274146464268291,0.10049215054804088,0.030285610974216073,-0.26360353908772743,0.297229810832707,7.692982456140351,1.9718510004848908,8.0,3,13,5.128654970760235,1.314567333656594,5.333333333333334,2.0,8.666666666666668,0.002426221889921503,0.0011823464364124343,0.0021738172022058694,0.0008032967297790132,0.008889406467140109
3,157,11.158493248045486,-0.5038263667417484,0.42384812494000573,-0.4501265228628789,-1.7408990501256187,0.5145459422945752,0.36996590491626546,0.1878011410961309,0.3613879524135884,0.049692583435906594,1.1332651897432255,-1.168322228057591,0.6836883485602875,-1.0860516642973161,-3.735329257150888,0.0,0.23294500314767153,0.19836650511751436,0.2055450986731877,0.0,0.8854750560538083,1.4012672312052625,0.6483457363289585,1.3039265971390934,0.2356189161529798,3.773982711364121,1.4012672312052625,0.6483457363289585,1.3039265971390934,0.2356189161529798,3.773982711364121,-5.8008365608142005e-05,4.399350266590261e-05,-5.823853340165638e-05,-0.00021581901781069076,2.6923168697710846e-05,0.0006514938011392315,0.0002565069337301894,0.0006312191171438647,0.00018905552540430306,0.0015686364649688611,-0.2360046258381059,0.6829561671521245,-0.10046488450775214,-2.9111941037366247,2.352179158697682,2.385341303234396,3.317556097931445,1.1595116173366007,-0.46520975100107176,20.48110668237972,0.008023747931960958,0.0031544454241799634,0.007751137012437394,0.0023256401273774696,0.019259909318263827,0.06476741455478842,0.02528619103462258,0.06278776781264901,0.018923397137784334,0.15521666245514318,0.24836687370798802,0.09638827679579758,0.2327078278952288,0.09926884676325631,0.6222953399377729,0.057606565169958886,0.02349816670900469,0.05460135659631163,0.014190786822570427,0.14010057579098864,0.031176170620680295,0.011058693853478414,0.030747005754190468,0.009386428274305924,0.0683297827062635,0.17765117239317912,0.06506039575742474,0.17383911780088285,0.048304699041080174,0.39733273229325383,-0.015305332454207753,0.010971292117704262,-0.014798669862477219,-0.054717404150816724,0.007046175015807,0.05706141798822489,0.023229441482524774,0.054507400404375815,0.012839460264561888,0.14426080037487227,-0.0007280632781909974,0.05517605734176421,0.0016276703967432748,-0.13721073110792614,0.16612780274952055,-0.0066048095558126265,0.004680221378014283,-0.006276218011000173,-0.023452348591422773,0.003719398301956999,0.6373749041028228,0.23906559405466993,0.7019877703117638,0.05714618961535283,0.958405544956519,4.279896803898623e-05,0.0002887874543140821,5.256301783782401e-41,8.746998254192182e-105,0.003115550845942037,0.005030251382939966,0.004015043011150574,0.003838240702188436,1.9077720170516274e-05,0.019083126349268547,75.89171974522293,6.582721658327307,76.0,56,91,0.49065959902534945,0.044179339988773866,0.4899328859060402,0.38926174496644295,0.6241610738255033,36.64331210191083,3.2828695286414966,37.0,27,45,36.547770700636946,3.2875868831562127,37.0,26,45,1.0028953278191002,0.020334050540139228,1.0,0.967741935483871,1.0384615384615385,48.470915763276665,4.32438904335911,49.00662251655629,35.099337748344375,59.60264900662252,0.014788888880938227,0.09721927770791625,0.01070557365715755,-0.29707392412587896,0.25609658615947434,6.987261146496815,1.6625790001688665,7.0,4,12,4.658174097664545,1.1083860001125776,4.666666666666667,2.666666666666667,8.0,0.0024939281514159877,0.0009734854283638596,0.0023282887077997177,0.0009928874886629086,0.006260869565217424
4,8,0.5685856432125089,-0.47069564378940504,1.2795949114597833,-0.44018206196457466,-2.555292953084509,2.0104703852311783,0.8776533925210044,0.18920206125399874,0.7844964310055058,0.6645573049676925,1.2040351761925931,-2.3456772004640305,1.532616317789085,-2.0607997634770223,-5.101497757165674,0.0,1.4367410308688822,1.1298530156555113,1.1230399222196152,0.20595517188493062,3.7757412855298433,3.7824182313329127,0.7491165316103624,3.6171013597614596,3.004123711340212,5.390405230745843,3.7824182313329127,0.7491165316103624,3.6171013597614596,3.004123711340212,5.390405230745843,-5.8728587032626804e-05,0.00012921958286731035,-6.239983818390441e-05,-0.00025792527976870245,0.00013835702489820893,0.002327226860280223,0.0002502810020368077,0.0022558920014951614,0.001994234163632665,0.002668248661836402,0.5175450878301402,1.3336704184229782,0.16176876875490726,-0.40803307173076697,3.9737975916987844,4.978057324035333,10.28563484194263,1.0061530319594116,-0.07164312337855527,31.980525146872324,0.0285546124545433,0.0030740747517053807,0.027730483514343932,0.024440163215843073,0.03279624799264253,0.23159786360775167,0.025477136125070136,0.22254680791525078,0.1999427210895499,0.26680849878338664,0.9745144606856729,0.47854279443798575,0.8278294441534273,0.5546391752577318,2.1712790190471787,0.20493758916869276,0.020915115253192538,0.19928716269583235,0.17911824935552081,0.24246456116321394,0.12157347198994972,0.02861162289516569,0.1173766021954681,0.08677281674308915,0.169954437076209,0.7211089718277949,0.21762937693914217,0.6764093411046064,0.4078665949642063,1.1598036932954314,-0.020333046537498345,0.0252365261133473,-0.014291857261169673,-0.06696779934530006,0.006628055918315906,0.21415264775780207,0.0190013444063455,0.21472770177633024,0.17883886797504878,0.24109384000431916,0.11284610266940215,0.14534882684930825,0.08733881355288198,-0.09282028192429093,0.4037101801870282,-0.0070136717115560476,0.010109545357219299,-0.006526387798735052,-0.023189427791641796,0.007522293547479449,0.25689491972255046,0.23811122576012372,0.19459175362629413,0.005822403971286007,0.7047828304107333,0.045125217201705155,0.1159299961896502,1.440174949950298e-08,2.5998247264188266e-41,0.35174267494466616,0.004278432841490383,0.0059103393577758625,0.0014880224771967117,7.73028825348332e-06,0.016343510554598626,69.25,7.031180555212616,68.5,58,80,0.5352348993288591,0.04718913124303772,0.5402684563758389,0.46308724832214765,0.610738255033557,34.375,3.838538133196022,34.0,29,40,34.25,3.799671038392666,34.5,29,40,1.00371319980695,0.01736752140520214,1.0,0.9714285714285714,1.03125,45.44701986754967,5.042878943880143,45.36423841059603,38.41059602649007,52.980132450331126,0.0629939997265026,0.1068979348642737,0.07648444420247395,-0.12770030792488862,0.20953690246635284,6.75,2.222048604328897,7.5,2,9,4.5,1.481365736219265,5.0,1.3333333333333335,6.0,0.009808166328809155,0.004856242223877869,0.008278294441534332,0.0056218520763234294,0.02196473222311209
5,342,24.307036247334754,-0.22030352469719017,0.20144958808986013,-0.19985953295728265,-0.8822148851737533,0.3167814133625793,0.16716453135036027,0.06803038303019682,0.16537229617473737,0.026412752501661002,0.3511646422073901,-0.5383528272220486,0.2661897115413087,-0.5227943909752397,-1.4889672221204853,0.0,0.14133013093481003,0.1330526725856243,0.11275932305648828,0.0,0.7697885870474597,0.6796829581568588,0.253563533637536,0.6605128860157905,0.13238171981122537,1.524446072147967,0.6796829581568588,0.253563533637536,0.6605128860157905,0.13238171981122537,1.524446072147967,-2.252445772274429e-05,1.9184230345137876e-05,-2.0642013111537636e-05,-9.980975564727356e-05,1.870988742129312e-05,0.0003785600909308578,0.00011995809645899329,0.00036235314860427195,0.00015312409340502013,0.0007353331950376525,-0.19168091257409337,0.27368046452220207,-0.1867405959674096,-0.9462060374221637,0.4082487993865479,0.6615087392356469,0.6673390897733602,0.5845714978719752,-0.645566742064664,3.3232697896207224,0.004649718392583996,0.001471760801169337,0.004463046141633482,0.0018755818729955334,0.009007934661820932,0.03777008954161591,0.011944204537721975,0.036105770677438656,0.015310753254543917,0.07332528864155967,0.12448680032143095,0.04237800321809167,0.11751968609755581,0.043167952112355135,0.25515298085242444,0.033660544340748916,0.010972002257027108,0.03191495291986661,0.012529423469170292,0.06347956878534503,0.017853970174116777,0.00607564345476904,0.01721194045134032,0.0060988589859477,0.034912384798711844,0.09776530514136755,0.03438514705375028,0.09349414065857686,0.03154467514617767,0.2116562046638418,-0.005750638960019066,0.0046882521488569705,-0.00550903255800463,-0.0244475228960284,0.0031988440992718878,0.03366059741136844,0.011977778204321728,0.03201723868294999,0.01068014682546484,0.07129790470210283,0.0016842817930970574,0.025500126432121604,0.001353861812654622,-0.0714954203040864,0.0693846359126149,-0.0024042155563808445,0.0018979950741646406,-0.0023781597896021154,-0.007405640994742738,0.004063299426692917,0.475729279435942,0.2540896902370331,0.48743663264812953,0.035658085234665265,0.9246256524809298,0.0002108519194423328,0.0013832023932792013,2.2476356929322463e-23,1.5295256953340523e-85,0.02022897030558107,0.0015556317479816933,0.0014229405746726685,0.00109920280633916,1.3016023786850464e-05,0.00642310192511856,77.17251461988305,6.679991428853209,77.0,59,96,0.48206366026924136,0.044832157240625566,0.4832214765100671,0.3557046979865772,0.6040268456375839,36.485380116959064,3.207003894340965,37.0,26,46,36.39766081871345,3.2335585600046657,36.0,26,46,1.002708003354901,0.0201369769612549,1.0,0.9655172413793104,1.0384615384615385,48.26691452693543,4.238562122933264,48.34437086092716,34.437086092715234,60.264900662251655,0.009811632357235435,0.09527300626195315,0.005864368149807666,-0.304787933720942,0.27833380677181957,7.845029239766082,1.7174598318443541,8.0,3,13,5.230019493177388,1.1449732212295693,5.333333333333334,2.0,8.666666666666668,0.0012471807595111398,0.00042515249030814384,0.0011772157386236333,0.00043165881687118866,0.0025569760978320782
6,7,0.4975124378109453,1.6257468712652947,1.0493367314006263,1.7320002347659538,-0.04990502100186356,3.320134099090434,1.3541700115272068,0.37664577871346,1.3865811067872023,0.7892303875574805,2.0045784044050716,-1.1874392320224947,1.1927878937706562,-0.7717842323651469,-3.0097741139020973,0.0,4.311960056551446,1.659052035579356,3.7550595118823304,2.4894402840410557,6.913327882256737,5.49939928857394,1.6799763806062644,5.4992143979431525,3.2035449658579185,8.262469337694178,5.49939928857394,1.6799763806062644,5.4992143979431525,3.2035449658579185,8.262469337694178,0.00020584171872255105,7.920475860887062e-05,0.0001777130443720312,9.932258189169846e-05,0.0003579986081349613,0.0025194800170259416,0.0007986652684493348,0.0026313493032722526,0.0015874761158071026,0.004012140298660366,0.26371714878317604,0.5182962371159917,0.15372269008503892,-0.42714272385542285,1.2523398254348235,1.7645157110706862,2.0408829764037217,1.2328846261985005,-0.8751091307785819,5.881323880320501,0.030990251631996684,0.009733848155355173,0.03225026542008221,0.019696237091227056,0.049171349116207366,0.25629309522494237,0.08230949458761275,0.2639457523819669,0.16239976389144536,0.4135374565950916,0.922780752829276,0.3202233088793072,0.9170124481327813,0.6083829725410439,1.5975061324611683,0.22003943056467135,0.0730480392669916,0.24277694739417224,0.13130934053862026,0.35908040480223313,0.13109223567603848,0.06464288382704007,0.10509805832367806,0.08307881567788393,0.2794020752446382,0.760278648393531,0.41842382294951086,0.5731071206868945,0.4746538927132981,1.7498246288023689,0.057217379508533894,0.013994503482165572,0.051980822537920524,0.043267748183142676,0.08384810940330809,0.23205036486421363,0.11190316321414452,0.2259160466617918,0.1280232379784539,0.4848708948080229,-0.05849616619760407,0.07678519246290412,-0.07052330335241663,-0.17888863346638084,0.0697095435684627,0.024598193346566054,0.009416052744055457,0.02619787013275692,0.012832065828453655,0.04197147501768085,0.6549548068565192,0.2307622553803586,0.7551153930274426,0.16157858103356879,0.8741327032473408,4.461107501893049e-08,1.0927437067340109e-07,2.2506839761551734e-47,6.122486247233936e-69,3.122775251325134e-07,0.017609657863247502,0.010269523354807937,0.017768918652923286,0.0023244131810321793,0.034959901666054484,72.57142857142857,3.374574803147919,71.0,68,77,0.5129434324065196,0.02264815304126122,0.5234899328859061,0.4832214765100671,0.5436241610738255,35.857142857142854,1.3552618543578767,35.0,34,38,35.714285714285715,1.2777531299998797,35.0,34,38,1.003968253968254,0.009720197391996706,1.0,1.0,1.0277777777777777,47.39829706717124,1.729012950094332,46.35761589403973,45.033112582781456,50.331125827814574,-0.018743186347031687,0.11522538975631212,-0.006468643824116554,-0.194562394219988,0.17311264130428478,7.857142857142857,2.356060357495806,8.0,4,12,5.238095238095239,1.570706904997204,5.333333333333334,2.666666666666667,8.0,0.00907500171754323,0.0031758933479956205,0.008860556491059289,0.006020523695703005,0.0158012859395851
